Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,326.492004,1.086,1.086,,47.534,,,47.303001,,,,,8.085,,,,104.008003,190.089005,334.937012,-144.848007,,32.395,,,,,,32.395,222.484005,,13.532,13.532,,,,7.075,,,,,,27.826999,,,,27.826999,48.433998,56.185001,,,,,25.955,,,25.955,82.140001,130.573999,,,,,,,183.470001,183.470001,12.448,195.918001,326.492001,
07/01/1990,334.369995,2.678,2.678,,48.643002,,,46.346001,,,,,10.306,,,,107.977997,193.561005,343.638,-150.076996,,32.835999,,,,,,32.835999,226.397003,,17.18,17.18,,,,12.7,,,,,,26.024999,,,,26.024999,55.904999,60.566002,,,,,26.49,,,26.49,87.056002,142.961,,,,,,,178.587006,178.587006,12.822,191.409005,334.370006,
09/30/1990,338.636993,2.636,2.636,,44.394001,,,47.370998,,,,,11.03,,,,105.431,196.947998,348.914001,-151.966003,,36.257999,,,,,,36.257999,233.205997,,14.899,14.899,,,,10.677,,,,,,26.436001,,,,26.436001,52.012001,66.634003,,,,,28.142,,,28.142,94.776003,146.788004,,,,,,,179.710999,179.710999,12.138,191.848998,338.637002,
12/31/1990,343.497986,2.249,2.249,,41.794998,,,46.372002,,,,,10.758,,,,101.174004,201.294006,353.513,-152.218994,,41.029999,,,,,,41.029999,242.324005,,17.992001,17.992001,,,,12.307,,,,,,34.382998,,,,34.382998,64.681999,66.185997,,,,,24.799,,,24.799,90.984997,155.666996,,16.493,,,-16.356001,,176.009001,176.146,11.685,187.831,343.497996,
03/31/1991,346.231995,0.268,0.268,,51.493,,,44.109001,,,,,9.324,,,,105.194,200.477997,357.962006,-157.483994,,40.560001,,,,,,40.560001,241.037998,,19.101999,19.101999,,,,13.966,,,,,,33.753,,,,33.753,66.820999,65.095001,,,,,24.857,,,24.857,89.952002,156.773001,,,,,,,177.934998,177.934998,11.524,189.458998,346.231998,
06/30/1991,325.565002,0.472,0.472,,45.859001,,,38.568001,,,,,10.244,,,,95.142998,192.664993,352.634003,-159.968994,,37.757,,,,,,37.757,230.421993,,15.173,15.173,,,,15.502,,,,,,32.462001,,,,32.462001,63.137001,53.469002,,,,,22.684999,,,22.684999,76.154001,139.291002,,,,,,,174.960999,174.960999,11.313,186.273998,325.565001,
09/29/1991,320.428986,1.308,1.308,,46.331001,,,36.247002,,,,,9.277,,,,93.163002,191.100998,355.312988,-164.212006,,36.165001,,,,,,36.165001,227.265999,,14.147,14.147,,,,10.697,,,,,,34.252001,,,,34.252001,59.096001,52.743,,,,,23.062,,,23.062,75.805,134.901001,,,,,,,175.179001,175.179001,10.349,185.528001,320.429002,
12/31/1991,313.199005,2.731,2.731,,42.786999,,,33.841999,,,,,18.016001,,,,97.375999,165.841995,314.384003,-148.542007,,49.980999,,,,,,49.980999,215.822994,,16.429001,16.429001,,,,9.298,,,,,,45.183002,,,,45.183002,70.910004,49.113998,,,,,32.119999,,,32.119999,81.233997,152.144001,,18.128,,,-17.070999,,151.602005,152.659006,8.396,161.055006,313.199007,
03/31/1992,314.013,1.127,1.127,,51.745998,,,37.797001,,,,,11.327,,,,101.997002,162.809998,314.141998,-151.332001,,49.206001,,,,,,49.206001,212.015999,,19.370001,19.370001,,,,9.058,,,,,,38.774003,,,,38.774003,67.202003,47.296001,,,,,31.986,,,31.986,79.282001,146.484005,,,,,,,159.031006,159.031006,8.498,167.529006,314.013011,
06/28/1992,312.161011,1.911,1.911,,50.893002,,,38.479,,,,,8.372,,,,99.654999,163.518997,318.312012,-154.792999,,48.987,,,,,,48.987,212.505997,,18.736,18.736,,,,7.672,,,,,,38.746999,,,,38.746999,65.154999,43.745998,,,,,32.630001,,,32.630001,76.375999,141.530998,,,,,,,161.311996,161.311996,9.318,170.629996,312.160995,
09/27/1992,328.312988,1.547,1.547,0.0,46.443001,,,41.865002,,,,,11.505,,,,101.360001,179.815994,338.238007,-158.421997,,47.137001,,,,,,47.137001,226.952995,,18.500999,18.500999,,,,7.536,,,,,,43.802997,,,,43.802997,69.839996,42.083,,,,,34.464001,,,34.464001,76.547001,146.386997,0.0,,,,,,170.641006,170.641006,11.285,181.926006,328.313004,
12/31/1992,304.425995,3.034,3.034,0.0,41.855999,,,38.042999,,,,,15.725,,,,98.657997,165.778,310.684998,-144.906998,0.0,39.990002,,,,,,39.990002,205.768002,,20.358999,20.358999,,,,10.613,,,,,,29.89,,,,29.89,60.862,31.458,,,,,33.402,,,33.402,64.860001,125.722,0.0,23.485001,,,-20.191999,,165.333006,168.626007,10.078,178.704007,304.426007,
04/04/1993,306.799988,5.2,5.2,0.0,48.099998,,,34.799999,,,,,13.1,,,,101.199997,165.5,,,0.0,40.099998,,,,,,40.099998,205.599998,,16.1,16.1,,,,11.3,,,,,,30.199998,,,,30.199998,57.599998,30.200001,,,,,36.0,,,36.0,66.200001,123.799999,0.0,,,,,,172.600006,172.600006,10.4,183.000006,306.800005,
07/04/1993,318.5,2.5,2.5,0.0,50.799999,,,36.099998,,,,,12.4,,,,101.800003,174.399994,,,0.0,42.299999,,,,,,42.299999,216.699993,,18.4,18.4,,,,7.9,,,,,,30.0,,,,30.0,56.299999,32.799999,,,,,36.900002,,,36.900002,69.700001,126.0,0.0,,,,,,181.300003,181.300003,11.2,192.500003,318.500003,
