Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,2373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,201.0,201.0,,231.033997,0.87,0.87,0.87,231.033997,0.87,0.87,0.87,
12/31/1988,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,,206.0,206.0,,227.623993,0.905,0.905,0.905,227.623993,0.905,0.905,0.905,
03/31/1989,2627.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,223.0,,,223.0,223.0,,221.0,0.98,0.98,,221.0,0.98,0.98,0.98,
06/30/1989,2960.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,229.0,,,229.0,229.0,,218.600006,1.02,1.02,,218.600006,1.02,1.02,1.02,
09/30/1989,2883.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,215.0,,,215.0,215.0,,217.800003,0.955,0.955,,217.800003,0.955,0.955,0.955,
12/31/1989,2908.0,,,,,,,,,,,2908.0,,,,,,,,,,2908.0,0.0,,,,,197.0,,,197.0,197.0,,217.600006,0.905,0.905,0.905,217.600006,0.905,0.905,0.905,
03/31/1990,3165.0,,-2554.0,,611.0,,-245.0,,,,,366.0,-66.0,,66.0,,0.0,,0.0,300.0,-120.0,180.0,0.0,,,180.0,0.0,180.0,0.0,,180.0,180.0,,217.600006,0.825,0.825,,217.600006,0.825,0.825,0.825,
06/30/1990,3241.0,,-2608.0,,633.0,,-257.0,,,,,376.0,-69.0,,69.0,,0.0,,0.0,307.0,-122.0,185.0,0.0,,,185.0,0.0,185.0,0.0,,185.0,185.0,,218.199997,0.85,0.85,,218.199997,0.85,0.85,0.85,
09/30/1990,3267.0,,-2634.0,,633.0,,-263.0,,,,,370.0,-70.0,,70.0,,0.0,,0.0,300.0,-119.0,181.0,0.0,,,181.0,0.0,181.0,0.0,,181.0,181.0,,218.600006,0.83,0.83,,218.600006,0.83,0.83,0.83,
12/31/1990,3287.0,,-2662.0,,625.0,,-302.0,,,,,323.0,-284.0,,72.0,,0.0,,212.0,39.0,-16.0,23.0,0.0,,,23.0,0.0,23.0,0.0,,23.0,23.0,,219.0,0.1,0.1,,219.0,0.1,0.1,0.1,
03/31/1991,3097.0,,-2544.0,,553.0,,-259.0,,,,,294.0,-79.0,,79.0,,0.0,,0.0,215.0,-83.0,132.0,0.0,,,132.0,0.0,132.0,0.0,,132.0,132.0,,219.800003,0.6,0.6,,219.800003,0.6,0.6,0.6,
06/30/1991,3114.0,,-2601.0,,513.0,,-267.0,,,,,246.0,-81.0,,81.0,,0.0,,0.0,165.0,-61.0,104.0,0.0,,,104.0,0.0,104.0,0.0,,104.0,104.0,,220.399994,0.475,0.475,,220.399994,0.475,0.475,0.475,
09/30/1991,3277.0,,-2764.0,,513.0,,-261.0,,,,,252.0,-79.0,,79.0,,0.0,,0.0,173.0,-64.0,109.0,0.0,,,109.0,0.0,109.0,0.0,,109.0,109.0,,221.399994,0.49,0.49,,221.399994,0.49,0.49,0.49,
12/31/1991,3215.0,,-2701.0,,514.0,,-293.0,,,,,221.0,-136.0,,76.0,,0.0,,60.0,85.0,-31.0,54.0,215.0,,,-161.0,0.0,-161.0,0.0,,-161.0,-161.0,,223.199997,-0.735,0.228262,,223.199997,-0.735,0.228262,0.228262,
03/31/1992,3356.0,,-2856.0,,500.0,,-272.0,,,,,228.0,-71.0,,71.0,,0.0,,0.0,157.0,-53.0,104.0,52.0,,,52.0,0.0,52.0,0.0,,52.0,52.0,,238.199997,0.22,0.44,,238.199997,0.22,0.44,0.44,
06/30/1992,3386.0,,-2869.0,,517.0,,-283.0,,,,,234.0,-50.0,,50.0,,0.0,,0.0,184.0,-70.0,114.0,2.0,,,112.0,0.0,112.0,0.0,,112.0,112.0,,244.0,0.46,0.47,,244.0,0.46,0.47,0.47,
09/30/1992,3478.0,,-2974.0,,504.0,,-283.0,,,,,221.0,-59.0,,59.0,,0.0,,0.0,162.0,-62.0,100.0,2.0,,,98.0,0.0,98.0,0.0,,98.0,98.0,,244.399994,0.405,0.415,,244.399994,0.405,0.415,0.415,
