Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1992,5000.700195,4188.5,,,,812.199987,0.0,,,-3714.100037,3167.300049,546.799988,0.0,-1055.500015,,,,,,,,,231.100006,0.0,0.0,231.100006,24.4,255.5,325.599991,,,-70.099985,0.0,-70.099998,0.0,,-70.099998,-70.099998,,862.0,-0.08,0.295,,862.0,-0.08,0.295,0.295,
06/30/1992,5020.899902,4202.200195,,,,818.699975,0.0,,,-3774.600098,3252.100098,522.5,0.0,-1055.700027,,,,,,,,,190.600006,0.0,0.0,190.600006,39.0,229.600006,0.0,,,229.600006,0.0,229.600006,0.0,,229.600006,229.600006,,862.0,0.265,0.265,,862.0,0.265,0.265,0.265,
09/30/1992,5065.700195,4269.100098,,,,796.599976,0.0,,,-5472.999878,4925.899902,547.099976,0.0,-1033.700027,,,,,,,,,-1441.0,0.0,0.0,-1441.0,595.200012,-845.799988,0.0,,,-845.799988,0.0,-845.799988,0.0,,-845.799988,-845.799988,,862.0,-0.98,-0.98,,862.0,-0.98,-0.98,-0.98,
12/31/1992,5140.799805,4205.700195,,,,935.100006,0.0,,,-4397.200073,3859.800049,537.400024,0.0,-1149.599998,,,,,,,,,-406.0,0.0,0.0,-406.0,267.100006,-138.899994,0.0,,,-138.899994,0.0,-138.899994,0.0,,-138.899994,-138.899994,,862.0,-0.16,-0.16,,862.0,-0.16,-0.16,-0.16,
03/31/1993,5118.200195,4214.899902,,,,903.300011,0.0,,,-3724.399994,3218.5,505.899994,,-1040.700012,,,,,,,,,353.100006,-8.6,0.0,344.500006,-24.4,320.100006,0.0,,,320.100006,0.0,320.100006,0.0,,320.100006,320.100006,,862.0,0.38,0.38,,862.0,0.38,0.38,0.38,
06/30/1993,5229.399902,4339.399902,,,,889.999985,0.0,,,-3630.799988,3118.5,512.299988,0.0,-1100.800018,,,,,,,,,497.799988,-31.799999,0.0,465.999989,-69.300003,396.700012,0.0,,,396.699986,0.0,396.700012,0.0,,396.700012,396.700012,,871.200012,0.47,0.47,,871.200012,0.47,0.47,0.47,
09/30/1993,5315.399902,4420.799805,,,,894.600014,0.0,,,-3797.000122,3248.100098,548.900024,0.0,-1183.399994,,,,,,,,,335.0,-23.6,0.0,311.4,14.3,325.700012,0.0,,,325.7,0.0,325.700012,0.0,,325.700012,325.700012,,900.0,0.36,0.36,,900.0,0.36,0.36,0.36,
12/31/1993,5283.299805,4427.200195,,,,856.1,0.0,,,-3872.799926,3337.399902,535.400024,0.0,-1138.199997,,,,,,,,,271.700012,-17.6,0.0,254.100012,4.9,259.0,0.0,,,259.000012,0.0,259.0,0.0,,259.0,259.0,,908.771972,0.285,0.285,,908.771972,0.285,0.285,0.285,
03/31/1994,5233.100098,4299.399902,,,,933.699974,0.0,,,-4775.299896,4270.899902,504.399994,,-1030.300003,,,,,,,,,-573.400024,-14.8,18.6,-569.600024,294.399994,-275.200012,0.0,,,-275.20003,0.0,-275.200012,0.0,,-275.200012,-275.200012,,900.0,-0.305,-0.305,-0.305,900.0,-0.305,-0.305,-0.305,
07/01/1994,5230.399902,4367.299805,,,,863.100014,0.0,,,-3694.600037,3190.800049,503.799988,,-1062.800003,,,,,,,,,471.600006,-14.1,22.6,480.100006,-78.099998,402.0,0.0,,,402.000008,0.0,402.0,0.0,,402.0,402.0,,900.0,0.445,0.445,,900.0,0.445,0.445,0.445,
