Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,FFO Per Share,FFO Per Share Surprise %,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/1994,,,1.212,,1.697,1.697,,,,,,,,,
06/30/1994,,,1.326,,1.326,1.326,,,,,,,,,
09/30/1994,,,1.607,,1.607,1.607,,,,,,,,,
12/31/1994,,,2.314,,2.314,2.314,,,,,,,,,
03/31/1995,,,1.798,,1.798,1.798,,,,,,,,,
06/30/1995,,,2.199,,2.199,2.199,,,,,,,,,
09/30/1995,,,2.722,,2.722,2.722,,,,,,,,,
12/31/1995,,,3.091,,3.091,3.091,,,,,,,,,
03/31/1996,,,1.72,,1.72,1.72,,,,,,,,,
06/30/1996,,,3.322,,3.322,3.322,,,,,,,,,
09/30/1996,,,1.601,,1.601,1.601,,,,,,,,,
12/31/1996,,,1.639,,1.639,1.639,,,,,,,,,
03/31/1997,,,2.99,,2.99,2.99,,,,,,,,,
06/30/1997,,,3.622,,3.622,3.622,,,,,,,,,
09/30/1997,,,3.278,,3.278,3.278,,,,,,,,,
12/31/1997,,,5.481,,-3.915,-3.915,,,,,,,,,
03/31/1998,,,4.783,,4.412,4.412,,,,,,,,,
06/30/1998,,,4.437,,3.818,3.818,,,,,,,,,
09/30/1998,,,3.719,,3.719,3.719,,,,,,,,,
12/31/1998,,,3.378,,3.377,3.377,,,,,,,,,
03/31/1999,,,6.987,,6.92,6.92,,,,,,,,,
06/30/1999,,,-1.34,,-1.34,-1.34,,,,,,,,,
09/30/1999,,,6.5,,6.5,6.5,,,,,,,,,
12/31/1999,,,5.378,,5.377999,5.377999,,,,,,,,,
03/31/2000,,,3.342,,3.286,3.286,,,,,,,,,
06/30/2000,,,6.763,,6.615,6.615,,,,,,,,,
09/30/2000,,,1.599,,1.599,1.599,,,,,,,,,
12/31/2000,,,2.173,,2.173,2.173,,,,,,,,,
03/31/2001,,,0.833,,0.833,0.833,,,,,,,,,
06/30/2001,,,1.016,,0.573,0.573,,,,,,,,,
09/30/2001,,,9.245,,9.062,9.062,,,,,,,,,
12/31/2001,,,2.524,,2.117,2.117,,,,,,,,,
03/31/2002,,,0.272,,0.272,0.272,,,,,,,,,
06/30/2002,,,0.974,,0.941,0.941,,,,,,,,,
09/30/2002,,,-0.269,,-0.231,-0.231,,,,,,,,,
12/31/2002,,,-1.498,,-2.911,-2.911,,,,,,,,,
03/31/2003,,,0.322,,0.401,0.401,,,,,,,,,
06/30/2003,,,0.857,,1.18,1.18,,,,,,,,,
09/30/2003,,,-7.14,,-3.062,-3.062,,,,,,,,,
12/31/2003,,,-0.207,,0.281,0.281,,,,,,,,,
03/31/2004,,,-0.285,,1.349,1.349,,,,,,,,,
06/30/2004,,,-0.116,,1.286,1.286,,,,,,,,,
09/30/2004,,,-0.808,,-0.576,-0.576,,,,,,,,,
12/31/2004,,,1.85,,,,,,,,,,,,
03/31/2005,,,0.864,,0.613,0.613,,,,,,,,,
06/30/2005,,,4.791,,4.558,4.558,,,,,,,,,
09/30/2005,,0.562,2.729,,0.125,0.125,,0.0,,,,,,385.5871886121,
12/31/2005,,8.356,0.578,,0.119,0.119,,9.45945945945947,,,,,,-93.0828147438966,
03/31/2006,,3.77,2.186,6.14959568733154,1.636,1.636,,8.38709677419354,,,,,,-42.0159151193634,
06/30/2006,,2.4,1.979,2.82261921472048,2.401,2.401,,0.472813238770686,,,,,,-17.5416666666667,
09/30/2006,,0.841,2.032,25.2432069486405,2.139,2.139,,13.0790190735695,,,,,,141.617122473246,
12/31/2006,,2.3,0.722,-1.17811408614668,0.807,0.807,,-0.240384615384616,,,,,,-68.6086956521739,
03/31/2007,,2.34,7.058,-1.23621706326176,,,,2.35294117647059,,,,,,201.623931623932,
06/30/2007,,1.78,1.907,0.091117647058819,5.628,5.628,,8.1081081081081,,,,,,7.13483146067416,
09/30/2007,,4.83,2.968,0.896302885852709,8.409,8.409,,10.5710814094775,,,,,,-38.5507246376812,
12/31/2007,,2.48,3.825,98.0914102285092,4.388,4.388,,1.63934426229508,,,,,,54.233870967742,
03/31/2008,,5.18,5.108,20.5438541162307,4.463,4.463,,4.34782608695651,,,,,,-1.38996138996139,
06/30/2008,,7.403,5.488,-0.484845266827559,5.427,5.427,,-0.105152471083071,,,,,,-25.8678913953802,
09/30/2008,,5.89,7.837,-0.410446695095942,2.977,2.977,,-2.17391304347826,,,,,,33.0560271646859,
12/31/2008,,7.879,7.15,-0.227833221020666,4.517,4.517,,1.99556541019956,,,,,,-9.25244320345221,
03/31/2009,,7.512,9.427,1.22968106161384,7.923,6.211,,7.67590618336888,,,,1.8021968842668,,25.4925452609159,
06/30/2009,,6.858,8.808,2.07679826933478,6.931,4.962,,5.03751339764201,,,,3.26926760743248,,28.4339457567804,
09/30/2009,,4.843,3.189,2.39158716392021,3.402,3.189,,4.70588235294118,,,,0.159458278724335,,-34.1523848854016,
12/31/2009,,5.293,4.391,3.26501843417913,6.09,3.566,,3.95480225988701,,,,2.54635618801207,,-17.0413754014736,
03/31/2010,,6.77,5.645,2.18173049704874,6.196,5.669,,2.37849017580145,,,,0.465686274509807,,-16.6174298375185,
06/30/2010,,5.55,5.932,2.83441642838575,1.383,2.788,,5.08474576271187,,,,0.862835978398067,,6.88288288288289,
09/30/2010,,4.834,3.518,1.60957325262081,3.544,3.696,,0.119189511323004,,,,3.26084663896564,,-27.2238311956971,
12/31/2010,,7.955,6.94,1.11709090909091,6.94,6.94,,-0.210084033613446,,,,1.61507936507937,,-12.7592708988058,
03/31/2011,,7.79,8.844,1.79621410416903,8.844,8.471,,-1.60642570281125,,,,0.399915402511004,,13.5301668806162,
06/30/2011,,10.116,9.272,1.83317972350231,7.428,7.1,,-6.81362725450901,,,,-1.92393819511831,,-8.34321866350336,
09/30/2011,,13.625,9.805,1.93795379537954,13.791,8.408,,-1.96078431372549,,,,0.0891790179606492,,-28.0366972477064,
12/31/2011,,13.02,12.307,0.0930034129692787,18.758,9.694,,0.469483568075128,,,,0.50423011844332,,-5.47619047619047,
03/31/2012,,14.683,14.063,0.00501567398119141,23.89,14.015,,3.8961038961039,,,,0.0410030998343568,,-4.22257031941701,
