Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,65.081001,54.631001,39.046001,15.585,2.78,,,3.573,,,,,1.018,,,,62.001999,3.079,,,0.0,,0.0,0.0,0.0,0.0,0.0,3.079,,3.455,3.455,,,,1.781,1.781,0.0,0.0,,5.04,,,5.04,10.276,2.471,2.471,0.0,0.0,,0.0,,,,,0.0,2.471,12.747,0.023,135.787994,,,0.0,,-83.476997,52.333997,0.0,52.333997,65.080997,
06/30/2000,106.571999,87.34,40.484001,46.855999,5.285,,,4.796,1.883,1.114,1.799,0.0,1.014,,,,98.434998,3.672,,,0.0,,4.465,0.0,0.0,0.0,4.465,8.137,,4.825,4.825,,,,1.746,1.746,0.0,0.0,,6.680001,,,6.680001,13.251,2.038,2.038,0.0,0.0,,0.0,,,,,0.0,2.038,15.289001,0.0,180.205994,,,0.0,,-88.922997,91.282997,0.0,91.282997,106.571998,
09/30/2000,111.067001,87.682999,25.965,61.717999,8.373,,,5.256,1.698,1.14,2.418,0.0,1.635,,,,102.946999,3.839,,,0.0,,4.281,0.0,0.0,0.0,4.281,8.12,,5.225,5.225,,,,1.941,1.941,0.0,0.0,,8.187,,,8.187,15.353,1.241,1.241,0.0,0.0,,0.0,,,,,0.0,1.241,16.594,0.0,186.485992,,,0.0,,-92.013,94.472992,0.0,94.472992,111.066992,
12/31/2000,112.420998,89.440996,22.657,66.783997,6.444,,,6.076,2.65,1.13,2.296,0.0,1.705,,,,103.666,4.669,9.85,-5.181,0.0,,4.086,0.0,0.0,0.0,4.086,8.755,,7.128,7.128,,,,2.019,2.019,0.0,0.0,,10.683,,,10.683,19.83,1.861,1.861,0.0,0.0,,0.0,,,,,0.0,1.861,21.691,0.0,186.748993,,,0.0,,-96.018997,90.729996,0.0,90.729996,112.420996,
03/31/2001,105.005997,76.915998,13.67,63.245998,10.266,,,6.523,2.667,1.415,2.441,0.0,1.606,,,,95.310997,5.803,,,0.0,,3.892,0.0,0.0,0.0,3.892,9.695,,5.54,5.54,,,,2.072,2.072,0.0,0.0,,7.034,,,7.034,14.646,1.473,1.473,0.0,0.0,,0.0,,,,,0.0,1.473,16.119,0.0,187.442993,,,0.0,,-98.556,88.886993,0.0,88.886993,105.005993,
06/30/2001,103.002998,74.470999,23.483999,50.987,9.686,,,6.791,2.563,1.16,3.068,0.0,1.784,,,,92.732002,6.574,,,0.0,,3.697,0.0,0.0,0.0,3.697,10.271,,6.935,6.935,,,,2.11,2.11,0.0,0.0,,7.5,,,7.5,16.545,0.772,0.772,0.0,0.0,,0.0,,,,,0.0,0.772,17.317,0.0,188.238007,,,0.0,,-102.552002,85.686005,0.0,85.686005,103.003005,
09/30/2001,100.412003,64.273998,24.618999,39.654999,15.557,,,7.595,2.583,1.59,3.422,0.0,2.723,,,,90.149002,6.761,,,0.0,,3.502,0.0,0.0,0.0,3.502,10.263,,6.182,6.182,,,,1.903,1.903,0.0,0.0,,8.957999,,,8.957999,17.042999,0.963,0.963,0.0,0.0,,0.0,,,,,0.0,0.963,18.005999,0.0,188.912994,,,0.0,,-106.507004,82.405991,0.0,82.405991,100.41199,
12/31/2001,100.361,66.661,10.487,56.174,13.248,,,6.182,3.577,1.33,1.275,0.0,3.128,,,,89.219002,7.834,15.201,-7.367,0.0,,3.308,,0.0,,3.308,11.142,,8.3,8.3,,,,1.631,1.631,0.0,0.0,,11.366001,,,11.366001,21.297001,0.771,0.771,0.0,0.0,,0.0,,,,,0.0,0.771,22.068001,0.0,188.998001,,,0.0,,-110.705002,78.292999,0.0,78.292999,100.361,
03/31/2002,95.487999,56.628999,8.335,48.293999,15.492,,,6.242,3.403,1.407,1.432,0.0,2.888,,,,81.250999,11.124,,,0.0,,3.113,,0.0,,3.113,14.237,,9.184,9.184,,,,1.587,1.587,0.0,0.0,,10.002001,,,10.002001,20.773001,1.282,1.282,0.0,0.0,,0.0,,,,,0.0,1.282,22.055001,0.0,189.998001,,,0.0,,-116.565002,73.432999,0.0,73.432999,95.487999,
06/30/2002,93.535004,55.371,23.872,31.499001,15.213,,,7.23,2.675,1.554,3.001,0.0,1.699,,,,79.513,11.104,,,0.0,,2.918,,0.0,,2.918,14.022,,8.033,8.033,,,,1.022,1.022,0.0,0.0,,12.980999,,,12.980999,22.035999,0.971,0.971,0.0,0.0,,0.0,,,,,0.0,0.971,23.006999,0.0,190.085999,,,0.0,,-119.557999,70.528,0.0,70.528,93.534999,
09/30/2002,92.855003,48.505001,18.34,30.165001,19.044001,,,9.871,3.335,1.372,5.165,0.0,2.022,,,,79.442001,10.689,,,0.0,,2.724,,0.0,,2.724,13.413,,9.099,9.099,,,,1.386,1.386,0.0,0.0,,14.709,,,14.709,25.194,1.792,1.792,0.0,0.0,,0.0,,,,,0.0,1.792,26.986,0.0,190.945007,,,0.0,,-125.075996,65.869011,0.0,65.869011,92.855011,
12/31/2002,91.82,49.884001,8.052,41.832001,16.886999,,,8.738,3.42,0.78,4.538,0.0,2.324,,,,77.833,10.388,18.902,-8.514,0.0,,3.599,2.568,0.0,2.568,1.031,13.987,,9.282,9.282,,,,1.511,1.511,0.0,0.0,,15.308999,,,15.308999,26.101999,1.838,1.838,0.0,0.0,,0.2,,,,,0.2,2.038,28.139999,0.0,191.056,,,0.0,-128.791,1.415001,63.680001,0.0,63.680001,91.82,
03/31/2003,89.416,45.009001,22.774,22.235001,20.895,,,8.282,3.808,1.848,2.626,0.0,2.037,,,,76.223,9.823,,,0.0,,3.37,,0.0,,3.37,13.193,,10.142,10.142,,,,1.434,1.434,0.0,0.0,,13.949999,,,13.949999,25.525999,1.531,1.531,0.0,0.0,,0.0,,,,,0.0,1.531,27.056999,0.0,192.449005,,,0.0,,-130.089996,62.359009,0.0,62.359009,89.416008,
06/30/2003,245.483002,42.85,17.681,25.169001,21.855,,,13.601,4.018,3.312,6.271,0.0,2.046,,,,80.351997,11.63,,,0.0,,153.501007,153.501007,142.658005,10.843002,0.0,165.131007,,17.204,17.204,,,,1.244,1.244,0.0,0.0,,20.346998,,,20.346998,38.794998,1.235,1.235,0.0,0.0,,0.877,,,,,0.877,2.112,40.906998,0.0,334.188995,,,0.0,-130.205994,0.592987,204.575989,0.0,204.575989,245.482987,
09/30/2003,238.764008,35.449,12.478,22.971001,23.656,,,12.746,3.285,2.61,6.851,0.0,2.983,,,,74.834,10.688,,,0.0,,153.242004,152.912003,142.994995,9.917007,0.330002,163.930004,,11.42,11.42,,,,1.156,1.156,0.0,0.0,,19.364,,,19.364,31.940001,0.95,0.95,0.0,0.0,,1.227,,,,,1.227,2.177,34.117001,0.0,337.765015,,,0.0,-133.559006,0.44101,204.647018,0.0,204.647018,238.764019,
12/31/2003,314.993988,112.948998,11.335,101.613998,26.82,,,8.788,1.247,1.797,5.744,0.0,3.391,,,,151.947998,10.288,22.697001,-12.409,0.0,,152.757996,151.195007,143.106003,8.089005,1.562988,163.045996,,12.455,12.455,,,,1.03,1.03,0.0,0.0,,20.709,,,20.709,34.194,0.695,0.695,0.0,0.0,,1.148,,,,,1.148,1.843,36.037,0.0,416.59201,,,0.0,-138.414001,0.779007,278.957016,0.0,278.957016,314.994016,
03/31/2004,316.33902,115.834998,13.346,102.488998,27.323999,,,7.983,1.2,2.314,4.469,0.0,3.551,,,,154.692993,9.384,,,0.0,,152.261993,150.953995,143.332001,7.621994,1.307999,161.645993,,4.67,4.67,,,,0.998,0.998,0.0,0.0,,24.556001,,,24.556001,30.224001,0.435,0.435,0.0,0.0,,1.525,,,,,1.525,1.96,32.184001,0.0,420.708008,,,0.0,-137.560989,1.007996,284.155014,0.0,284.155014,316.339015,
06/30/2004,322.459991,106.413998,8.23,98.183998,24.705,,,7.162,2.018,1.849,3.295,0.0,3.666,,,,141.947006,29.011999,,,0.0,,151.501007,150.487,143.332001,7.154999,1.014008,180.513006,,4.311,4.311,,,,0.904,0.904,0.0,0.0,,26.865002,,,26.865002,32.080002,0.23,0.23,0.0,0.0,,1.223,,,,,1.223,1.453,33.533002,0.0,421.945007,,,0.0,-132.731003,-0.287003,288.927002,0.0,288.927002,322.460004,
09/30/2004,336.822998,121.214998,11.268,109.946999,26.361,,,6.596,1.753,1.235,3.608,0.0,3.892,,,,158.063995,27.778999,,,0.0,,150.979996,150.020004,143.332001,6.688004,0.959991,178.758995,,5.214,5.214,,,,0.813,0.813,0.0,0.0,,29.835999,,,29.835999,35.862999,0.052,0.052,0.0,0.0,,1.134,,,,,1.134,1.186,37.048999,0.0,426.424011,,,0.0,-126.617996,-0.032005,299.77401,0.0,299.77401,336.823009,
12/31/2004,354.229,132.038,5.771,126.267,35.443,35.443,,5.966,2.404,1.183,2.379,,3.237,,,,176.684,27.065,40.96,-13.895,0.0,,150.48,149.553,143.332,6.221,0.927,177.545,,4.485,4.485,,,,0.609,,,,,33.291,,,33.291,38.385,0.0,,,,,0.912,,,,,0.912,0.912,39.297,0.0,430.396,,,-0.136,-114.936,-0.392,314.932,0.0,314.932,354.229,
03/31/2005,369.2,149.452,11.025,138.427,31.407,31.407,,7.566,2.666,1.33,3.57,0.0,4.264,,,,192.689,26.857,,,0.0,,149.654,149.087,143.332,5.755,0.567,176.511,,6.482,6.482,,,,0.347,0.347,0.0,0.0,,31.412,,,31.412,38.241,0.0,0.0,0.0,0.0,,0.762,,,,,0.762,0.762,39.003,0.0,437.35,,,0.0,-105.964,-1.189,330.197,0.0,330.197,369.2,
06/30/2005,389.522,158.542,7.972,150.57,39.646,39.646,,8.836,3.085,1.901,3.85,0.0,4.971,,,,211.995,29.291,,,,,148.236,147.695,142.407,5.288,0.541,177.527,,5.382,5.382,,,,0.171,0.171,0.0,0.0,,35.28,,,35.28,40.833,0.0,0.0,0.0,0.0,,0.679,,,,,0.679,0.679,41.512,0.0,440.099,,,0.0,-91.235,-0.854,348.01,0.0,348.01,389.522,
09/30/2005,427.915,189.42,8.729,180.691,43.756,43.756,,12.22,4.486,3.139,4.595,0.0,5.465,,,,250.861,29.451,,,,,147.603,146.571,141.75,4.821,1.032,177.054,,7.497,7.497,,,,0.035,0.035,0.0,0.0,,38.681,,,38.681,46.213,0.0,0.0,0.0,0.0,,1.084,,,,,1.084,1.084,47.297,0.0,452.542,,,0.0,-70.515,-1.409,380.618,0.0,380.618,427.915,
12/31/2005,501.587,129.187,5.508,123.679,52.849,52.849,,15.17,5.187,4.416,5.567,0.0,11.449,,,,208.655,52.225,70.811,-18.586,73.552,,167.155,129.991,124.638,5.353,37.164,292.932,,7.95,7.95,,,,0.0,0.0,0.0,0.0,,50.037,,,50.037,57.987,0.0,0.0,0.0,0.0,,1.009,,,,,1.009,1.009,58.996,0.0,465.057,,,0.0,-20.989,-1.477,442.591,0.0,442.591,501.587,
03/31/2006,524.503,165.447,5.216,160.231,56.975,56.975,,20.368,6.067,3.939,10.362,0.0,24.575,,,,267.365,53.861,,,56.044,,147.233,130.375,124.638,5.737,16.858,257.138,,9.144,9.144,,,,0.0,0.0,0.0,0.0,,45.899,,,45.899,55.043,0.0,0.0,0.0,0.0,,0.769,,,,,0.769,0.769,55.812,0.0,476.804,,,0.0,-6.566,-1.547,468.691,0.0,468.691,524.503,
06/30/2006,565.838,160.518,31.061,129.457,70.53,70.53,,24.638,9.245,1.81,13.583,0.0,20.516,,,,276.202,58.841,,,83.257,,147.538,130.707,124.035,6.672,16.831,289.636,,5.769,5.769,,,,0.0,0.0,0.0,0.0,,55.896,,,55.896,61.665,0.0,0.0,0.0,0.0,,1.103,,,,,1.103,1.103,62.768,0.0,494.613,,,0.0,10.116,-1.659,503.07,0.0,503.07,565.838,
09/30/2006,613.993,201.808,53.445,148.363,71.679,71.679,,22.33,9.073,1.208,12.049,0.0,23.437,,,,319.254,58.739,,,90.489,,145.511,128.696,122.453,6.243,16.815,294.739,,10.187,10.187,,,,0.0,0.0,0.0,0.0,,58.792,,,58.792,68.979,0.0,0.0,0.0,0.0,,1.368,,,,,1.368,1.368,70.347,0.0,516.958,,,0.0,27.379,-0.691,543.646,0.0,543.646,613.993,
12/31/2006,671.79,239.743,34.39,205.353,94.68,94.68,,24.295,9.389,2.051,12.855,0.0,15.733,,,,374.451,59.939,85.025,-25.086,90.553,,146.847,124.054,118.24,5.814,22.793,297.339,,11.092,11.092,,,,0.0,0.0,0.0,0.0,,69.575,,,69.575,80.667,0.0,0.0,0.0,0.0,,1.418,,,,,1.418,1.418,82.085,0.0,537.98,,,0.0,51.02,0.705,589.705,0.0,589.705,671.79,
03/31/2007,724.168,274.699,52.755,221.944,90.482,90.482,,26.261,9.727,2.768,13.766,0.0,15.936,,,,407.378,60.278,,,110.127,,146.385,123.591,118.207,5.384,22.794,316.79,,14.165,14.165,,,,0.0,0.0,0.0,0.0,,62.892,,,62.892,77.057,3.875,3.875,0.0,0.0,,0.0,,,,,0.0,3.875,80.932,0.0,568.966,,,0.0,72.774,1.496,643.236,0.0,643.236,724.168,
