Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1993,1669,-451,78,940,1102.0,,,,,,,,,,,,,,,,,,,
06/30/1993,-3317,121,77,-62,-3453.0,,,,,,,,,,,,,,,,,,,
09/30/1993,-2131,114,63,19,-2327.0,,,,,,,,,,,,,,,,,,,
12/31/1993,2418,114,45,47,2212.0,,,,,,,,,,,,,,,,,,,
03/31/1994,-3656,42,78,37,-3813.0,,,,,,,,,,,,,,,,,,,
06/30/1994,-634,20,43,150,-847.0,,,,,,,,,,,,,,,,,,,
08/31/1994,-42,5,19,34,-100.0,,,,,,,,,,,,,,,,,,,
11/30/1994,2938,29,13,208,2688.0,,,,,,,,,,,,,,,,,2938.0,,
02/28/1995,328,45,33,13,237.0,,,-20.0,,,,,,,,,,,,,,,,
05/31/1995,637,58,37,9,533.0,,,-10.0,,,,,,,,,,,,,,,,
08/31/1995,2457,71,38,1620,728.0,,,-9.0,,,,,,,,,,,,,,,,
11/30/1995,-1567,68,35,-151,-1519.0,-13.0,,-13.0,,,,,,,,,,,,,,-1580.0,,
02/29/1996,-1109,104,34,84,-1331.0,,,-4.0,,,,,,,,,,,,,,,,
05/31/1996,-521,108,34,-135,-528.0,,,-15.0,,,,,,,,,,,,,,,,
08/31/1996,366,77,32,202,55.0,,,-30.0,,,,,,,,,,,,,,,,
11/30/1996,-2127,127,33,168,-2455.0,,,-9.0,,,,,,,,,,,,,,,,
02/28/1997,-1207,144,32,-661,-722.0,-18.0,,-18.0,,,,,,,,,,,,,,-1225.0,,
05/31/1997,-3855,121,30,381,-4387.0,-16.0,,-16.0,,,,,,,,,,,,,,-3871.0,,
08/31/1997,630,197,44,-239,628.0,-19.0,,-19.0,,,,,,,,,,,,,,611.0,,
11/30/1997,-13,185,32,123,-353.0,,,-21.0,,,,,,,,,,,,,,,,
