Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,429.399994,,,-333.899994,,95.5,,-85.900002,,,,9.6,-11.6,,1.6,,,,10.0,-2.0,-1.6,-3.6,4.7,,,-8.299999,0.0,-8.3,,,-8.3,-8.3,,,,,,,,,,
06/30/2001,478.1,,,-368.5,,109.6,,-87.7,,,,21.9,-1.8,1.8,2.7,-0.9,,,0.0,20.1,-9.4,10.7,0.0,,,10.7,-0.5,10.2,0.0,0.0,10.2,10.2,4.2,260.0,0.04,0.04,0.0575,264.8,0.0375,0.0375,0.055,
09/30/2001,474.0,,,-363.3,,110.7,,-82.5,,,,28.2,-11.5,5.2,6.2,-1.0,,,6.3,16.7,-5.2,11.5,0.0,,,11.5,-0.1,11.4,0.0,0.0,11.4,11.4,,260.0,0.045,0.045,0.065,264.8,0.0425,0.0425,0.0625,
12/31/2001,546.4,,,-423.4,,123.0,,-91.3,,,,31.7,-2.4,,3.6,,,,-1.2,29.3,-7.9,21.4,0.0,,,21.4,,21.4,0.0,0.0,21.4,21.4,,260.0,0.0825,0.0825,0.0825,264.8,0.08,0.08,0.08,
03/31/2002,423.6,,,-335.1,,88.5,,-77.4,,,,11.1,-3.4,3.4,3.8,-0.4,,,0.0,7.7,-2.1,5.6,193.8,,,-188.2,-0.6,-188.8,0.0,0.0,-188.8,-188.8,,260.8,-0.7225,0.02,0.02,265.6,-0.7225,0.02,0.02,
06/30/2002,542.3,,,-428.6,,113.7,,-85.0,,,,28.7,-3.3,3.3,3.3,,,,0.0,25.4,-7.2,18.2,0.0,,,18.2,-0.4,17.8,0.0,0.0,17.8,17.8,,261.2,0.0675,0.0675,0.0675,267.6,0.0675,0.0675,0.0675,
09/30/2002,525.4,,,-425.0,,100.4,,-73.0,,,,27.4,-3.1,3.1,3.1,,,,0.0,24.3,-6.8,17.5,0.0,,,17.5,-0.7,16.8,0.0,0.0,16.8,16.8,,261.6,0.065,0.065,0.065,267.2,0.0625,0.0625,0.0625,
12/31/2002,580.2,,,-465.5,,114.7,,-76.9,,,,37.8,-2.7,,3.9,,0.0,,-1.2,35.1,-10.1,25.0,0.0,,,25.0,-0.5,24.5,0.0,0.0,24.5,24.5,,261.2,0.095,0.095,0.095,267.2,0.0925,0.0925,0.0925,
03/31/2003,499.7,,,-403.1,,96.6,,-83.4,,,,13.2,-2.2,2.2,,,,,0.0,11.0,-2.9,8.1,0.0,,,8.1,-0.2,7.9,0.0,0.0,7.9,7.9,,263.6,0.03,0.03,0.03,265.6,0.03,0.03,0.03,
06/30/2003,609.9,,,-489.2,,120.7,,-88.7,,,,32.0,-2.5,2.5,2.5,,,,0.0,29.5,-8.2,21.3,0.0,,,21.3,-0.2,21.1,0.0,0.0,21.1,21.1,,264.4,0.08,0.08,0.08,267.2,0.08,0.08,0.08,
09/30/2003,560.1,,,-445.8,,114.3,,-86.2,,,,28.1,-2.2,2.2,,,,,0.0,25.9,-7.2,18.7,,,,18.7,-0.1,18.6,,,18.6,18.6,,264.8,0.07,0.07,0.07,268.4,0.07,0.07,0.07,
12/31/2003,637.400024,,,-501.0,,136.400024,,-101.099998,,,,35.299999,-2.0,,3.2,,0.0,,-1.2,33.299999,-9.5,23.799999,0.0,,,23.799999,-0.6,23.200001,0.0,0.0,23.200001,23.200001,,265.600006,0.0875,0.0875,0.09525,268.799988,0.0875,0.0875,0.094,
03/31/2004,562.7,,,-450.2,,112.5,,-91.8,,,,20.7,-2.0,2.0,2.0,,,,0.0,18.7,-5.5,13.2,0.0,,,13.2,0.2,13.4,0.0,0.0,13.4,13.4,,267.2,0.05,0.05,0.05,273.6,0.05,0.05,0.05,
06/30/2004,671.5001,,,-541.7,,129.8001,,-94.0,,,,35.8,-1.8,1.8,1.8,,,,0.0,34.0,-9.8,24.2,0.0,,,24.2,-0.1,24.1,0.0,0.0,24.1,24.1,,268.8,0.09,0.09,0.09,276.0,0.0875,0.0875,0.0875,
09/30/2004,700.0,,,-574.1,,125.9,,-94.0,,,,31.9,-2.1,1.4,1.4,,0.0,,0.7,29.8,-9.0,20.8,0.0,,,20.8,1.2,22.0,0.0,0.0,22.0,22.0,,271.6,0.08,0.08,0.08,278.8,0.08,0.08,0.08,
12/31/2004,833.5,,,-699.6,,133.9,,-111.0,,,,22.9,52.2,,3.1,-1.4,0.0,,-53.9,75.1,-18.0,57.1,0.0,,,57.1,0.1,57.2,0.0,0.0,57.2,57.2,,274.8,0.2075,0.2075,0.105,281.6,0.2025,0.2025,0.0975,
03/31/2005,681.6,,,-580.3,,101.3,,-101.9,,,,-0.6,-1.2,1.2,1.2,,0.0,,0.0,-1.8,2.6,0.8,0.0,,,0.8,-0.8,0.0,0.0,0.0,0.0,0.0,17.0,276.4,0.0,0.0,0.06,276.4,0.0,0.0,0.06,
06/30/2005,812.5,,,-670.8,,141.7,,-105.0,,,,36.7,-1.2,1.2,1.2,,0.0,,0.0,35.5,-5.8,29.7,0.0,,,29.7,-0.3,29.4,0.0,0.0,29.4,29.4,,276.0,0.1075,0.1075,0.1425,282.8,0.105,0.105,0.14,
