Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2018,109648,1799,1657,142,6547,,,4898,347,1902,2649,0,10096,,5532,1041,23340,4384,7078.0,-2694.0,0,81924,22341,10203,12138,366,144,1888,86308,,3866,3642,224,,4371,4371,,,,5005,,,2117,13242,10215,10215,,,,14192,,5267,1594,1799,24407,37649,0,0.0,0.0,0.0,0,,71496,71496,503,71999,109648,
12/31/2018,108683,2275,2270,5,5260,,,5310,0,1821,3022,467,10127,0.0,5484,966,22972,4544,7340.0,-2796.0,0,81167,22248,10193,12055,304,138,1932,85711,,7968,3798,186,3984.0,2154,2129,25.0,25.0,,3188,0.0,0.0,0,13310,5784,5717,67.0,67.0,,14436,0.0,5677,1480,1795,20220,33530,0,0.0,0.0,0.0,0,0.0,74660,74660,493,75153,108683,
03/31/2019,110102,1764,1759,5,5060,4683.0,377.0,5019,0,1350,3266,403,12218,,5512,2765,24061,4521,,,0,81520,22164,10203,11961,294,77,2368,86041,,3315,3120,195,,3414,3158,256.0,43.0,213.0,7349,,,3848,14078,6791,6214,577.0,83.0,494.0,14159,,5554,1523,1570,20950,35028,0,,,,0,,74571,74571,503,75074,110102,
06/30/2019,43998,2083,2077,6,7434,,,3918,228,1373,2103,214,1086,,0,1086,14521,4543,7750.0,-3207.0,0,24934,22081,10249,11832,325,64,2464,29477,,3421,3139,282,,2210,2040,170.0,18.0,152.0,2983,,,2983,8614,545,111,434.0,6.0,428.0,8696,,5538,1430,1728,9241,17855,0,28164.0,7.0,28157.0,0,97.0,-2375,25886,257,26143,43998,
09/30/2019,43235,2097,1980,117,6574,,,4403,417,1691,2295,0,1043,,0,1043,14117,4503,7689.0,-3186.0,0,24615,21835,10168,11667,270,70,2440,29118,,3140,3014,126,,3753,3600,153.0,4.0,149.0,2100,,,2100,8993,523,110,413.0,6.0,407.0,8458,,5405,1328,1725,8981,17974,0,28079.0,7.0,28072.0,0,-397.0,-2667,25015,246,25261,43235,
12/31/2019,42397,1769,1764,5,5528,,,5032,0,1850,2684,498,1190,0.0,0,1165,13519,4546,7872.0,-3326.0,0,24332,21653,10229,11424,287,66,2326,28878,,8048,3702,95,4251.0,147,3,144.0,4.0,140.0,43,0.0,0.0,0,8238,541,110,431.0,5.0,426.0,9063,0.0,6377,920,1766,9604,17842,0,28004.0,7.0,27997.0,0,-425.0,-3270,24309,246,24555,42397,
03/31/2020,42978,1973,1963,10,5779,5367.0,412.0,4401,0,1260,2721,420,2526,,0,2526,14679,4358,,,0,23941,21268,10027,11241,273,64,2336,28299,,7203,3021,143,4039.0,1996,1994,2.0,2.0,,0,,,0,9199,614,614,,,,9086,,6186,911,1989,9700,18899,0,27913.0,7.0,27906.0,0,-155.0,-3933,23825,254,24079,42978,
06/30/2020,42180,2869,2809,60,5787,4396.0,1391.0,3589,0,1364,1831,394,2177,,0,2177,14422,4293,7858.0,-3565.0,0,23465,21139,10069,11070,290,62,1974,27758,,3260,2891,369,,1529,1527,2.0,2.0,,2740,,,2740,7529,1102,1102,,,,8748,,6039,752,1957,9850,17379,0,27898.0,7.0,27891.0,0,508.0,-3845,24561,240,24801,42180,
