Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,2204.145,1151.971,43.492,1108.479,171.586,171.586,,0.0,0,0,0,0,140.66,,,,1464.217,343.534,964.432,-620.898,0,396.394,0.0,0.0,0.0,2.662,393.732,739.928,,96.332,96.332,,,,6.631,0.0,6.631,6.631,581.997,,,,581.997,684.96,11.672,0.0,11.672,11.672,673.224,,,673.224,684.896,1369.856,0,,,,,,799.125,799.125,35.164,834.289,2204.145,
03/31/2006,3266.846,866.945,206.631,660.314,322.684,322.684,,,0,0,0,0,152.454,,,,1342.083,411.637,,,0,1513.126,1114.755,528.155,586.6,,398.371,1924.763,,317.349,317.349,,,,0.0,,,,536.101,,,,536.101,853.45,0.0,,,,932.393,,,932.393,932.393,1785.843,0,1515.761,,,-65.569,1.709,-7.166,1444.735,36.268,1481.003,3266.846,
06/30/2006,3494.949,1105.351,272.666,832.685,314.366,314.366,,,0,0,0,0,137.925,,,,1557.642,403.603,,,0,1533.704,1113.271,528.771,584.5,,420.433,1937.307,,337.905,337.905,,,,0.0,,,,661.56,,,,661.56,999.465,0.0,,,,932.751,,,932.751,932.751,1932.216,0,1536.976,,,-65.569,62.882,-8.749,1525.54,37.193,1562.733,3494.949,
09/30/2006,3220.162,842.25,255.604,586.646,284.133,284.133,,0.0,0,0,0,0,133.071,,,,1259.454,393.0,,,0,1567.708,1120.29,535.79,584.5,,447.418,1960.708,,344.793,344.793,,,,0.0,,,,289.671,,,,289.671,634.464,0.0,,,,944.444,,,944.444,944.444,1578.908,0,1543.635,,,-65.569,130.847,-5.751,1603.162,38.092,1641.254,3220.162,
12/31/2006,3466.0,979.0,278.0,701.0,335.0,335.0,,0.0,0,0,0,0,129.0,,,,1443.0,378.0,1090.0,-712.0,0,1645.0,1119.151,536.0,583.151,,525.849,2023.0,,399.0,399.0,,,,0.0,,,,407.0,,,,407.0,806.0,0.0,,,,991.0,,,991.0,991.0,1797.0,0,1557.0,,,-66.0,183.0,-5.0,1669.0,0.0,1669.0,3466.0,
03/31/2007,3674.376,1022.974,243.924,779.05,444.812,444.812,,,0,0,0,0,126.256,,,,1594.042,372.202,,,0,1708.132,1143.23,556.188,587.042,,564.902,2080.334,,371.211,371.211,,,,0.0,,,,586.918,,,,586.918,958.129,0.0,,,,941.274,,,941.274,941.274,1899.403,0,1583.474,,,-65.569,260.916,-3.848,1774.973,0.0,1774.973,3674.376,
06/30/2007,16931.0,1731.0,577.0,1154.0,651.0,651.0,,,0,0,0,0,441.0,,,,2823.0,596.0,,,0,13512.0,11843.0,4824.0,7019.0,729.0,940.0,14108.0,,821.0,821.0,,,,3005.0,,,,775.0,,,,775.0,4601.0,518.0,,,,2998.0,,,2998.0,3516.0,8117.0,0,8254.0,,,-74.0,356.0,96.0,8632.0,182.0,8814.0,16931.0,
09/30/2007,16274.0,1489.0,728.0,761.0,570.0,570.0,,0.0,0,0,0,0,177.0,,,,2236.0,575.0,,,0,13463.0,12225.0,4986.0,7239.0,214.0,1024.0,14038.0,,795.0,795.0,,,,2169.0,,,,405.0,,,,405.0,3369.0,531.0,,,,3025.0,,,3025.0,3556.0,6925.0,0,8281.0,,,-67.0,547.0,388.0,9149.0,200.0,9349.0,16274.0,
12/31/2007,16618.0,1500.0,934.0,566.0,489.0,489.0,,0.0,0,0,0,0,289.0,,,,2278.0,519.0,1834.0,-1315.0,0,13821.0,11867.0,4687.0,7180.0,337.0,1617.0,14340.0,,761.0,761.0,,,,2164.0,,,,537.0,,,,537.0,3462.0,494.0,,,,3102.0,,,3102.0,3596.0,7058.0,0,8322.0,,,-67.0,637.0,492.0,9384.0,176.0,9560.0,16618.0,
03/31/2008,17721.0,1674.0,1139.0,535.0,740.0,740.0,,0.0,0,0,0,0,240.0,,,,2654.0,595.0,,,0,14472.0,12925.0,5346.0,7579.0,320.0,1227.0,15067.0,,,,,,,2515.0,,,,1418.0,,,,1418.0,3933.0,519.0,,,,3148.0,,,3148.0,3667.0,7600.0,0,8295.0,,,-83.0,801.0,849.0,9862.0,259.0,10121.0,17721.0,
