Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,476,16288,,16764,120.0,50.0,170.0,13.363279,457.271196,,470.634475,1.068438,36.560347,,37.628785,
06/30/2008,394,17940,,18334,114.0,44.0,158.0,10.125932,461.063994,,471.189925,0.814723,37.096774,,37.911497,
09/30/2008,879,18650,,19529,465.0,2.0,467.0,21.63426,459.020428,,480.654689,1.666035,35.348749,,37.014784,
12/31/2008,578,21334,,21912,2.0,3.0,5.0,14.232948,525.338587,,539.571534,1.118529,41.284954,,42.403483,
03/31/2009,361,21828,,22189,,,,8.393397,507.509881,,515.903278,0.657583,39.761011,,40.418594,
06/30/2009,322,23685,,24007,,2.0,2.0,6.97876,513.328999,,520.307759,0.517178,38.041471,,38.558648,
09/30/2009,320,28267,,28587,1.0,2.0,3.0,6.526616,576.524577,,583.051193,0.470699,41.578901,,42.0496,
12/31/2009,2704,29987,,32691,,,,53.301794,591.109797,,644.411591,3.584733,39.754212,,43.338946,
03/31/2010,968,30557,,31525,,,,17.0693,538.829131,,555.898431,1.235687,39.00711,,40.242797,
06/30/2010,1427,31956,,33383,,,,24.272836,543.56183,,567.834666,1.734006,38.831035,,40.56504,
09/30/2010,1918,32312,,34230,,,,31.781276,535.410108,,567.191384,2.197072,37.013448,,39.21052,
12/31/2010,1260,31395,,32655,,,,20.237713,504.256344,,524.494057,1.361162,33.915608,,35.27677,
03/31/2011,1748,32041,,33789,,,,26.9462,493.926314,,520.872514,1.842269,33.768958,,35.611226,
06/30/2011,2248,32126,,34374,83.0,4.0,87.0,33.382833,477.071577,,510.45441,2.30394,32.925429,,35.229369,
09/30/2011,363,35796,,36159,31.0,4.0,35.0,4.741999,467.615937,,472.357936,0.352749,34.785144,,35.137893,
12/31/2011,535,38636,,39171,,,,6.935442,500.855587,,507.791029,0.492847,35.591831,,36.084678,
03/31/2012,380,43038,,43418,,,,4.557994,516.228859,,520.786854,0.340862,38.605335,,38.946198,
06/30/2012,486,44134,,44620,,,,5.334797,484.456641,,489.791438,0.434643,39.470201,,39.904844,
09/30/2012,646,46609,,47255,,,,6.825145,492.435288,,499.260433,0.549049,39.613966,,40.163015,
12/31/2012,961,52030,0.0,52991,,,,10.0219,542.600897,0.0,552.622797,0.719112,38.933828,0.0,39.65294,
03/31/2013,478,54019,,54497,,,,4.889525,552.567512,,557.457038,0.358525,40.517086,,40.875611,
06/30/2013,450,53290,,53740,,,,4.62963,548.251029,,552.880658,0.331109,39.210637,,39.541745,
09/30/2013,1099,57435,,58534,,,,10.93206,571.321993,,582.254054,0.783819,40.963263,,41.747081,
12/31/2013,1611,56963,0.0,58574,,,,15.518736,548.72363,0.0,564.242366,1.121538,39.656229,0.0,40.777767,
03/31/2014,1446,57559,0.0,59005,,,,13.370319,532.214517,0.0,545.584836,1.003707,39.953216,0.0,40.956923,
06/30/2014,1939,57457,,59396,,,,17.358997,514.38675,,531.745748,1.352152,40.067364,,41.419516,
09/30/2014,2171,56101,,58272,,,,18.922688,488.982829,,507.905517,1.472423,38.049022,,39.521445,
12/31/2014,2583,61201,0.0,63784,,,,21.884267,518.520715,0.0,540.404982,1.670309,39.575924,0.0,41.246233,
03/31/2015,1229,66747,0.0,67976,,,,10.10857,548.996545,0.0,559.105116,0.767315,41.672858,0.0,42.440173,
06/30/2015,1300,68836,0.0,70136,,,,10.464461,554.101264,0.0,564.565725,0.79449,42.068852,0.0,42.863342,
09/30/2015,1979,71882,0.0,73861,,,,14.996969,544.725674,0.0,559.722643,1.161371,42.183777,0.0,43.345149,
12/31/2015,2435,74019,0.0,76454,,,,18.16893,552.298164,0.0,570.467094,1.325495,40.292316,0.0,41.617811,
03/31/2016,1815,79982,0.0,81797,,,,12.506029,551.105905,0.0,563.611934,0.950272,41.875831,0.0,42.826103,
06/30/2016,2755,82216,0.0,84971,,,,18.378919,548.472315,0.0,566.851234,1.391049,41.51233,0.0,42.903379,
09/30/2016,1599,83472,0.0,85071,,,,10.336134,539.573368,0.0,549.909502,0.76384,39.874461,0.0,40.638301,
12/31/2016,1896,86068,0.0,185303,,,,11.546191,524.133731,0.0,1128.451373,0.848766,38.529342,0.0,82.953045,
03/31/2017,1988,59603,0.0,61591,,,,11.706513,350.977506,0.0,362.684018,0.875536,26.249774,0.0,27.12531,
