Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,429,259,210,-96,,-96,56,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,321,105,209,53,,53,-46,,,,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,297,178,217,9,,9,-107,,,,-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,57,237,172,56,,56,-408,,,,-408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,424,107,192,22,,22,103,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,174,16,194,72,,72,-108,,,,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,447,56,214,-4,,-4,181,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-15,79,590,-465,,-465,-219,,,,-219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,68,-149,204,55,,55,-42,,,,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,320,100,201,-13,,-13,32,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,499,105,209,3,,3,182,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,21,124,206,-108,,-108,-201,,,,-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,200,61,194,10,,10,-65,,,,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,364,121,200,62,,62,-19,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,412,41,207,91,,91,73,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,332,20,240,18,,18,54,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,190,127,204,-31,,-31,-110,,,,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,226,76,201,41,,41,-92,,,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,373,119,191,-6,,-6,69,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,414,162,198,3,,3,51,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,352,111,211,-7,,-7,37,,,,37,,,-248.0,,,,-248.0,,,,,,,,,,248.0,,,,,,,,,,,,,,,
06/30/1995,401,113,281,37,,37,-30,,,,-30,,,-301.0,,,,-301.0,,,,,,,,,,301.0,,,,,,,,,,,,,,,
