Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,27581.0,165.6,165.6,0,916.3,,,115.4,,,,,183.0,293.3,,,,148.0,1380.3,16803.5,18806.3,-2002.8,3886.2,3695.6,190.6,5511.0,5004.1,4744.3,259.8,,213.6,26200.7,,1165.8,620.8,58.3,292.1,194.6,805.3,36.6,0.0,0.0,,768.7,348.1,0.0,830.6,0,2319.2,12879.7,12879.7,0.0,0.0,,3537.0,0.0,54.3,2035.9,616.2,16416.7,18735.9,0,4338.4,0.0,4338.4,0,0.0,-167.9,4170.5,4674.6,8845.1,27581.0,
09/30/2010,28748.8,196.6,196.6,0,779.5,,,130.2,,,,,155.6,780.8,,,,105.6,1261.9,16947.9,,,4415.9,4223.8,192.1,6123.1,5168.3,4821.2,347.1,,174.0,27486.9,,1227.9,599.9,92.5,126.4,409.1,2485.4,31.4,,,,2454.0,299.6,,1154.4,0,4012.9,12406.2,12406.2,,,,3600.4,,,1863.9,582.1,16006.6,20019.5,0,3707.7,,,0,,-104.5,3603.2,5126.1,8729.3,28748.8,
12/31/2010,28908.1,502.4,502.4,0,971.4,,,94.2,,,,,218.9,301.7,,,,158.8,1786.9,17070.7,20024.6,-2953.9,4406.1,4291.1,115.0,5644.4,5170.1,4830.9,339.2,,172.6,27121.2,,1218.3,647.5,44.7,310.4,215.7,2047.6,34.3,0.0,0.0,,2013.3,378.2,0.0,828.5,0,3644.1,13156.6,13156.6,0.0,0.0,,3568.4,0.0,58.1,2092.7,589.1,16725.0,20369.1,0,3575.6,8.094629,3567.505371,0,0.0,-136.5,3439.1,5099.9,8539.0,28908.1,
03/31/2011,28406.5,189.5,189.5,0,843.8,,,120.4,,,,,135.1,224.6,,,,99.9,1288.8,17133.7,,,4428.3,4310.4,117.9,5555.7,5151.9,4826.8,325.1,,179.2,27117.7,,1174.4,601.1,141.0,124.8,307.5,1738.3,37.1,,,,1701.2,484.3,,855.8,0,3397.0,13293.3,13293.3,,,,3502.4,,,2054.3,592.3,16795.7,20192.7,0,3405.8,8.1,3397.7,0,84.4,-192.0,3298.2,4915.6,8213.8,28406.5,
06/30/2011,28969.9,354.4,354.4,0,919.2,,,149.7,,,,,209.3,340.9,,,,169.5,1632.6,17227.5,,,4433.9,4311.7,122.2,5675.9,5168.9,4828.1,340.8,,166.1,27337.3,,1314.7,663.7,75.8,318.2,257.0,1410.4,20.4,,,,1390.0,305.5,,889.4,0,3030.6,13295.8,13295.8,,,,3840.1,,,2143.8,806.9,17135.9,20166.5,0,3424.1,8.1,3416.0,0,117.5,-113.8,3427.8,5375.6,8803.4,28969.9,
09/30/2011,30157.4,273.9,273.9,0,830.2,,,128.5,,,,,245.6,771.5,,,,110.4,1478.2,17715.9,,,3832.7,3668.7,164.0,7130.6,6141.9,4940.6,1201.3,,217.2,28679.2,,1128.1,640.4,102.0,126.8,258.9,3102.9,41.9,,,,3061.0,164.0,,1168.2,0,4395.0,12704.7,12704.7,,,,4310.2,,,2226.3,915.7,17014.9,21409.9,0,3431.4,8.1,3423.3,0,56.5,-32.4,3455.5,5292.0,8747.5,30157.4,
12/31/2011,30717.0,411.4,411.4,0,914.2,,,171.6,,,,,166.1,697.9,,,,88.8,1663.3,17926.0,21837.8,-3911.8,3909.4,3744.4,165.0,7218.3,6258.2,5073.5,1184.7,,262.2,29053.7,,1387.3,728.7,38.8,329.8,290.0,2921.3,22.7,0.0,0.0,,2898.6,220.4,0.0,38.7,0,4529.0,14356.4,14356.4,0.0,0.0,,3264.0,0.0,85.3,2199.1,940.9,17620.4,22149.4,0,3438.1,8.0,3430.1,0,-3.0,-114.6,3320.5,5247.1,8567.6,30717.0,
03/31/2012,30370.0,494.0,494.0,0,761.0,,,235.0,,,,,2412.0,580.0,2287.0,,,58.0,3902.0,17304.0,,,2347.0,2180.0,167.0,6817.0,5993.0,4829.0,1164.0,,244.0,26468.0,,887.0,629.0,132.0,126.0,,2190.0,64.0,,,,2126.0,631.0,,1109.0,377,3708.0,14204.0,14204.0,,,,4336.0,,,2239.0,988.0,18540.0,22248.0,0,3446.0,8.0,3438.0,0,-202.0,-128.0,3116.0,5006.0,8122.0,30370.0,
06/30/2012,69575.0,675.0,675.0,0,1275.0,,,361.0,,,,,3020.0,793.0,2019.0,,,840.0,5331.0,30613.0,,,6301.0,6114.0,187.0,27330.0,24595.0,23453.0,1142.0,,1942.0,64244.0,,1645.0,947.0,182.0,516.0,,3299.0,28.0,,,,3271.0,1188.0,,201.0,901,6132.0,31053.0,31053.0,,,,9200.0,,,3627.0,5372.0,40253.0,46385.0,0,14818.0,11.0,14807.0,0,-556.0,-42.0,14220.0,8970.0,23190.0,69575.0,
09/30/2012,70053.0,775.0,775.0,0,1296.0,,,379.0,,,,,2672.0,784.0,1909.0,,,681.0,5122.0,30881.0,,,6327.0,6135.0,192.0,27723.0,24749.0,23557.0,1192.0,,2190.0,64931.0,,1669.0,1066.0,240.0,363.0,,4015.0,66.0,,,,3949.0,1176.0,,182.0,934,6860.0,29780.0,29780.0,,,,9515.0,,,3920.0,5413.0,39295.0,46155.0,0,14935.0,11.0,14924.0,0,-733.0,-56.0,14146.0,9752.0,23898.0,70053.0,
