Date,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Total Capital,Total Debt/Total Capital,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,-583,700.0,0.0,96504,100091,96.416261,,
06/30/1990,-544,700.0,0.0,93531,97149,96.275824,,
09/30/1990,-1777,700.0,0.0,94321,97869,96.374746,,
12/31/1990,-1252,700.0,0.0,99610,103133,96.584023,,
03/31/1991,-1620,700.0,0.0,109391,113156,96.672735,,
06/30/1991,-846,812.0,0.0,122929,126916,96.858552,,
09/30/1991,-1016,812.0,0.0,85938,89925,95.566305,,
12/31/1991,-643,812.0,0.0,87246,91261,95.60053,,
03/31/1992,-716,812.0,0.0,91738,95919,95.641114,,
06/30/1992,-1136,812.0,0.0,111765,116108,96.259517,,
09/30/1992,-891,812.0,0.0,132761,137019,96.892402,,
12/31/1992,-620,812.0,0.0,149799,154107,97.20454,,
03/31/1993,-976,1012.0,0.0,161346,165652,97.400575,,
06/30/1993,-720,1012.0,0.0,153385,158038,97.055771,,
09/30/1993,-626,1012.0,0.0,158913,163729,97.058554,,
12/31/1993,-908,1012.0,0.0,172797,178128,97.007208,,
03/31/1994,-688,1012.0,0.0,158564,163671,96.879716,,
06/30/1994,-720,1012.0,0.0,159159,163954,97.075399,,
09/30/1994,-4008,1012.0,0.0,145388,150073,96.878186,,
12/31/1994,-3539,1012.0,0.0,161759,166251,97.298061,,
03/31/1995,-1580,1012.0,0.0,151914,156469,97.08888,,
06/30/1995,-2444,1012.0,0.0,151441,155911,97.13298,,
09/30/1995,-1920,1012.0,0.0,148457,153156,96.931886,,
12/31/1995,-1454,872.0,0.0,178507,183210,97.433,,
03/31/1996,-2163,1122.0,0.0,171226,176409,97.061941,,
06/30/1996,-1813,1122.0,0.0,167402,172790,96.881764,,
09/30/1996,-1620,1355.0,0.0,174431,180127,96.837787,,
12/31/1996,-1230,1215.0,0.0,184843,190465,97.048277,,
03/31/1997,-1278,1215.0,0.0,201853,207612,97.226076,,
06/30/1997,-2081,1215.0,0.0,220315,226167,97.412531,,
09/30/1997,-1134,1215.0,0.0,219332,225363,97.323873,,
03/31/2017,-214776,,,357949,391000,91.547059,,
06/30/2017,-207493,,,347321,380673,91.238675,,
09/30/2017,-221865,,,361561,395261,91.473988,,
12/31/2017,-202904,0.0,,351720,384771,91.410215,,
03/31/2018,-226591,,,389549,422462,92.20924,,
06/30/2018,-233349,,,396082,428390,92.458274,,
09/30/2018,-249366,,,399188,431355,92.542801,,
12/31/2018,-237028,0.0,0.0,388777,421442,92.24923,,
03/31/2019,-230962,,,418823,451391,92.784969,,
06/30/2019,-227762,,,428772,462051,92.797548,,
09/30/2019,-229381,,,438527,471713,92.96479,,
12/31/2019,-222664,0.0,0.0,401857,434616,92.462542,,
03/31/2020,-229929,,,483585,519270,93.127853,,
09/12/2020,-229929,,,483585,519270,93.1278525622509,,
