Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/01/1990,1262.321045,-740.093018,522.228027,-310.679993,211.548004,-42.595001,0.0,17.25,186.203003,-79.900002,106.303001,0.0,,106.303001,0.0,106.303001,106.303001,,0.608,0.608,174.750004,,,,,
07/01/1990,1357.284058,-773.479004,583.805054,-313.470001,270.334991,-41.900002,0.0,19.476,247.91099,-105.599998,142.311005,0.0,,142.311005,0.0,142.311005,142.310991,,0.819,0.819,173.75,,,,,
09/30/1990,1214.771973,-783.21698,431.554993,-287.609009,143.945999,-41.821999,0.0,24.09,126.214001,-54.5,71.713997,0.0,,71.713997,0.0,71.713997,71.714001,,0.416,0.416,172.450008,,,,,
12/31/1990,1551.224976,-959.484009,591.740967,-294.355011,297.385986,-42.542,0.0,22.608,277.451986,-120.0,157.451996,0.0,,157.451996,0.0,157.451996,157.451986,0.934,0.934,0.934,168.60001,0.934,0.934,0.934,168.60001,
03/31/1991,1255.279053,-834.877014,420.402039,-290.134003,130.268005,-44.541,0.0,17.671,103.398005,-44.799999,58.598,0.0,,58.598,0.0,58.598,58.598005,,0.35,0.35,167.549992,,,,,
06/30/1991,1357.833984,-798.265015,559.56897,-310.877991,248.690994,-45.064999,0.0,21.759001,225.384996,-97.599998,127.785004,0.0,,127.785004,0.0,127.785004,127.784998,,0.76,0.76,168.150005,,,,,
09/29/1991,1209.305054,-806.684021,402.621033,-280.513,122.108002,-47.658001,0.0,24.309,98.759001,-44.799999,53.959,0.0,,53.959,0.0,53.959,53.959002,,0.321,0.321,168.150005,,,,,
12/31/1991,1559.571045,-1023.802002,535.769043,-275.602997,260.165985,-42.083,0.0,16.570999,234.653984,-100.300003,134.354004,-31.203,,103.151001,0.0,103.151001,134.353981,0.803,0.803,0.616,167.4,0.803,0.803,0.616,167.4,
03/29/1992,1095.421021,-707.309021,388.112,-290.191986,97.919998,-27.146,0.0,4.472,75.245998,-33.5,41.745998,-143.235008,,-101.488998,0.0,-101.488998,41.745998,,0.251,-0.612,166.550007,,,,,
06/28/1992,1391.321045,-832.849976,558.471069,-289.742004,268.729004,-27.309,0.0,30.495001,271.915005,-124.400002,147.514999,0.0,,147.514999,0.0,147.514999,147.515003,,0.884,0.884,166.900005,,,,,
