Date,Cash From Operating Activities,Cash Flow Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,16.927999,9.512,5.635,1.6,0.0,0.181,,,,,,,,,,,,,,,,,,,,,
06/30/1994,24.215,10.765,6.531,0.0,0.0,6.919,,,,,,,,,,,,,,,,,,,,,
09/30/1994,25.604,12.727,6.859,0.0,0.0,6.018,,,,,,,,,,,,,,,,,,,,,
12/31/1994,27.878,13.715,7.492,0.0,0.0,6.671,,,,,,,,,,,,,,,,,,,,,
03/31/1995,12.016,14.54,7.671,0.12,0.0,-10.315,,,,,,,,,,,,,,,,,,,,,
06/30/1995,38.363998,20.806,9.448,0.0,0.0,8.11,,,,,,,,,,,,,,,,,,,,,
09/30/1995,33.958,23.202999,9.883,0.1,0.0,0.772,,,,,,,,,,,,,,,,,,,,,
12/31/1995,42.702999,25.77,11.226,0.2,2.623,2.884,,,,,,,,,,,,,,,,,,,,,
03/31/1996,16.172001,25.843,11.036,0.0,-2.923,-17.784,,39.146999,-101.322998,0.0,0.0,0.0,1.081,0.0,0.0,-61.095001,26.341999,-22.437,-6.389,56.766,57.25,-0.484,0.0,0.0,-1.598,-18.580999,
06/30/1996,43.950001,28.752001,11.033,0.0,-5.16,9.325,,46.549,-182.638,0.0,0.0,0.0,0.067,0.0,0.0,-136.022003,88.091003,-22.348,-6.385,116.610001,143.0,-26.389999,0.0,0.0,0.214,-3.981,
09/30/1996,36.466,49.973999,11.589,0.0,-25.257,0.16,,96.793999,-178.451004,0.0,0.0,0.0,0.302,0.0,-13.503,-94.858002,61.187,-22.559999,-6.182,91.667998,92.099998,-0.432,0.0,0.0,-1.739,2.795,
12/31/1996,47.349998,26.141001,13.253,0.0,-4.152,12.108,,108.566002,-166.227997,0.0,0.0,0.0,-24.372999,0.0,13.075,-68.959999,20.1,-23.382999,-5.211,51.113998,68.849998,-17.736,0.116,0.0,-2.536,-1.51,
03/31/1997,22.725,45.611,12.466,1.5,-25.334999,-11.517,,142.136993,-177.876999,0.0,0.0,0.0,-75.220001,0.0,-3.075,-114.035004,93.650002,-24.712,-5.035,123.527993,133.664993,-10.137,0.087,0.0,-0.218,2.34,
06/30/1997,47.393002,34.937,13.055,0.0,-11.872,11.273,,107.679001,-193.373001,0.0,0.0,0.0,-24.323999,0.0,36.674,-73.344002,23.58,-24.945,-4.805,-2.110001,9.15,-11.26,55.922001,0.0,-0.482,-2.371,
09/30/1997,31.549999,-36.133999,13.813,0.0,60.984001,-7.113,,40.700001,-97.470001,0.0,0.0,0.0,35.973999,0.0,-62.841999,-83.638,52.689999,-25.815001,-4.785,-110.953001,-103.582001,-7.371,194.966995,0.0,-0.724,0.602,
12/31/1997,58.056,28.504,15.207,1.5,-0.302,13.147,,7.379,-147.380005,0.0,0.0,0.0,-21.337,0.0,29.243,-132.095001,72.751999,-30.075001,-4.759,107.704,132.067001,-24.363001,-0.024,0.0,-0.094,-1.287,
03/31/1998,34.534,44.783001,16.674,0.0,-15.484,-11.439,,99.538002,-117.612999,0.0,0.0,0.0,-2.865,0.0,-15.287,-36.227001,2.076,-31.495001,-4.712,38.212001,50.152,-11.94,0.0,0.0,0.071,0.383,
06/30/1998,56.926998,28.048,16.382,3.0,0.0,9.497,,0.0,-129.158005,0.0,0.0,0.0,-7.844,0.0,12.925,-124.077003,64.489998,-32.403,-4.757,64.341997,80.447998,-16.106001,44.008999,0.0,-6.701,-2.66,
09/30/1998,62.43,57.667999,31.414,0.0,-19.707001,-6.945,,121.639,-190.772003,0.0,0.0,0.0,-1.548,0.0,-4.593,-75.274002,19.434,-50.827999,-5.723,77.996001,93.081001,-15.085,0.0,0.0,-2.011,6.59,
12/31/1998,67.643005,67.461006,32.437996,1.7,-28.842995,-5.112999,,179.854004,-250.608002,0.0,0.0,0.0,0.361999,0.0,-3.175001,-73.566994,6.803001,-50.464005,-5.746,67.154007,-133.10199,200.255997,0.0,0.0,-4.140999,0.879019,
03/31/1999,52.008999,43.535999,32.830002,2.0,-5.319,-21.038,,110.501999,-236.921005,0.0,0.0,0.0,0.0,0.0,92.315002,-34.104,1.465,-53.363998,-5.691,149.794001,123.192001,26.601999,0.0,-88.195,-1.078,19.370001,
06/30/1999,73.875,56.074001,31.563999,0.0,-13.659,-0.104,,82.82,-169.326004,0.0,0.0,0.0,0.0,0.0,-35.568001,-122.073997,24.209,-51.400002,-5.885,84.89,74.152,10.738,0.0,-6.169,2.773,-23.99,
09/30/1999,78.122002,71.269997,17.451,0.0,-26.796,0.228,,182.087006,-168.735992,0.0,0.0,0.0,4.315,0.0,-46.157001,-28.490999,-46.814999,-51.639,-5.766,-61.551001,-42.923,-18.628,82.239998,-8.145,-1.954,2.816,
12/31/1999,78.530998,57.379002,15.256,0.0,-11.206,49.172001,,197.332001,-226.822006,0.0,0.0,0.0,-4.315,0.0,8.033,-25.771999,-51.001999,-51.615002,-6.389,14.993,44.464001,-29.471001,7.989,-19.072001,3.091,1.757,
03/31/2000,61.730999,45.884998,36.762001,0.0,0.065,-20.981001,,31.239,-234.684006,0.0,0.0,0.0,0.0,0.0,54.928001,-148.516998,86.315002,-53.504002,-7.875,116.802998,70.127998,46.674999,31.224001,0.0,-0.333,-0.471,
06/30/2000,103.824997,86.818001,36.862,0.4,-39.936001,19.681,,266.985992,-132.785004,0.0,0.0,0.0,39.828999,5.088,-58.243,120.875,-220.007004,-53.757999,-8.303,-166.685997,-257.455994,90.769997,9.706,-0.773,-0.193,4.693,
