Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/1989,148.082001,,,-98.555,,49.527,,-41.563,,,7.964,-3.904,,4.591,,0.0,,-0.687,4.06,-1.08,2.98,0.0,,,2.98,0.0,2.98,-2.047,,0.933,0.933,,18.66,0.05,0.05,,18.66,0.05,0.05,0.05,
07/30/1989,166.436005,,,-113.371002,,53.065002,,-43.049,,,10.016,-4.764,,4.774,,0.0,,-0.01,5.252,-1.47,3.782,0.0,,,3.782,0.0,3.782,-2.048,,1.734,1.734,,19.17,0.09,0.09,,19.17,0.09,0.09,0.09,
10/29/1989,232.485992,,,-155.904007,,76.581985,,-51.834999,,,24.747,-4.734,,5.408,,0.0,,-0.674,20.013,-5.26,14.753,0.0,,,14.753,0.0,14.753,-2.048,,12.705,12.705,,19.309999,0.66,0.66,,19.309999,0.66,0.66,0.66,
01/28/1990,185.932007,,,-123.945999,,61.986008,,-52.355999,,,9.63,-6.261,,4.366,,0.0,,1.895,3.369,-0.692,2.677,0.0,,,2.677,0.0,2.677,-2.047,,0.63,0.63,,18.178106,0.035,0.035,,18.178106,0.035,0.035,0.035,
04/29/1990,155.373993,,,-98.429001,,56.944992,,-52.046001,,,4.899,-3.994,,4.695,,0.0,,-0.701,0.905,-0.262,0.643,0.0,,,0.643,0.0,0.643,-2.047,,-1.404,-1.404,,18.224001,-0.075,-0.075,,18.224001,-0.075,-0.075,-0.075,
07/29/1990,191.056,,,-123.307999,,67.748001,,-55.216,,,12.532,-4.637,,5.408,,0.0,,-0.771,7.895,-2.243,5.652,0.0,,,5.652,0.0,5.652,-2.047,,3.605,3.605,,18.252001,0.185,0.185,,18.252001,0.185,0.185,0.185,
10/28/1990,241.457001,,,-156.658005,,84.798996,,-59.203999,,,25.594999,-4.958,,5.535,,0.0,,-0.577,20.636999,-5.737,14.9,0.0,,,14.899999,0.0,14.9,0.0,,14.9,14.9,,18.264,0.615,0.615,,18.264,0.615,0.615,0.615,
02/03/1991,218.427994,,,-143.697998,,74.729996,,-61.549999,,,13.18,-7.438,,4.713,,0.0,,2.725,5.742001,-0.553,5.189,0.0,,,5.189001,0.0,5.189,0.0,,5.189,5.189,,18.352594,0.23,0.23,,18.352594,0.23,0.23,0.23,
05/05/1991,180.375,,,-118.210999,,62.164001,,-58.935001,,,3.229,-4.506,,4.461,,0.0,,0.045,-1.277,0.397,-0.88,0.0,,,-0.88,0.0,-0.88,-2.047,,-2.927,-2.927,,18.444,-0.16,-0.16,,18.444,-0.16,-0.16,-0.16,
08/04/1991,205.302002,,,-129.134995,,76.167007,,-62.743999,,,13.423,-4.571,,4.752,,0.0,,-0.181,8.852,-2.88,5.972,0.0,,,5.972,0.0,5.972,-2.048,,3.924,3.924,,18.511999,0.2,0.2,,18.511999,0.2,0.2,0.2,
11/03/1991,286.325012,,,-186.574005,,99.751007,,-68.541,,,31.209999,-5.038,,4.707,,0.0,,0.331,26.171999,-8.624,17.548,0.0,,,17.548,0.0,17.548,0.0,,17.548,17.548,,18.576,0.77,0.77,,18.576,0.77,0.77,0.77,
02/02/1992,232.098007,,,-149.459,,82.639008,,-68.512001,,,14.127,-3.827,,3.86,,0.0,,-0.033,10.3,-1.803,8.497,0.0,,,8.497,0.0,8.497,0.0,,8.497,8.497,,18.70294,0.5,0.5,,18.70294,0.5,0.5,0.5,
05/03/1992,208.272003,,,-131.981995,,76.290009,,-71.179001,,,5.111,-5.291,,3.95,,0.0,,1.341,-0.18,0.057,-0.123,0.0,,,-0.123,0.0,-0.123,-2.047,,-2.17,-2.17,,18.822001,-0.12,-0.12,,18.822001,-0.12,-0.12,-0.12,
08/02/1992,239.490997,,,-150.632996,,88.858002,,-75.295998,,,13.562,-3.947,,4.17,,0.0,,-0.223,9.615,-3.157,6.458,0.0,,,6.458,0.0,6.458,-0.091,,6.367,6.367,,26.750999,0.24,0.24,,26.750999,0.24,0.24,0.24,
11/01/1992,322.32901,,,-205.164993,,117.164017,,-80.377998,,,36.785999,-4.157,,4.186,,0.0,,-0.029,32.628999,-10.744,21.885,0.0,,,21.884999,0.0,21.885,0.0,,21.885,21.885,,25.299,0.81,0.81,,25.299,0.81,0.81,0.81,
01/31/1993,272.472992,,,-169.259995,,103.212997,,-85.603996,,,17.608999,-5.192,,4.512,,0.0,,0.68,12.416999,-2.756,9.661,0.0,,,9.660999,0.0,9.661,0.0,,9.661,9.661,,25.647736,0.36,0.36,,25.647736,0.36,0.36,0.36,
05/02/1993,221.923996,,,-143.800003,,78.123993,,-76.945999,,,1.178,-4.4,,4.443,,0.0,,-0.043,-3.222,1.014,-2.208,0.0,,,-2.208,0.0,-2.208,0.0,,-2.208,-2.208,,26.011,-0.08,-0.08,,26.011,-0.08,-0.08,-0.08,
08/01/1993,264.015991,,,-167.016006,,96.999985,,-81.106003,,,15.894,-4.618,,4.489,,0.0,,0.129,11.276,-3.519,7.757,0.0,,,7.757,0.0,7.757,0.0,,7.757,7.757,,27.063,0.29,0.29,,27.063,0.29,0.29,0.29,
10/31/1993,357.389008,,,-231.009995,,126.379013,,-84.453003,,,41.925999,-5.941,,4.704,,0.0,,1.237,35.984999,-11.465,24.52,0.0,,,24.519999,0.0,24.52,0.0,,24.52,24.52,,27.09,0.91,0.91,,27.09,0.91,0.91,0.91,
01/30/1994,309.065002,,,-197.942001,,111.123001,,-89.809998,,,21.313,-1.634,,3.043,,0.0,,-1.409,19.679,-6.41,13.269,11.394,,,1.875,0.0,1.875,0.0,,1.875,1.875,,27.229,0.06,0.48,,27.229,0.06,0.48,0.48,
05/01/1994,238.897003,,,-159.735001,,79.162003,,-81.371002,,,-2.209,-3.322,,3.322,,0.0,,,-5.531,2.0,-3.531,0.0,,,-3.531,0.0,-3.531,0.0,,-3.531,-3.531,,26.518999,-0.13,-0.13,,26.518999,-0.13,-0.13,-0.13,
