Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/1996,329.0,,-120.400002,,208.599998,,-166.199997,,,,42.400002,0.9,,0.9,,,-1.8,43.300002,-11.7,31.6,0.0,,,31.600002,0.0,31.6,0.0,,31.6,31.6,,,,,,,,,,
06/30/1996,379.0,,-134.399994,,244.600006,,-170.0,,,,74.599998,-5.8,,1.5,,,4.3,68.799998,-18.200001,50.599998,0.0,,,50.599998,0.0,50.599998,0.0,,50.599998,50.599998,,,,,,,,,,
09/28/1996,290.600006,,-104.599998,,186.000008,,-154.899994,,,,31.1,-6.8,,4.7,,,2.1,24.300001,-6.2,18.1,0.0,,,18.100001,0.0,18.1,0.0,,18.1,18.1,,63.099998,0.29,0.29,0.29,63.099998,0.29,0.29,0.29,
12/31/1996,370.700012,,-127.900002,,242.80001,,-136.100006,,,,106.699997,-8.6,,6.1,,,2.5,98.099997,-23.700001,74.400002,0.0,,,74.399996,0.0,74.400002,0.0,,74.400002,74.400002,,62.099998,1.2,1.2,1.2,63.0,1.18,1.18,1.18,
03/29/1997,315.299988,,-114.0,,201.299988,,-160.5,,,,40.799999,-6.7,,4.7,,0.0,2.0,34.099999,-9.2,24.9,0.0,,,24.9,0.0,24.9,0.0,,24.9,24.9,,63.0,0.4,0.4,0.4,63.0,0.4,0.4,0.4,
06/28/1997,342.5,,-131.100006,,211.399994,,-154.5,,,,56.900002,-6.0,,5.4,,0.0,0.6,50.900001,-12.9,38.0,0.0,,,38.000002,0.0,38.0,0.0,,38.0,38.0,,61.400002,0.62,0.62,0.62,62.0,0.61,0.61,0.61,
09/27/1997,251.399994,,-95.699997,,155.699997,,-143.800003,,,,11.9,-7.3,,5.7,,0.0,1.6,4.6,-1.2,3.4,0.0,,,3.4,0.0,3.4,0.0,,3.4,3.4,,61.700001,0.06,0.06,0.06,61.700001,0.06,0.06,0.06,
12/27/1997,320.1,,,,,0.0,,,,,32.4,-11.2,4.5,,,,6.7,21.2,-5.5,15.7,,,,15.7,,15.7,,0.0,15.7,15.7,,60.9,0.26,0.26,0.26,61.2,0.25,0.25,0.25,
03/28/1998,268.799988,,-96.300003,,172.499985,,-147.899994,,,,24.6,-4.2,,4.5,,,-0.3,20.4,-5.0,15.4,0.0,,,15.4,0.0,15.4,0.0,,15.4,15.4,,60.5,0.26,0.26,0.26,61.0,0.26,0.26,0.26,
06/27/1998,282.899994,,-108.400002,,174.499992,,-137.199997,,,,37.299999,-6.9,,6.1,,,0.8,30.399999,-7.4,23.0,0.0,,,22.999999,0.0,23.0,0.0,,23.0,23.0,,57.900002,0.4,0.4,0.4,58.5,0.39,0.39,0.39,
