Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,1549.540039,23.372999,23.372999,0.0,443.210999,,,464.408997,,,,,9.483,,,,,940.476013,604.489014,,,0.0,4.575,,,,4.575,609.064013,,199.0,199.0,,,,175.901993,,,,,,102.043015,,,102.043015,476.945007,364.385986,,,,,50.222,,,50.222,414.607986,891.552994,0.0,148.406998,,0.0,,509.579987,657.986984,0.0,657.986984,1549.539978,
07/31/1989,1643.248047,16.806,16.806,0.0,523.517029,,,446.162994,,,,,10.309,,,,,996.794983,641.625,,,0.0,4.828,,,,4.828,646.453,,222.673996,222.673996,,,,153.298996,,,,,,127.444,,,127.444,503.416992,401.787994,,,,,47.213001,,,47.213001,449.000996,952.417988,0.0,148.410995,,0.0,,542.419006,690.830002,0.0,690.830002,1643.24799,
10/31/1989,1736.725952,4.917,4.917,0.0,467.993988,,,576.963013,,,,,14.151,,,,,1064.025024,668.174988,,,0.0,4.526,,,,4.526,672.700988,,267.332001,267.332001,,,,184.296997,,,,,,120.891998,,,120.891998,572.520996,411.860992,,,,,44.978001,,,44.978001,456.838993,1029.359989,0.0,148.686996,,0.0,,558.679016,707.366013,0.0,707.366013,1736.726002,
01/31/1990,1707.420044,33.050999,33.050999,0.0,536.273987,,,419.976013,,,,,21.847,,,,,1011.14801,691.937012,994.307007,-302.369995,0.0,4.335,,,,4.335,696.272012,,195.337997,195.337997,,,,130.371994,,,,,,164.178009,,,164.178009,489.888,440.613007,,,,,43.668999,,,43.668999,484.282005,974.170006,0.0,148.856995,,0.0,,584.393005,733.25,0.0,733.25,1707.420006,
04/30/1990,1725.709961,8.424,8.424,0.0,486.380005,,,480.23999,,,,,20.016001,,,,,995.059998,725.469971,,,0.0,5.18,,,,5.18,730.649971,,215.768997,215.768997,,,,167.636993,,,,,,118.573013,,,118.573013,501.979004,439.358002,,,,,43.408001,,,43.408001,482.766003,984.745007,0.0,149.522003,,0.0,,591.442993,740.964996,0.0,740.964996,1725.710003,
07/31/1990,1899.338013,32.757,32.757,0.0,564.20697,,,514.0,,,,,24.791,,,,,1135.755005,758.026978,,,0.0,5.556,,,,5.556,763.582978,,288.032013,288.032013,,,,201.292007,,,,,,160.081985,,,160.081985,649.406006,435.692993,,,,,43.245998,,,43.245998,478.938992,1128.344997,0.0,149.75,,0.0,,621.242981,770.992981,0.0,770.992981,1899.337978,
10/31/1990,1981.182983,5.938,5.938,0.0,513.72699,,,643.51001,,,,,31.002001,,,,,1194.177002,781.11499,,,0.0,5.891,,,,5.891,787.00599,,303.187988,303.187988,,,,263.368988,,,,,,148.363007,,,148.363007,714.919983,435.436005,,,,,44.645,,,44.645,480.081005,1195.000988,0.0,150.638,,0.0,,635.544006,786.182007,0.0,786.182007,1981.182995,
01/31/1991,1902.588989,24.662001,24.662001,0.0,575.507996,,,448.343994,,,,,41.865002,,,,,1090.379028,806.190979,1184.869019,-378.678009,0.0,6.019,,,,6.019,812.209979,,204.266006,204.266006,,,,159.936005,,,,,,187.633011,,,187.633011,551.835022,478.742004,,,,,45.602001,,,45.602001,524.344005,1076.179027,0.0,150.699005,,0.0,,675.710999,826.410004,0.0,826.410004,1902.589031,
04/30/1991,1953.624023,12.936,12.936,0.0,534.028015,,,534.833984,,,,,39.842999,,,,,1121.640991,824.528015,,,0.0,7.455,,,,7.455,831.983015,,263.526001,263.526001,,,,179.526993,,,,,,146.653,,,146.653,589.705994,472.714996,,,,,45.243999,,,45.243999,517.958996,1107.664989,0.0,150.720993,,0.0,,695.237976,845.958969,0.0,845.958969,1953.623959,
07/31/1991,2114.791016,57.93,57.93,0.0,625.390991,,,538.429016,,,,,41.452999,,,,,1263.203003,843.981995,,,0.0,7.606,,,,7.606,851.587995,,294.81601,294.81601,,,,230.779007,,,,,,184.935989,,,184.935989,710.531006,468.989014,,,,,44.548,,,44.548,513.537014,1224.06802,0.0,151.746994,,0.0,,738.976013,890.723007,0.0,890.723007,2114.791027,
