Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2011,108.746,59.853,59.853,0.0,24.495,24.495,0,0,0,0,0,0,12.545,0.0,,12.545,96.893,9.467,11.57,-2.103,0.0,,2.386,0.0,0.0,0.0,2.386,11.853,,20.682,2.098,0.0,0.0,18.584,0.0,0,0.0,0.0,,,67.304,7.752,0.0,0.41,87.986,0.0,0.0,0.0,0.0,,11.281,0.0,0.0,0.0,0.0,3.529,11.281,99.267,67.86,2.957,0.021,2.936,0.0,-61.456,0.118,9.479,0.0,9.479,108.746,
03/31/2012,184.998,95.484,80.14,15.344,42.894,42.894,0,0,0,0,0,0,14.943,,,13.399,153.321,24.091,29.654,-5.563,0.0,,7.586,,,,7.586,31.677,,35.191,7.089,,,28.102,0.0,0,,,,,97.981,18.211,,0.0,133.172,0.0,0.0,,,,23.697,,,,,5.486,23.697,156.869,68.327,32.811,0.028,32.783,0.0,-73.78,0.771,28.129,,28.129,184.998,
06/30/2012,200.472,88.277,65.482,22.795,47.334,47.334,0,0,0,0,0,0,16.471,,0.174,14.927,152.082,35.452,43.825,-8.373,0.0,,12.938,,,,12.764,48.39,,38.208,8.55,,,29.658,0.0,0,,,,,113.597,17.902,,0.43,151.805,0.0,0.0,,,,23.314,,,,,5.412,23.314,175.119,68.481,39.09,0.029,39.061,,-82.504,0.286,25.353,,25.353,200.472,
09/30/2012,382.204,256.461,116.976,139.485,55.924,55.924,0,0,0,0,0,0,19.492,,,17.948,331.877,39.086,50.706,-11.62,0.0,,11.241,,,,11.241,50.327,,37.718,5.68,,,32.038,0.0,0,,,,,128.97,18.976,,0.0,166.688,0.0,0.0,,,,24.248,,,,,5.272,24.248,190.936,0.0,286.499,0.123,286.376,0.0,-95.557,0.326,191.268,,191.268,382.204,
12/31/2012,478.114,314.691,118.989,195.702,78.163,78.163,0,0,0,0,0,0,29.235,0.0,,28.575,422.089,42.342,58.736,-16.394,0.0,,13.683,0.0,0.0,0.0,13.683,56.025,,57.646,9.604,0.0,0.0,48.042,0.0,0,0.0,0.0,,,153.981,16.397,0.0,0.017,211.627,0.0,0.0,0.0,0.0,,23.082,0.0,0.0,0.0,0.0,6.685,23.082,234.709,0.0,348.929,0.126,348.803,0.0,-105.488,-0.036,243.405,0.0,243.405,478.114,
03/31/2013,515.953,338.866,144.782,194.084,79.844,79.844,0,0,0,0,0,0,28.526,,,27.866,447.236,54.284,74.775,-20.491,0.0,,14.433,,,,14.433,68.717,,50.202,9.77,,,40.432,0.0,0,,,,,178.911,15.854,,0.0,229.113,0.0,0.0,,,,22.913,,,,,7.059,22.913,252.026,0.0,383.929,0.133,383.796,0.0,-118.846,-1.156,263.927,,263.927,515.953,
06/30/2013,542.333,253.78,120.233,133.547,92.765,92.765,0,0,0,0,0,0,30.264,,,9.093,376.809,57.253,82.25,-24.997,92.342,92.342,15.929,,,,15.929,165.524,,56.807,10.016,,,46.791,0.0,0,,,,,192.365,17.675,,0.0,249.172,0.0,0.0,,,,25.266,,,,,7.591,25.266,274.438,0.0,409.978,0.136,409.842,0.0,-140.251,-1.832,267.895,0.0,267.895,542.333,
09/30/2013,578.736,220.138,121.094,99.044,84.527,84.527,0,0,0,0,0,0,37.754,,,37.754,342.419,68.642,100.061,-31.419,132.619,132.619,35.056,14.715,8.526,6.189,20.341,236.317,,57.594,7.93,,,49.664,0.0,0,,,,,210.545,15.256,,0.0,268.139,0.0,0.0,,,,23.001,,,,,7.745,23.001,291.14,0.0,443.222,0.139,443.083,0.0,-154.964,-0.662,287.596,0.0,287.596,578.736,
12/31/2013,1168.476,634.554,366.303,268.251,108.339,108.339,0,0,0,0,0,0,54.856,0.0,,54.856,797.749,75.56,113.667,-38.107,255.356,255.356,39.811,14.52,8.724,5.796,25.291,370.727,,75.535,7.405,0.0,0.0,68.13,0.0,0,0.0,0.0,,,252.553,14.169,0.0,0.0,328.088,414.777,414.777,0.0,0.0,,31.352,0.0,0.0,0.0,0.0,17.183,446.129,774.217,0.0,573.931,0.14,573.791,0.0,-179.196,-0.476,394.259,0.0,394.259,1168.476,
03/31/2014,1224.261,655.762,337.92,317.842,107.932,107.932,0,0,0,0,0,0,64.931,,,64.931,828.625,86.2,129.789,-43.589,268.635,268.635,40.801,14.46,8.689,5.771,26.341,395.636,,71.283,22.664,,,48.619,0.0,0,,,,,294.223,14.249,,0.0,365.506,421.84,421.84,,,,33.173,,,,,18.924,455.013,820.519,0.0,626.525,0.143,626.382,0.0,-222.507,-0.276,403.742,0.0,403.742,1224.261,
06/30/2014,1262.243,677.48,329.275,348.205,109.246,109.246,0,0,0,0,0,0,57.933,,,57.933,844.659,96.483,148.091,-51.608,279.58,279.58,41.521,13.912,8.622,5.29,27.609,417.584,,86.76,22.463,3.711,,60.586,0.0,0,,,,,316.287,12.565,,0.0,403.047,429.025,429.025,,,,32.054,,,,,19.489,461.079,864.126,0.0,670.387,0.145,670.242,0.0,-272.87,0.6,398.117,0.0,398.117,1262.243,
09/30/2014,1304.612,646.072,235.086,410.986,111.164,111.164,0,0,0,0,0,0,64.163,,,64.163,821.399,96.977,156.657,-59.68,238.051,238.051,148.185,116.648,58.344,58.304,31.537,483.213,,80.826,11.416,3.697,,65.713,0.0,0,,,,,338.451,12.344,,0.0,419.277,436.332,436.332,,,,31.588,,,,,19.244,467.92,887.197,0.0,737.657,0.148,737.509,0.0,-313.92,-6.322,417.415,0.0,417.415,1304.612,
12/31/2014,1424.752,668.791,252.455,416.336,159.171,159.171,0,0,0,0,0,0,79.024,0.0,,79.024,906.986,104.237,171.49,-67.253,266.772,266.772,146.757,109.542,55.016,54.526,37.215,517.766,,97.326,17.829,7.625,0.0,71.872,0.0,0,0.0,0.0,,,409.671,12.567,0.0,0.0,506.997,443.437,443.437,0.0,0.0,,45.643,0.0,0.0,0.0,0.0,33.076,489.08,996.077,0.0,799.371,0.15,799.221,0.0,-358.583,-12.113,428.675,0.0,428.675,1424.752,
