Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2013,10.0,10,5,5,1.215067,1.215067,0.159719,0.159719,
09/29/2013,6.0,6,1,1,0.692841,0.692841,0.095862,0.095862,
12/31/2013,10.0,10,5,5,1.039501,1.039501,0.152486,0.152486,
03/30/2014,7.0,7,7,7,0.636943,0.636943,0.109324,0.109324,
06/29/2014,5.0,5,6,6,0.389712,0.389712,0.076664,0.076664,
09/28/2014,4.0,4,4,4,0.287977,0.287977,0.061284,0.061284,
12/31/2014,9.0,9,4,4,0.673149,0.673149,0.136612,0.136612,
03/29/2015,16.0,16,6,6,1.226054,1.226054,0.248834,0.248834,
06/28/2015,11.0,11,12,12,0.915141,0.915141,0.166717,0.166717,
09/27/2015,18.0,18,15,15,1.435407,1.435407,0.269219,0.269219,
12/31/2015,8.0,8,10,10,0.733272,0.733272,0.101099,0.101099,
04/03/2016,7.0,7,12,12,0.589722,0.589722,0.093922,0.093922,
07/03/2016,7.0,7,15,15,0.510576,0.510576,0.09311,0.09311,
10/02/2016,4.0,4,22,22,0.250313,0.250313,0.051847,0.051847,
12/31/2016,,29,8,8,,1.934623,,0.379135,
04/02/2017,5.0,5,15,15,0.30581,0.30581,0.065368,0.065368,
07/02/2017,6.0,6,14,14,0.343643,0.343643,0.076903,0.076903,
10/01/2017,27.0,27,12,12,1.337296,1.337296,0.290698,0.290698,
12/31/2017,10.0,10,9,9,0.55991,0.55991,0.116469,0.116469,
03/31/2018,11.0,11,11,11,0.556962,0.556962,0.126582,0.126582,
06/30/2018,20.0,20,12,12,1.009082,1.009082,0.232477,0.232477,
09/30/2018,22.0,22,6,6,1.038716,1.038716,0.210345,0.210345,
12/31/2018,9.0,9,1,1,0.411899,0.411899,0.083511,0.083511,
03/31/2019,27.0,27,7,7,1.1653,1.1653,0.248093,0.248093,
06/30/2019,26.0,26,8,8,1.078391,1.078391,0.236665,0.236665,
09/30/2019,50.0,50,12,12,1.867065,1.867065,0.443577,0.443577,
12/31/2019,36.0,36,11,11,1.329394,1.329394,0.311823,0.311823,
03/31/2020,74.0,74,40,40,2.687977,2.687977,0.641915,0.641915,
06/30/2020,65.0,65,56,56,2.176096,2.176096,0.49736,0.49736,
