Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,25.469,,,,,,,,,,,,,,4.286,,,,,,,4.286,,,,,,1.001,,,1.001,1.001,,71.500014,0.014,0.014,0.014,71.500014,0.014,0.014,0.014,
06/30/1995,30.732,,,,,,,,,,,,,,6.248,,,,,,,6.248,,,,,,1.898,,,1.898,1.898,,79.050016,0.024,0.024,0.024,79.050016,0.024,0.024,0.024,
09/30/1995,37.415001,,,,,,,,,,,,,,7.776,,,,,,,7.776,,,,,,2.485,,,2.485,2.485,,77.650016,0.032,0.032,0.032,77.650016,0.032,0.032,0.032,
12/31/1995,41.227001,,,,,,,,,,,,,,8.356,,,,,,,8.356,,,,,,0.73,,,0.73,0.73,,91.250018,0.008,0.032,0.008,91.250018,0.008,0.032,0.008,
03/31/1996,50.237,,,,,,,-40.686001,,,,,,,9.551,-1.481,1.912,0.0,-0.431,8.07,-3.041,5.029,0.0,,,5.029,-0.753,4.276,0.0,,4.276,4.276,,106.900017,0.04,0.04,0.04,115.175022,0.0366,0.0366,0.0366,
06/30/1996,64.583,,,,,,,-53.027,,,,,,,11.556,-1.056,2.238,0.0,-1.182,10.5,-4.11,6.39,0.0,,,6.39,-0.664,5.726,0.0,,5.726,5.726,,132.895027,0.0434,0.0434,0.0434,132.895027,0.0434,0.0434,0.0434,
09/30/1996,73.333,,,,,,,-60.207001,,,,,,,13.126,-1.325,1.719,0.0,-0.394,11.801,-4.386,7.415,7.7,,,-0.285,-0.879,-1.164,0.0,,-1.164,-1.164,,133.305023,-0.0066,0.05,0.05,133.305023,-0.0066,0.05,0.05,
12/31/1996,84.793999,,,,,,,-70.197998,,,,,,,14.596,-1.313,1.183,0.0,0.13,13.283,-4.814,8.469,0.0,,,8.469,-1.282,7.187,0.0,,7.187,7.187,,134.885022,0.0534,0.0534,0.0534,134.885022,0.0534,0.0534,0.0534,
03/31/1997,157.936996,,,-107.727997,,50.208999,,-25.613001,,,,,,,24.596001,-3.343,3.937,0.0,-0.594,21.253001,-8.16,13.093,0.0,,,13.093001,-1.305,11.788,0.0,,11.788,11.788,,230.685051,0.05,0.05,0.05,237.275057,0.05,0.05,0.05,
06/30/1997,179.714996,,,-121.373001,,58.341995,,-29.648001,,,,,,,28.694,-4.848,5.717,0.0,-0.869,23.846,-9.338,14.508,0.0,,,14.508,-1.038,13.47,0.0,,13.47,13.47,,232.68504,0.0566,0.0566,0.0566,239.120054,0.0566,0.0566,0.0566,
