Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1995,0.098,0.878,0.036,,-1.427,,,,-1.427,0.611,,,,,,-1.159,,-1.159,,,,,,,,,,,,,,,,,,1.159,,,,,,,,,,,,,,,,,
03/31/1996,0.5,0.185,0.183,,0.782,,,,0.782,-0.65,,,,,,-0.695,,-0.695,,,,,,,,,,,,,,,,,,0.695,,,,,,,,,,,,,,,,,
06/30/1996,-4.729,-2.397,0.259,,-3.447,,,,-3.447,0.856,,,,,,-0.648,,-0.648,,,,,,,,,,,,,,,,,,0.648,,,,,,,,,,,,,,,,,
09/30/1996,-3.749,0.506,0.398,,0.372,,,,0.372,-5.025,,,,,-6.231,-6.231,,-6.231,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-9.98,,,
12/31/1996,-0.684,3.006,,,,,,,,,,,,,-0.937,-0.937,,-0.937,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-1.621,,,
03/31/1997,10.161,3.243,,,,,,,,,,,,,-4.599,-4.599,,-4.599,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5.562,,,
06/30/1997,-54.234001,2.91,,,,,,,,,,,,,-3.685,-3.685,,-3.685,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-57.919001,,,
09/30/1997,36.610001,5.876,,,,,,,,,,,,,-6.521,-6.521,,-6.521,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,30.089001,,,
12/31/1997,-5.152,5.126,1.95,,-0.884,,,,-0.884,-11.344,,,,,-9.706,-3.716,0.0,-3.716,-2.49,458.12,,,,-460.61,,,,0.0,,,,,,,,-3.5,0.705,0.0,0.0,,,,,0.705,0.705,0.0,0.0,0.0,,-14.153,,7.448,
03/31/1998,51.086,4.508,2.382,,-0.1,,,,-0.1,44.296,,,,,3.002,-9.931,0.0,-9.931,12.933,416.56,,,,-403.627,,,,0.0,,,,,,,,0.0,1.331,0.0,0.0,,,,,1.331,1.331,0.0,0.0,0.0,,55.419,,8.981,
06/30/1998,-35.663,5.141,3.107,,37.832,,,,37.832,-81.743,,,,,-11.995,-14.644,0.0,-14.644,-0.721,382.129,,,,-382.85,,,,0.0,,,,,,,,3.37,5.031,0.0,4.081,,,,,0.95,0.95,0.0,0.0,0.0,,-42.627,,9.082,
09/30/1998,-37.998,-12.848,5.75,,-49.843,,,,-49.843,18.943,,,,,-363.516,-8.558,0.0,-8.558,-355.696,1667.358,,,,-2023.054,,,,0.0,,,,,,,,0.738,403.51,0.0,-4.081,,,,,402.772,402.772,0.0,0.0,4.819,,1.996,0.656,12.482,
12/31/1998,2.447,-11.587,5.537,,2.103,,,2.2,-0.097,6.394,,,,,11.8,-3.383,,-3.383,15.183,1878.366,,,,-1863.183,,,,,,,,,,,,0.0,1.642,0.0,0.0,,,,,1.696,1.696,0.0,,-0.054,,15.889,0.047,10.141,
03/31/1999,81.938,8.568,,490.0,0.0,,,-2.2,2.2,,,,,,-698.453,-28.234,,-28.234,-268.476,1689.536,,,,-1958.012,,,,-401.939,,,,,,,,0.196,629.081,0.0,325.671,,,,,15.691,15.691,0.0,289.313,-1.594,,12.566,,,
06/30/1999,-119.062,-23.746,,665.0,0.0,,,0.0,0.0,,,,,,-443.567,-51.276,,-51.276,-75.959,851.891,,,,-927.85,,,,-331.803,,,,,,,,15.471,634.881,0.0,-38.837,,,,,400.245,400.245,0.0,277.536,-4.063,,72.252,,,
09/30/1999,58.445,-28.045,,1.348,,,,,,,,,,,-812.247,-71.18,0.0,-71.18,-51.388,879.69,,,,-931.078,,,,-687.886,,,,,,,,-1.793,734.391,0.0,258.41,,,,,37.65,37.65,0.0,436.907,1.424,,-19.411,,,
12/31/1999,-90.618,-5.214,19.343,,-53.04,,-2.552,2.638,-53.126,-51.707,,,,,-6.235,-30.521,,-30.521,100.752,483.303,,,,-382.551,,,,,,,,,,,,-76.466,109.769,0.0,102.535,,,,,7.214,7.214,0.0,,0.02,,12.916,0.503,24.991,
03/31/2000,-126.47,-23.189,,1.256,,,,,,,,,,,-2653.617,-49.458,,-49.458,-1687.106,2263.19,,,,-3950.296,,,,,,,,,,,,-917.053,3013.506,0.0,2268.587,,,,,25.302,25.302,0.0,0.0,719.617,,233.419,,,
