Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/28/2011,,,,,,,,,,,,,,,,,,,,36.6,,,,,,36.3,,,36.3,36.3,,,,0.63,,,,,,
03/31/2012,1026.8,1026.8,-538.5,538.5,488.3,0.0,-360.7,274.1,72.3,14.3,127.6,0.7,0.0,0.3,-0.3,,-0.7,128.3,-49.4,78.9,3.7,3.7,0.0,75.2,0.0,75.2,0.0,0.0,75.2,88.195,9.295,,,,,,,,,
06/28/2012,516.3,516.3,-273.1,273.1,243.2,0.0,-183.8,137.2,35.2,11.4,59.4,0.1,0.0,0.1,-0.1,,-0.1,59.5,-24.4,35.1,1.9,1.9,0.0,33.2,0.0,33.2,0.0,0.0,33.2,45.88,10.78,57.7,0.58,0.61,0.795147,57.7,0.58,0.61,0.795147,
09/28/2012,513.1,513.1,-279.8,279.8,233.3,0.0,-185.1,140.4,36.6,8.1,48.2,0.1,0.1,0.1,0.0,,-0.2,48.3,-21.0,27.3,1.1,1.1,0.0,26.2,,26.2,0.0,0.0,26.2,34.545,7.245,57.7,0.45,0.47,0.5987,57.7,0.45,0.47,0.595563,
12/28/2012,504.0,504.0,-270.5,270.5,233.5,0.0,-196.7,146.8,38.4,11.5,36.8,0.1,0.1,0.1,0.0,,-0.2,36.9,-17.1,19.8,0.6,0.6,0.0,19.2,0.0,19.2,0.0,0.0,19.2,31.645,11.845,57.7,0.33,0.34,0.54844,57.7,0.33,0.34,0.545286,
03/29/2013,585.3,585.3,-311.8,311.8,273.5,0.0,-220.0,160.7,39.2,20.1,53.5,0.0,0.0,0.1,-0.1,,0.0,53.5,-19.0,34.5,0.5,0.5,0.0,34.0,0.0,34.0,0.0,0.0,34.0,50.290752,15.790752,57.7,0.59,0.6,0.87159,57.7,0.59,0.6,0.87159,
06/28/2013,570.0,570.0,-304.2,304.2,265.8,0.0,-266.4,166.9,44.8,54.7,-0.6,-7.3,9.4,9.4,0.0,,-2.1,-7.9,-19.8,-27.7,0.2,0.2,0.0,-27.9,0.0,-27.9,0.0,0.0,-27.9,20.246208,47.946208,57.7,-0.48,-0.48,0.350887,57.7,-0.48,-0.48,0.350887,
09/27/2013,545.2,545.2,-293.1,293.1,252.1,0.0,-197.0,135.5,43.3,18.2,55.1,-11.2,9.7,9.9,-0.2,,1.5,43.9,-12.7,31.2,-2.3,-2.3,0.0,33.5,0.0,33.5,0.0,0.0,33.5,42.645452,11.445452,57.7,0.58,0.54,0.739089,58.2,0.58,0.54,0.736657,
12/27/2013,540.2,540.2,-284.6,284.6,255.6,0.0,-182.5,146.2,39.0,-2.7,73.1,-10.1,9.5,9.8,-0.3,,0.6,63.0,-16.6,46.4,0.8,0.8,0.0,45.6,0.0,45.6,0.0,0.0,45.6,45.8,-0.6,57.8,0.79,0.8,0.792388,58.4,0.78,0.79,0.779726,
03/28/2014,557.8,557.8,-295.2,295.2,262.6,0.0,-258.9,194.1,41.4,23.4,3.7,-12.3,11.9,12.4,-0.5,,0.4,-8.6,20.3,11.7,0.1,0.1,0.0,11.6,0.0,11.6,0.0,0.0,11.6,46.857373,35.157373,58.2,0.2,0.2,0.805109,59.1,0.2,0.2,0.794879,
06/27/2014,653.1,653.1,-368.8,368.8,284.3,0.0,-288.7,221.3,42.7,24.7,-4.4,-22.3,22.4,22.7,-0.3,,-0.1,-26.7,2.4,-24.3,-0.2,-0.2,0.0,-24.1,0.0,-24.1,0.0,0.0,-24.1,17.85975,42.15975,58.5,-0.41,-0.42,0.305295,58.5,-0.41,-0.42,0.300679,
09/26/2014,673.7,673.7,-310.5,310.5,363.2,0.0,-504.4,251.7,45.0,207.7,-141.2,-34.3,37.3,37.7,-0.4,,-3.0,-175.5,2.0,-173.5,178.9,178.9,0.0,-352.4,0.0,-352.4,0.0,0.0,-352.4,17.155839,190.655839,85.2,-4.14,-2.04,0.20136,85.2,-4.14,-2.04,0.197745,
