Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Assets from Disc Ops,Net Income to Partners,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,8.441,3.028,,0.177,5.236,0.0,-1.309,0.643,0.0,0.302,0.0,,0.364,7.132,-2.148,2.148,,0.0,4.984,0.0,,0.0,,,4.984,,4.984,0.0,,4.984,4.984,,11.467,0.43,0.43,0.43,11.467,0.43,0.43,0.43,,,,,,,,6.292,,6.292,,,,,6.292,0.548705,0.548705,0.495,90.212416,90.212416,90.050859,
06/30/1994,12.731,6.235,,0.288,6.208,0.0,-2.146,0.948,0.0,0.347,0.25,,0.601,10.585,-2.785,2.785,,0.0,7.8,0.0,,0.0,,,7.8,,7.8,0.0,,7.8,7.8,,11.505,0.68,0.68,0.68,11.505,0.68,0.68,0.68,,,,,,,,9.515,,9.515,,,,,9.515,0.827032,0.827032,0.5,60.457171,60.457171,60.39937,
09/30/1994,10.518,2.32,,0.49,7.708,0.0,-1.795,0.761,0.0,0.349,0.25,,0.435,8.723,-2.397,2.397,,0.0,6.326,0.0,,0.0,,,6.326,,6.326,0.0,,6.326,6.326,,11.53,0.55,0.55,0.55,11.53,0.55,0.55,0.55,,,,,,,,8.589,,8.589,,,,,8.589,0.744926,0.744926,0.505,67.791943,67.791943,67.71452,
12/31/1994,11.042,3.74,,0.229,6.886,0.187,-2.207,0.735,0.0,0.387,0.5,,0.585,8.835,-2.992,2.992,,0.0,5.843,0.0,,0.0,,,5.843,,5.843,0.0,,5.843,5.843,,11.573,0.51,0.51,0.51,11.573,0.51,0.51,0.51,,,,,,,,7.301,,7.301,,,,,7.301,0.630865,0.630865,0.51,80.841388,80.841388,80.78345,
03/31/1995,9.625,1.924,,0.175,7.526,0.0,-1.45,0.646,0.0,0.39,0.0,,0.414,8.175,-3.31,3.31,,0.0,4.865,0.0,,0.0,,,4.865,,4.865,0.0,,4.865,4.865,,11.619,0.42,0.42,0.42,11.619,0.42,0.42,0.42,,,,,,,,5.255,,5.255,,,,,5.255,0.452276,0.452276,0.515,113.86841,113.86841,113.62512,
06/30/1995,9.677,1.965,,0.202,7.51,0.0,-1.696,0.615,0.0,0.39,0.0,,0.691,7.981,-3.344,3.344,,0.0,4.637,0.0,,0.0,,,4.637,,4.637,0.0,,4.637,4.637,,11.674,0.4,0.4,0.4,11.674,0.4,0.4,0.4,,,,,,,,5.027,,5.027,,,,,5.027,0.430615,0.430615,0.52,120.757504,120.757504,120.668392,
09/30/1995,13.315,1.963,,0.645,10.707,0.0,-6.4,0.547,0.0,0.395,4.0,,1.458,6.915,-3.568,3.568,,0.0,3.347,0.0,,0.0,,,3.347,,3.347,0.0,,3.347,3.347,,11.708,0.28,0.28,0.28,11.708,0.28,0.28,0.28,,,,,,,,7.742,,7.742,,,,,7.742,0.661257,0.661257,0.52,78.638075,78.638075,78.558508,
12/31/1995,11.979,2.028,,0.644,9.176,0.131,-7.912,0.578,0.0,0.405,0.8,,6.129,4.067,-3.282,3.282,,0.0,0.785,0.0,,0.0,,,0.785,,0.785,0.0,,0.785,0.785,,11.879,0.06,0.06,0.06,11.879,0.06,0.06,0.06,,,,,,,,6.993,,6.993,,,,,6.993,0.588686,0.588686,0.52,88.332327,88.332327,87.17289,
03/31/1996,10.89,2.328,,0.42,8.142,0.0,-1.515,0.0,0.0,0.475,0.15,,0.89,9.375,-3.698,3.698,,0.0,5.677,0.0,,0.0,,,5.677,,5.677,0.0,,5.677,5.677,,12.052,0.47,0.47,0.47,12.052,0.47,0.47,0.47,,,,,,,,6.147,,6.147,,,,,6.147,0.51004,0.51004,0.52,101.952822,101.952822,101.822027,
06/30/1996,14.626,3.207,,0.845,10.574,0.0,-1.805,0.0,0.0,0.555,0.15,,1.1,12.821,-4.252,4.252,,0.0,8.569,0.0,,0.0,,,8.569,,8.569,0.0,,8.569,8.569,,13.058,0.66,0.66,0.66,13.058,0.66,0.66,0.66,,,,,,,,7.001,,7.001,,,,,7.001,0.536146,0.536146,0.52,96.988425,96.988425,107.384662,
09/30/1996,14.068,2.854,,0.681,10.533,0.0,-2.778,0.0,0.0,0.637,0.958,,1.183,11.29,-3.907,3.907,,0.0,7.383,0.0,,0.0,,,7.383,,7.383,0.0,,7.383,7.383,,14.818,0.5,0.5,0.5,14.818,0.5,0.5,0.5,,,,,,,,7.993,,7.993,,,,,7.993,0.539412,0.539412,0.52,96.401346,96.401346,104.604029,
12/31/1996,14.817,3.499,,0.661,10.544,0.113,-2.185,0.0,0.0,0.76,0.15,,1.275,12.631999,-3.586,3.586,,0.0,9.046,0.0,,0.0,,,9.046,,9.046,0.0,,9.046,9.046,,16.41,0.55,0.55,0.55,16.41,0.55,0.55,0.55,,,,,,,,9.155,,9.155,,,,,9.155,0.557892,0.557892,0.52,93.208081,93.208081,68.694705,
