Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,1560.0,,,,,,,,,,,,,,,,,,,,,16.0,-159.0,,,,,175.0,-10.0,,165.0,165.0,,119.0,1.37,0.06,,119.0,1.37,0.06,0.06,
06/30/1993,1748.0,,,,,,,,,,,,,,,,,,,,,49.0,-218.0,,,,,267.0,-9.0,,258.0,258.0,,119.0,2.15,0.33,,119.0,2.15,0.33,0.33,
09/30/1993,1501.0,,,,,,,,,,,,,,,,,,,,,36.0,-216.0,,,,,252.0,-10.0,,242.0,242.0,,120.300003,2.03,0.23,,120.300003,2.03,0.23,0.23,
12/31/1993,1812.0,,,,,,,,,,,,,,,,,,,,,34.0,-185.0,,,,,219.0,-6.0,,213.0,213.0,,119.900002,1.77,0.21,,119.900002,1.77,0.21,0.21,
03/31/1994,1691.0,,-1449.0,,242.0,,-180.0,,,,,,62.0,1.0,,23.0,,0.0,-24.0,63.0,-26.0,37.0,-165.0,,,202.0,,202.0,-9.0,,193.0,193.0,,118.748001,1.63,0.24,,118.748001,1.63,0.24,0.24,
06/30/1994,2036.0,,-1714.0,,322.0,,-203.0,,,,,,119.0,-15.0,,40.0,,0.0,-25.0,104.0,-43.0,61.0,-197.0,,,258.0,,258.0,-8.0,,250.0,250.0,,118.605003,2.11,0.44,,118.605003,2.11,0.44,0.44,
09/30/1994,1863.0,,-1609.0,,254.0,,-173.0,,,,,,81.0,-30.0,,22.0,,0.0,8.0,51.0,-31.0,20.0,-237.0,,,257.0,,257.0,-9.0,,248.0,248.0,,117.514,2.14,0.11,,117.514,2.14,0.11,0.11,
03/31/1995,2248.0,,-1942.0,,306.0,,-203.0,,,,,,103.0,-24.0,,33.0,,0.0,-9.0,79.0,-34.0,45.0,-183.0,,,228.0,,228.0,-8.0,,220.0,220.0,,107.0,2.05,0.34,,107.0,2.05,0.34,0.34,
06/30/1995,2337.0,,-2012.0,,325.0,,-186.0,,,,,,139.0,-65.0,,47.0,,0.0,18.0,74.0,-28.0,46.0,-566.0,,,612.0,,612.0,-9.0,,603.0,603.0,,107.277,5.61,0.35,,107.277,5.61,0.35,0.35,
09/30/1995,2048.0,,-1776.0,,272.0,,-177.0,,,,,,95.0,-166.0,,44.0,,0.0,122.0,-71.0,17.0,-54.0,120.0,,,-174.0,,-174.0,0.0,,-174.0,-174.0,,110.0,-1.52,-0.47,,110.0,-1.52,-0.47,-0.47,
