Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,1740.729004,122.988998,89.056999,33.931999,1149.035034,,,,0.0,,,,,100.816002,,,1372.839966,131.977997,225.802994,-93.824997,0.0,235.910995,,,,,,235.910995,367.888992,,980.562012,980.562012,,54.154999,,,,,,175.751984,,,175.751984,1210.468994,36.512001,,,,,113.480003,,,,113.480003,149.992004,1360.460999,0.0,146.682007,,,-67.074997,,288.030991,367.638,12.63,380.268001,1740.728999,
03/31/1990,1678.083008,131.767996,102.742996,29.025,1052.136963,,,,0.0,,,,,115.32,,,1299.224976,134.391006,230.300003,-95.908997,,244.466995,,,,,,244.466995,378.858002,,912.125,912.125,,86.053001,,,,,,149.434059,,,149.434059,1147.612061,36.362,,,,,111.480003,,,,111.480003,147.842003,1295.454063,0.0,150.817993,,,-68.350998,,290.709991,373.176987,9.452,382.628986,1678.08305,
06/30/1990,1887.957031,108.078001,80.720001,27.358,1247.46106,,,,0.0,,,,,127.588997,,,1483.128052,140.123001,241.113007,-100.989998,,264.705994,,,,,,264.705994,404.828995,,1104.970947,1104.970947,,87.623001,,,,,,143.64006,,,143.64006,1336.234009,36.619999,,,,,122.140999,,,,122.140999,158.760998,1494.995007,0.0,151.951004,,,-84.982002,,316.433998,383.403,9.559,392.962,1887.957006,
09/30/1990,1890.604004,144.689999,106.462997,38.227001,1193.973022,,,,0.0,,,,,141.712997,,,1480.375977,143.259003,249.378006,-106.119003,,266.968994,,,,,,266.968994,410.227997,,1069.142944,1069.142944,,95.459999,,,,,,145.803062,,,145.803062,1310.406006,37.264999,,,,,134.212006,,,,134.212006,171.477005,1481.883011,0.0,153.158997,,,-90.931999,,335.105003,397.332001,11.389,408.721001,1890.604012,
12/31/1990,2584.111084,216.421994,179.429993,36.992001,1550.063965,,,,0.0,0.0,0.0,0.0,0.0,148.276001,,,1914.761963,178.794006,305.514008,-126.720001,0.0,490.554993,,,,,,490.554993,669.348999,,1420.868042,1420.868042,,115.132004,,,,,,233.293899,,,233.293899,1769.293945,144.468002,,,,,146.544006,,,,146.544006,291.012008,2060.305953,0.0,242.119003,,,-99.012001,,366.598,509.705002,14.1,523.805002,2584.110955,
03/31/1991,2370.302002,215.656006,185.934006,29.722,1353.14502,,,,0.0,,,,,159.901001,,,1728.702026,170.988998,296.220001,-125.231003,,470.610992,,,,,,470.610992,641.599991,,1186.437988,1186.437988,,198.449997,,,,,,200.794998,,,200.794998,1585.682983,163.643005,,,,,134.720001,,,,134.720001,298.363007,1884.04599,0.0,258.677002,,,-107.889999,,323.854996,474.641998,11.614,486.255999,2370.301989,
06/30/1991,2377.820068,154.379,123.876999,30.502001,1424.969971,,,,0.0,,,,,168.190994,,,1747.540039,169.488998,295.552002,-126.063004,,460.790985,,,,,,460.790985,630.279984,,1265.410034,1265.410034,,156.024002,,,,,,171.085007,,,171.085007,1592.519043,163.195007,,,,,132.386993,,,,132.386993,295.582001,1888.101044,0.0,259.643005,,,-112.224998,,329.017006,476.435013,13.284,489.719013,2377.820057,
09/30/1991,2336.368896,163.216997,131.309998,31.907,1318.407959,,,,0.0,,,,,203.419006,,,1685.043945,175.742004,313.466003,-137.723999,,475.583008,,,,,,475.583008,651.325012,,1172.63501,1172.63501,,165.597,,,,,,168.647995,,,168.647995,1506.880005,166.744995,,,,,145.809006,,,,145.809006,312.554001,1819.434006,0.0,262.014008,,,-116.063004,,357.815002,503.766006,13.169,516.935006,2336.369012,
12/31/1991,2784.300049,276.377999,239.727997,36.650002,1584.321045,,,,0.0,0.0,0.0,0.0,0.0,170.863998,,,2031.562988,186.837006,333.106995,-146.270004,0.0,565.900024,,,,,,565.900024,752.73703,,1455.973999,1455.973999,,157.132004,,,,,,240.452957,,,240.452957,1853.55896,170.457993,,,,,156.729004,,,,156.729004,327.186997,2180.745957,0.0,291.583008,,,-116.890999,,412.104012,586.796021,16.757999,603.55402,2784.299977,
03/31/1992,2552.322021,199.207003,168.205002,31.002001,1407.894043,,,,0.0,,,,,219.108994,,,1826.209961,184.054993,332.582001,-148.526993,,542.057007,,,,,,542.057007,726.112,,1270.755005,1270.755005,,159.647995,,,,,,222.796951,,,222.796951,1653.199951,167.014008,,,,,151.554001,,,,151.554001,318.568008,1971.76796,0.0,295.747986,,,-121.436996,,391.766983,566.077972,14.476,580.553972,2552.321932,
