Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1993,7.771,,-4.717,,,3.054,,-2.411,,,,0.643,-0.017,,,,0.0,,0.017,0.626,-0.238,0.388,0.0,,,0.388,0.0,0.388,0.0,,0.388,0.388,,12.644,0.03,0.03,,12.644,0.03,0.03,0.03,
12/31/1993,8.604,,-5.309,,,3.295,,-2.458,,,,0.837,0.065,,,,0.0,,-0.065,0.902,-0.324,0.578,0.0,,,0.578,0.0,0.578,0.0,,0.578,0.578,,15.368,0.0375,0.0375,,15.368,0.0375,0.0375,0.0375,
03/31/1994,7.94,,-4.897,,,3.043,,-2.294,,,,0.749,0.073,,,,0.0,,-0.073,0.822,-0.296,0.526,0.0,,,0.526,0.0,0.526,0.0,,0.526,0.526,,19.136,0.0275,0.0275,,19.136,0.0275,0.0275,0.0275,
06/30/1994,8.607,,-5.144,,,3.463,,-2.445,,,,1.018,0.091,,,,0.0,,-0.091,1.109,-0.37,0.739,0.0,,,0.739,0.0,0.739,0.0,,0.739,0.739,,19.04,0.04,0.04,0.04,19.04,0.04,0.04,0.04,
09/30/1994,9.083,,-5.248,,,3.835,,-2.845,,,,0.99,0.116,,,,0.0,,-0.116,1.106,-0.409,0.697,0.0,,,0.697,0.0,0.697,0.0,,0.697,0.697,,19.32,0.035,0.035,,19.32,0.035,0.035,0.035,
12/31/1994,9.941,,-5.846,,,4.095,,-2.863,,,,1.232,0.172,,,,0.0,,-0.172,1.404,-0.519,0.885,0.0,,,0.885,0.0,0.885,0.0,,0.885,0.885,,20.016001,0.045,0.045,,20.016001,0.045,0.045,0.045,
03/31/1995,11.122,,-6.284,,,4.838,,-3.17,,,,1.668,0.116,,,,0.0,,-0.116,1.784,-0.66,1.124,0.0,,,1.124,0.0,1.124,0.0,,1.124,1.124,,20.455999,0.055,0.055,,20.455999,0.055,0.055,0.055,
06/30/1995,12.136,,-6.735,,,5.401,,-8.71,,,,-3.309,0.146,,,,0.0,,-0.146,-3.163,1.192,-1.971,0.0,,,-1.971,0.0,-1.971,0.0,,-1.971,-1.971,,18.848,-0.105,-0.105,-0.105,18.848,-0.105,-0.105,-0.105,
09/30/1995,12.793,,-6.974,,,5.819,,-3.906,,,,1.913,0.048,,,,0.0,,-0.048,1.961,-0.745,1.216,0.0,,,1.216,0.0,1.216,0.0,,1.216,1.216,,21.327999,0.0575,0.0575,,21.327999,0.0575,0.0575,0.0575,
12/31/1995,15.672,,-8.31,,,7.362,,-4.967,,,,2.395,0.391,,,,0.0,,-0.391,2.786,-0.893,1.893,0.0,,,1.893,0.0,1.893,0.0,,1.893,1.893,,27.040001,0.07,0.07,,27.040001,0.07,0.07,0.07,
03/31/1996,18.875999,,-9.818,,,9.058,,-5.366,,,,3.692,0.449,,,,0.0,,-0.449,4.141,-1.588,2.553,0.0,,,2.553,0.0,2.553,0.0,,2.553,2.553,,29.412001,0.085,0.085,,29.412001,0.085,0.085,0.085,
06/30/1996,21.732,,-11.198,,,10.534,,-5.625,,,,4.909,-6.969,,,,0.0,,6.969,-2.06,-0.81,-2.87,0.0,,,-2.87,0.0,-2.87,0.0,,-2.87,-2.87,,28.204,-0.1,-0.1,-0.1,28.204,-0.1,-0.1,-0.1,
09/30/1996,23.462,,-12.208,,,11.254,,-6.486,,,,4.768,0.946,,0.105,,0.0,,-1.051,5.714,-2.114,3.6,0.0,,,3.6,0.0,3.6,0.0,,3.6,3.6,,32.346001,0.11,0.11,0.11,34.986,0.1,0.1,0.1,
12/31/1996,22.683001,,-12.256,,,10.427001,,-6.76,,,,3.667,0.982,,0.105,,0.0,,-1.087,4.649,-1.513,3.136,0.0,,,3.136,0.0,3.136,0.0,,3.136,3.136,,32.694,0.1,0.1,0.1,35.484001,0.09,0.09,0.09,
03/31/1997,26.927999,,-14.703,,,12.224999,,-11.906,,,,0.319,-32.437001,,0.105,,0.0,,32.332001,-32.118001,-2.429,-34.547001,0.0,,,-34.547001,0.0,-34.547001,0.0,,-34.547001,-34.547001,,33.223999,-1.04,-1.04,0.13,33.223999,-1.04,-1.04,0.13,
06/30/1997,33.893002,,-18.243999,,,15.649003,,-7.941,,,,7.708,0.624,,0.106,,0.0,,-0.73,8.332,0.624,8.956,0.0,,,8.956,0.0,8.956,0.0,,8.956,8.956,,33.596,0.27,0.27,0.27,36.092,0.25,0.25,0.25,
