Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,28978.0,5720.0,5720.0,0.0,7924.0,,,5162.0,,,,5162.0,0.0,,,,,,18806.0,9310.0,,,0.0,,,862.0,862.0,,,,,,0.0,10172.0,,,,,,,,,,10065.0,,,10065.0,10065.0,5060.0,,,,4617.0,,,,4617.0,9677.0,19742.0,1502.0,,,,0.0,,7081.0,8583.0,653.0,9236.0,28978.0,
06/30/2000,33734.0,6064.0,6064.0,0.0,9216.0,,,5034.0,,,,5034.0,0.0,,,,,,20314.0,9282.0,,,0.0,,,4138.0,4138.0,,,,,,0.0,13420.0,,,,,,,,,,10260.0,,,10260.0,10260.0,8854.0,,,,5178.0,,,,5178.0,14032.0,24292.0,1502.0,,,,0.0,,7334.0,8836.0,606.0,9442.0,33734.0,
09/30/2000,49821.0,20981.0,20981.0,0.0,9869.0,,,5230.0,,,,5230.0,0.0,,,,,,36080.0,9289.0,,,0.0,,,4452.0,4452.0,,,,,,0.0,13741.0,,,,,,,,,,11027.0,,,11027.0,11027.0,22806.0,,,,5538.0,,,,5538.0,28344.0,39371.0,1502.0,,,,0.0,,8283.0,9785.0,665.0,10450.0,49821.0,
12/31/2000,57640.0,3273.0,2613.0,660.0,7254.0,,,5421.0,,,,,1666.0,,,,,,17614.0,9839.0,19169.0,-9330.0,1157.0,,,29030.0,,,,,,,29030.0,40026.0,,5386.0,5386.0,,,16675.0,16675.0,0.0,0.0,6303.0,,,6303.0,28364.0,13066.0,13066.0,0.0,0.0,7423.0,,,,7423.0,20489.0,48853.0,1502.0,688.0,,,0.0,,5979.0,8169.0,618.0,8787.0,57640.0,
03/31/2001,57455.0,1813.0,1813.0,0.0,10418.0,,,5781.0,,,,5781.0,0.0,,,,,,18012.0,10731.0,,,0.0,,,28712.0,26931.0,,,,,,1781.0,39443.0,,0.0,0.0,,,0.0,,,,12995.0,,,12995.0,12995.0,29620.0,,,,6722.0,,,,6722.0,36342.0,49337.0,1502.0,688.0,,,0.0,,5257.0,7447.0,671.0,8118.0,57455.0,
06/30/2001,60111.0,3492.0,3492.0,0.0,10734.0,,,6040.0,,,,6040.0,,,,,,,20266.0,10998.0,,,0.0,,,28847.0,27027.0,,,,,,1820.0,39845.0,,,,,,,,,,12913.0,,,12913.0,12913.0,31084.0,,,,7068.0,,,,7068.0,38152.0,51065.0,1502.0,,,,0.0,,6888.0,8390.0,656.0,9046.0,60111.0,
09/30/2001,54443.0,3388.0,3388.0,0.0,9910.0,,,5631.0,,,,5631.0,,,,,,,18929.0,10274.0,,,0.0,,,25240.0,25240.0,,,,,,0.0,35514.0,,,,,,,,,,12894.0,,,12894.0,12894.0,26256.0,,,,6704.0,,,,6704.0,32960.0,45854.0,1502.0,,,,0.0,,6501.0,8003.0,586.0,8589.0,54443.0,
12/31/2001,52959.0,2301.0,1862.0,439.0,5344.0,,,5343.0,,,,,1841.0,,,,,,14829.0,9240.0,18167.0,-8927.0,884.0,,,28006.0,,18848.0,,,,,28006.0,38130.0,,4882.0,4882.0,,,11279.0,11279.0,0.0,0.0,7051.0,,,7051.0,23212.0,14221.0,14221.0,0.0,0.0,7667.0,,,,7667.0,21888.0,45100.0,1502.0,691.0,,,0.0,,5002.0,7195.0,664.0,7859.0,52959.0,
03/31/2002,52711.0,2182.0,2182.0,,10341.0,,,5506.0,,,,,0.0,,,,,,18029.0,10014.0,,,,,,24668.0,24668.0,,,,,,0.0,34682.0,,0.0,0.0,,,0.0,,,,12913.0,,,12913.0,12913.0,25220.0,,,,6740.0,,,,6740.0,31960.0,44873.0,1502.0,,,,,,5609.0,7111.0,727.0,7838.0,52711.0,
06/30/2002,49666.0,3664.0,3664.0,,10394.0,,,4911.0,,,,,0.0,,,,,,18969.0,8772.0,,,,,,21925.0,21925.0,,,,,,0.0,30697.0,,0.0,0.0,,,0.0,,,,11782.0,,,11782.0,11782.0,23616.0,,,,6717.0,,,,6717.0,30333.0,42115.0,1502.0,,,,,,5356.0,6858.0,693.0,7551.0,49666.0,
09/30/2002,49074.0,4476.0,4476.0,,9418.0,,,4970.0,,,,,0.0,,,,,,18864.0,8714.0,,,,,,21496.0,21496.0,,,,,,0.0,30210.0,,0.0,0.0,,,0.0,,,,11696.0,,,11696.0,11696.0,23322.0,,,,6861.0,,,,6861.0,30183.0,41879.0,1502.0,,,,,,5009.0,6511.0,684.0,7195.0,49074.0,
12/31/2002,42364.0,2891.0,1665.0,1226.0,4112.0,,,4500.0,,,,,1776.0,,,,,,13279.0,7436.0,15298.0,-7862.0,404.0,,,21245.0,,15328.0,,,,275.0,20970.0,29085.0,,4341.0,4341.0,,,8937.0,8937.0,0.0,0.0,6677.0,,,6677.0,19955.0,10933.0,10933.0,0.0,0.0,6155.0,,,,6155.0,17088.0,37043.0,1502.0,681.0,,,,4663.0,-2144.0,4702.0,619.0,5321.0,42364.0,
03/31/2003,44067.0,3619.0,3619.0,,7668.0,,,4818.0,,,,,0.0,,,,,,16105.0,7694.0,,,,,,20268.0,20268.0,,,,,,0.0,27962.0,,0.0,0.0,,,0.0,,,,11986.0,,,11986.0,11986.0,19900.0,,,,6376.0,,,,6376.0,26276.0,38262.0,1502.0,,,,,,3653.0,5155.0,650.0,5805.0,44067.0,
06/30/2003,42341.0,2922.0,2922.0,,7668.0,,,4735.0,,,,,0.0,,,,,,15325.0,7538.0,,,,,,19478.0,19478.0,,,,,,0.0,27016.0,,0.0,0.0,,,0.0,,,,10667.0,,,10667.0,10667.0,19064.0,,,,6205.0,,,,6205.0,25269.0,35936.0,1502.0,,,,,,4481.0,5983.0,422.0,6405.0,42341.0,
09/30/2003,41379.0,3027.0,3027.0,,7458.0,,,4585.0,,,,,0.0,,,,,,15070.0,7212.0,,,,,,19097.0,19097.0,,,,,,0.0,26309.0,,0.0,0.0,,,0.0,,,,11127.0,,,11127.0,11127.0,17390.0,,,,6045.0,,,,6045.0,23435.0,34562.0,1502.0,,,,,,4898.0,6400.0,417.0,6817.0,41379.0,
12/31/2003,37968.0,3325.0,1834.0,1491.0,3510.0,,,4175.0,,,,,1592.0,,,,,,12602.0,6655.0,13804.0,-7149.0,143.0,,,18568.0,,13457.0,,,,56.0,18512.0,25366.0,,3707.0,3707.0,,,7434.0,7434.0,0.0,0.0,6333.0,,,6333.0,17474.0,8466.0,8466.0,0.0,0.0,5668.0,,,,5668.0,14134.0,31608.0,1502.0,670.0,,,,6190.0,-2442.0,5920.0,440.0,6360.0,37968.0,
03/31/2004,42071.0,3577.0,2239.0,1338.0,,,,4504.0,,,,4504.0,5313.0,,,,,,13394.0,6653.0,,,,,,22024.0,18990.0,,,,,,3034.0,28677.0,,,,,,7485.0,,,,9022.0,,,9022.0,16507.0,8659.0,,,,8895.0,,,,8895.0,17554.0,34061.0,,,,,,,7532.0,7532.0,478.0,8010.0,42071.0,
06/30/2004,38837.0,3485.0,3485.0,,6582.0,,,4322.0,,,,4322.0,0.0,,,,,,14389.0,6919.0,,,,,,17529.0,17529.0,,,,,,0.0,24448.0,,0.0,0.0,,,0.0,,,,9932.0,,,9932.0,9932.0,16359.0,,,,5379.0,,,,5379.0,21738.0,31670.0,1502.0,,,,,,5277.0,6779.0,388.0,7167.0,38837.0,
09/30/2004,37017.0,2667.0,2667.0,,6214.0,,,4182.0,,,,4182.0,0.0,,,,,,13063.0,6827.0,,,,,,17127.0,17127.0,,,,,,0.0,23954.0,,0.0,0.0,,,0.0,,,,9907.0,,,9907.0,9907.0,14369.0,,,,5191.0,,,,5191.0,19560.0,29467.0,1502.0,,,,,,5677.0,7179.0,371.0,7550.0,37017.0,
12/31/2004,36858.0,2603.0,1590.0,1013.0,3161.0,,,3756.0,1388.0,,2368.0,,970.0,,,,,,10490.0,6181.0,13281.0,-7100.0,977.0,,,19210.0,18121.0,12083.0,6038.0,,,54.0,1035.0,26368.0,,3729.0,3729.0,,,5155.0,5155.0,0.0,0.0,5346.0,,,5346.0,14230.0,6893.0,6893.0,0.0,0.0,8106.0,,,,8106.0,14999.0,29229.0,0.0,2172.0,,,-2625.0,7647.0,70.0,7264.0,365.0,7629.0,36858.0,
03/31/2005,38327.0,2055.0,1721.0,334.0,,,,4112.0,,,,4112.0,4616.0,,,,,,10783.0,6231.0,,,,,,21313.0,17346.0,,,,,,3967.0,27544.0,,,,,,5462.0,,,,8234.0,,,8234.0,13696.0,7062.0,,,,9114.0,,,,9114.0,16176.0,29872.0,,,,,,,8041.0,8041.0,414.0,8455.0,38327.0,
06/30/2005,39914.0,1966.0,1594.0,372.0,,,,4282.0,,,,,5370.0,,,,,,11618.0,6451.0,,,,,,21845.0,17876.0,,,,,,3969.0,28296.0,,,,,,7506.0,,,,8613.0,,,8613.0,16119.0,6085.0,,,,9494.0,,,,9494.0,15579.0,31698.0,,,,,,,7802.0,7802.0,414.0,8216.0,39914.0,
