Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,EV/EBITDA,EV/Market Cap,Total Debt/EV,EV/Net Income,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1998,2022.69725,-51.165,0.0,2.462,1953.567,3927.56125,,,1.941744,0.497399,,2031.468938,3936.332938,58.130976,,
06/30/1998,936.667111,0.0,0.0,0.0,978.330017,1914.997128,,,2.04448,0.510878,,939.540114,1917.870131,28.239379,,
09/30/1998,805.706863,-2.373,0.0,0.0,961.549,1764.882863,,,2.190478,0.544823,,802.536262,1761.712262,26.011922,,
12/31/1998,826.909676,-0.338,0.0,0.0,931.127014,1757.69869,1.803824,7.341394,2.125624,0.529742,38.513085,827.324102,1758.113116,25.906037,,
03/31/1999,407.774544,-58.497,0.0,0.0,976.889,1326.166544,6.420062,7.500136,3.252205,0.736626,28.158794,407.736,1326.128,19.513232,,
06/30/1999,365.287677,-70.07,0.0,0.0,976.009,1271.226677,5.597183,6.373501,3.48007,0.767769,18.963909,365.543,1271.482,18.705376,,
09/30/1999,322.806499,-119.852,0.0,0.0,975.128,1178.082499,5.12192,5.906626,3.649501,0.827725,17.535165,323.0095,1178.2855,17.335128,,
12/31/1999,284.703929,-139.593994,0.0,0.0,974.247009,1119.356944,4.799071,6.205136,3.931653,0.870363,26.316138,287.890625,1122.54364,16.463795,,
03/31/2000,226.638948,-94.829,0.0,0.0,923.368,1055.177948,4.476565,5.868033,4.655766,0.875083,42.32563,224.9585,1053.4975,15.422225,,
06/30/2000,219.141605,-115.648,0.0,0.0,923.368,1026.861605,4.3186,6.089328,4.685836,0.899214,83.647899,218.136016,1025.856016,15.009318,,
09/30/2000,342.09048,-96.138,0.0,0.0,923.368,1169.32048,4.880333,7.556191,3.418161,0.789662,149.338503,341.12,1168.35,17.090807,,
12/31/2000,384.952483,-87.401001,0.0,0.0,886.38501,1183.936492,4.885799,15.287844,3.075539,0.748676,,383.062489,1182.046498,17.299909,,
03/31/2001,584.111559,-55.098,0.0,0.0,851.385,1380.398559,5.979738,20.538589,2.363245,0.616768,,585.412,1381.699,20.08758,,
06/30/2001,753.726124,-23.384,,,850.42,1580.762124,7.264732,20.098948,2.097263,0.537981,,758.91165,1585.94765,22.965033,,
09/30/2001,746.914293,-23.827,,,850.016,1573.103293,7.722003,17.607854,2.106136,0.540343,,754.9864,1581.1754,22.851579,,
12/31/2001,792.177523,-18.596001,0.0,0.0,848.367981,1621.949503,7.96428,8.209244,2.047457,0.523054,32.075891,801.32,1631.09198,23.545757,,
03/31/2002,873.682851,-9.281,0.0,0.0,831.544,1695.945851,8.376158,8.595685,1.941146,0.490313,32.188465,883.5266,1705.7896,24.555495,,
06/30/2002,880.781794,-3.336,,,807.663,1685.108794,8.37954,8.865914,1.913197,0.479294,23.716891,892.5255,1696.8525,24.393258,,
09/30/2002,934.194615,-4.121,,,785.924,1715.997615,8.58935,9.072152,1.836874,0.457998,21.725064,939.33027,1721.13327,24.632478,,
12/31/2002,903.153081,-2.455,0.0,0.0,707.709,1608.407081,8.746952,9.17339,1.78088,0.440006,24.478846,815.285827,1520.539827,20.391074,,
03/31/2003,917.050864,-3.083,,,,,,,,,,919.8336,,,,
06/30/2003,1202.742547,-9.173,0.0,0.0,720.16,1913.729547,10.227832,11.084446,1.591138,0.376312,23.935382,1205.56125,1916.54825,24.105743,,
09/30/2003,1371.40876,-10.095,,,,,,,,,,1374.017015,,,,
