Date,Revenue,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/1990,,126.000003,126.000003,,,,,,,
06/30/1990,,90.799998,90.799998,,,,,,,
09/30/1990,,104.200002,104.200002,,,,,,,
12/31/1990,,131.800006,131.800006,,,,,,,
03/31/1991,,129.3,129.3,,,,,,,
06/30/1991,,79.899999,79.899999,,,,,,,
09/30/1991,,114.6,114.6,,,,,,,
01/01/1992,,155.400006,155.400006,,,,,,,
03/31/1992,,-186.7,-186.7,,,,,,,
06/30/1992,,58.200002,58.200002,,,,,,,
09/30/1992,,54.6,54.6,,,,,,,
12/31/1992,,-305.499988,-305.499988,,,,,,,
03/31/1993,,106.3,106.3,,,,,,,
06/30/1993,,82.100001,82.100001,,,,,,,
09/30/1993,,147.900006,147.900006,,,,,,,
12/31/1993,,103.299998,103.299998,,,,,,,
03/31/1994,,110.6,110.6,,,,,,,
06/30/1994,,79.400003,79.400003,,,,,,,
09/30/1994,,122.000003,122.000003,,,,,,,
12/31/1994,,116.400002,116.400002,,,,,,,
03/31/1995,,104.500003,104.500003,,,,,,,
06/30/1995,,83.6,83.6,,,,,,,
09/30/1995,,158.8,158.8,,,,,,,
12/31/1995,,119.699997,119.699997,,,,,,,
03/31/1996,,120.799994,120.799994,,,,,,,
06/30/1996,,90.499997,90.499997,,,,,,,
09/30/1996,,137.199994,137.199994,,,,,,,
12/31/1996,,132.899994,132.899994,,,,,,,
03/31/1997,,114.9,114.9,,,,,,,
06/30/1997,,88.700003,88.700003,,,,,,,
09/30/1997,,68.2,68.2,,,,,,,
12/31/1997,,369.099994,369.099994,,,,,,,
03/31/1998,,-19.400001,-19.400001,,,,,,,
06/30/1998,,36.499999,36.499999,,,,,,,
09/30/1998,,-92.399999,-92.399999,,,,,,,
12/31/1998,,20.899999,20.899999,,,,,,,
03/31/1999,,87.100003,87.100003,,,,,,,
06/30/1999,,51.899999,51.899999,,,,,,,
09/30/1999,,73.799997,73.799997,,,,,,,
12/31/1999,,-150.900006,-150.900006,,,,,,,
03/31/2000,,90.0,90.0,,,,,,,
06/30/2000,,-139.299997,-139.299997,,,,,,,
09/30/2000,,48.100001,48.100001,,,,,,,
12/31/2000,,-11.6,-11.6,,,,,,,
03/31/2001,,-4.6,-4.6,,,,,,,
06/30/2001,,193.799997,193.799997,,,,,,,
09/30/2001,,-34.600001,-34.600001,,,,,,,
12/31/2001,,44.399999,44.399999,,,,,,,
03/31/2002,,111.0,111.0,,,,,,,
06/30/2002,,33.699998,33.699998,,,,,,,
09/30/2002,,29.7,29.7,,,,,,,
12/31/2002,,37.900001,37.900001,,,,,,,
03/31/2003,,31.499999,31.499999,,,,,,,
06/30/2003,,60.799999,60.799999,,,,,,,
09/30/2003,,58.599998,58.599998,,,,,,,
12/31/2003,,60.0,60.0,,,,,,,
03/31/2004,,65.400002,65.400002,,,,,,,
06/30/2004,,50.400002,50.400002,,,,,,,
09/30/2004,,61.400002,61.400002,,,,,,,
12/31/2004,,50.7,50.7,,,,,,,
03/31/2005,,84.999999,84.999999,,,,,,,
06/30/2005,,45.900002,45.900002,,,,,,,
09/30/2005,,38.900002,38.900002,,,,,,,
12/31/2005,,127.200003,127.200003,,,,,,,
03/31/2006,,146.600006,146.600006,,,,,,,
03/31/2007,,98.0,98.0,,,,,,,
06/30/2007,,105.0,105.0,,,,,,,
09/30/2007,,134.0,134.0,,,,,,,
12/31/2007,,100.0,100.0,,,,,,,
03/31/2008,,108.0,108.0,,,,,,,
06/30/2008,,99.0,99.0,,,,,,,
09/30/2008,,132.0,132.0,,,,,,,
12/31/2008,,119.0,119.0,,,,,,,
03/31/2009,,123.0,123.0,,,,,,,
06/30/2009,,110.0,110.0,,,,,,,
09/30/2009,,162.0,162.0,,,,,,,
12/31/2009,,145.0,145.0,,,,,,,
03/31/2010,,136.0,136.0,,,,,,,
06/30/2010,,150.0,150.0,,,,,,,
09/30/2010,,156.0,156.0,,,,,,,
12/31/2010,,122.0,122.0,,,,,,,
03/31/2011,,126.0,126.0,,,,,,,
06/30/2011,,129.0,129.0,,,,,,,
09/30/2011,,169.0,169.0,,,,,,,
12/31/2011,,127.0,127.0,,,,,,,
03/31/2012,,150.0,150.0,,,,,,,
06/30/2012,,130.0,130.0,,,,,,,
09/30/2012,,212.0,212.0,,,,,,,
12/31/2012,,43.0,145.0,,,,,,,
03/31/2013,,159.0,159.0,,,,,,,
06/30/2013,,165.0,165.0,,,,,,,
09/30/2013,,215.0,215.0,,,,,,,
12/31/2013,,139.0,139.0,,,,,,,
03/31/2014,,155.0,155.0,,,,,,,
06/30/2014,,184.0,184.0,,,,,,,
09/30/2014,,239.0,239.0,,,,,,,
12/31/2014,,118.0,118.0,,,,,,,
03/31/2015,,134.0,134.0,,,,,,,
06/30/2015,,171.0,171.0,,,,,,,
