Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1998,546.578979,,,-467.838989,,,78.73999,,-58.643002,,,20.097,1.246,,9.716,,0.0,,-10.962,21.343,-2.983,18.360001,0.0,,,18.36,0.0,18.360001,0.0,,18.360001,18.360001,,217.613998,0.085,0.085,0.085,217.613998,0.085,0.085,0.085,
12/31/1998,615.367004,,,-499.858002,,,115.509003,,-67.625,,,47.883999,1.469999,,15.642,,0.0,,-17.112,49.353998,0.586,49.939999,0.0,,,49.939998,0.0,49.939999,0.0,,49.939999,49.939999,,154.246002,0.325,0.325,0.325,154.246002,0.325,0.325,0.325,
03/31/1999,567.492981,,,-397.792999,,,169.699982,,-131.858994,,,37.841,-5.532001,,16.481001,,0.0,,-10.949,32.308999,-6.703979,25.605,0.0,,,25.60502,0.0,25.605,0.0,,25.605,25.605,,115.335999,0.22,0.22,0.22,115.335999,0.219997,0.22,0.22,
06/30/1999,514.429016,,,-453.838013,,,60.591003,,-56.327999,,,4.263,3.588,14.023,14.023,,0.0,,-17.611,7.851,6.583,14.434,0.0,,,14.434,0.0,14.434,0.0,,14.434,14.434,,115.335999,0.095,0.095,0.095,115.335999,0.095,0.095,0.095,
09/30/1999,545.211975,,,-478.282013,,,66.929962,,-54.747002,,,12.183,-1.658,12.838,12.838,,0.0,,-11.18,10.525,0.202,10.727,0.0,,,10.727,0.0,10.727,0.0,,10.727,10.727,,160.501999,0.065,0.065,0.065,160.501999,0.065,0.065,0.065,
12/31/1999,548.281,,,-378.062,,,170.219,0.0,-125.274,14.948,110.326,44.945,-12.536,,12.536,,0.0,,,32.409,4.097,36.506,0.0,,,36.506,0.0,36.506,0.0,0.0,36.506,36.506,,159.803636,0.23,0.23,0.23,159.803636,0.23,0.23,0.23,
03/31/2000,510.417999,,,-431.910004,,,78.507996,,-60.685001,,,17.823,2.261999,14.583,14.583,,0.0,,-16.844999,20.084999,2.885,22.969999,0.0,,,22.969999,0.0,22.969999,0.0,,22.969999,22.969999,,158.436005,0.145,0.145,0.2,158.436005,0.145,0.145,0.2,
06/30/2000,501.513,,,-398.841003,,,102.671997,,-56.896,,,45.776001,-2.248,15.332,15.332,,0.0,,-13.084,43.528001,-6.691,36.837002,0.0,,,36.837001,0.0,36.837002,0.0,,36.837002,36.837002,,157.229996,0.235,0.235,0.24,157.229996,0.235,0.235,0.24,
09/30/2000,491.26001,,,-430.358002,,,60.902008,,-54.183998,,,6.718,-2.167,15.264,15.264,,0.0,,-13.097,4.551,-0.455,4.096,0.0,,,4.096,0.0,4.096,0.0,,4.096,4.096,,157.154007,0.025,0.025,0.025,157.154007,0.025,0.025,0.025,
12/31/2000,528.81,,,-363.91,,,164.9,0.0,-116.564,16.865,99.699,48.336,-15.542,,15.542,,,,,32.794,-3.387,29.407,,,,29.407,,29.407,,0.0,29.407,29.407,,157.181708,0.185,0.185,0.185,157.181708,0.185,0.185,0.185,
03/31/2001,572.330994,,,-477.446991,,,94.884003,,-51.521999,,,43.362,99.001002,14.662,14.662,,0.0,,-113.663002,142.363002,-41.563,100.800003,0.0,,,100.800002,0.0,100.800003,0.0,,100.800003,100.800003,,157.233994,0.64,0.64,0.305,158.404007,0.635,0.635,0.305,
12/31/2001,616.723,,,-528.693,,,88.03,,-58.435,,,29.595,31.032,12.13,12.13,,0.0,,-43.162,60.627,-11.28,49.347,0.0,,,49.347,0.0,49.347,0.0,0.0,49.347,49.347,,157.34,0.315,0.315,0.205,158.142,0.31,0.31,0.2,
03/31/2002,541.637024,,,-465.798004,,,75.83902,,-67.382004,,,8.457,-1.766,10.137,10.137,,0.0,,-8.371,6.691,-1.19,5.501,0.0,,,5.501,0.0,5.501,0.0,0.0,5.501,5.501,,157.410004,0.035,0.035,0.035,157.820007,0.035,0.035,0.035,
06/30/2002,520.719971,,,-466.144012,,,54.575958,,-60.062,,,-5.486,4.719,11.848,11.848,,0.0,,-16.566999,-0.767,9.794,9.027,0.0,,,9.026999,0.0,9.027,0.0,0.0,9.027,9.027,,157.445999,0.055,0.055,0.05,157.869995,0.055,0.055,0.05,
09/30/2002,538.625,,,-523.887024,,,14.737976,,-53.507999,,,-38.77,-3.208,,11.625,,0.0,,-8.417,-41.978001,34.992001,-6.986,0.0,,,-6.986,0.0,-6.986,0.0,0.0,-6.986,-6.986,,157.470001,-0.045,-0.045,-0.05,157.539993,-0.045,-0.045,-0.05,
12/31/2002,540.362976,,,-488.233002,,,52.129974,,-57.415001,,,-5.285,0.916,12.603,12.603,,0.0,,-13.519,-4.368999,8.503,4.134,0.0,,,4.134001,0.0,4.134,0.0,0.0,4.134,4.134,,157.498001,0.025,0.025,0.03,157.514008,0.025,0.025,0.03,
