Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,1983.8,317.5,317.5,0.0,288.2,288.2,0.0,166.4,80.4,22.2,95.5,-31.7,137.8,0.0,,,100.5,909.9,232.0,586.8,-354.8,0.0,841.9,788.4,637.9,150.5,53.5,1073.9,,380.4,227.2,0.0,0.0,153.2,2.2,2.2,0.0,0.0,,,0.1,0.0,0.0,92.0,0.0,382.7,2.8,2.8,0.0,0.0,,232.1,0.0,121.5,18.6,234.9,617.6,0.0,,,,0.0,0.0,1343.2,1343.2,23.0,1366.2,1983.8,
03/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2013,1925.1,368.5,368.5,0.0,306.4,306.4,0.0,163.2,76.4,32.5,87.1,-32.8,165.0,,,,164.7,1003.1,206.6,,,0.0,715.4,650.8,505.4,145.4,64.6,922.0,,369.2,209.6,,,159.6,2.1,1.8,,,,0.3,0.3,,,95.0,0.0,371.6,2.7,2.7,,,,249.8,,139.9,14.9,252.5,624.1,0.0,,,,0.0,,1268.4,1268.4,32.6,1301.0,1925.1,
12/31/2013,2000.6,227.4,227.4,0.0,260.0,260.0,0.0,187.5,68.4,34.5,84.6,0.0,271.9,0.0,,78.5,233.1,946.8,200.2,566.4,-366.2,0.0,853.6,651.0,504.9,146.1,124.1,1053.8,,394.6,211.3,0.0,0.0,183.3,71.9,0.0,0.0,0.0,,71.9,24.0,0.0,0.0,86.7,0.1,490.5,1272.0,1272.0,0.0,0.0,,273.1,0.0,110.6,75.8,1545.1,2035.6,0.0,29.5,1.0,28.5,0.0,1.1,-96.7,-66.1,31.1,-35.0,2000.6,
03/31/2014,1977.9,205.4,205.4,0.0,284.1,284.1,0.0,167.2,62.1,40.3,99.0,-34.2,257.2,,,,255.7,913.9,208.9,,,0.0,855.1,650.6,507.1,143.5,204.5,1064.0,,391.0,213.6,,,177.4,70.5,0.0,,,,70.5,0.0,,0.0,,0.0,461.5,1264.4,1264.4,,,,280.3,,,280.3,1544.7,2006.2,0.0,21.4,1.0,20.4,0.0,28.0,-109.8,-60.4,32.1,-28.3,1977.9,
06/30/2014,1968.1,193.2,193.2,0.0,295.6,295.6,0.0,174.1,61.2,44.4,102.4,-33.9,224.7,,3.9,,220.8,887.6,210.3,,,0.0,870.2,662.7,517.8,144.9,207.5,1080.5,,404.9,219.8,,,185.1,30.7,0.0,,,,30.7,1.8,,,,0.0,437.4,1256.9,1256.9,,,,285.0,,,285.0,1541.9,1979.3,0.0,6.6,1.0,5.6,0.0,55.5,-104.3,-42.2,31.0,-11.2,1968.1,
09/30/2014,1992.2,251.4,251.4,0.0,287.3,287.3,0.0,180.7,62.8,46.9,105.4,-34.4,214.6,,0.0,,212.9,934.0,212.5,,,0.0,845.7,643.0,509.9,133.1,202.7,1058.2,,427.5,222.9,,,204.6,30.3,0.0,,,,30.3,6.4,,,,0.0,464.2,1249.2,1249.2,,,,272.8,,,272.8,1522.0,1986.2,0.0,3.6,1.0,2.6,0.0,95.4,-129.7,-30.7,36.7,6.0,1992.2,
12/31/2014,2015.9,290.5,290.5,0.0,230.4,230.4,0.0,169.3,52.7,26.0,90.6,0.0,311.5,,255.9,72.2,18.6,1001.7,207.2,579.8,-372.6,0.0,807.0,609.8,484.4,125.4,125.0,1014.2,,345.9,175.6,,,170.3,49.6,0.0,0.0,0.0,,49.6,137.0,0.0,,57.0,88.7,532.5,1215.0,1215.0,0.0,0.0,,249.9,,122.0,70.9,1464.9,1997.4,0.0,1.0,1.0,0.0,0.0,142.4,-148.2,-4.8,23.3,18.5,2015.9,
03/31/2015,1927.4,229.6,229.6,0.0,255.8,255.8,0.0,184.9,59.7,34.7,90.5,0.0,233.4,,,,220.6,903.7,206.3,,,0.0,817.4,610.3,498.6,111.7,207.1,1023.7,,398.0,231.5,,,166.5,49.4,0.0,,,,49.4,34.7,,,,0.0,482.1,1202.7,1202.7,,,,241.1,,,241.1,1443.8,1925.9,0.0,6.1,1.0,5.1,0.0,152.8,-178.7,-19.8,21.3,1.5,1927.4,
06/30/2015,1989.6,201.0,201.0,0.0,274.7,274.7,0.0,205.9,65.0,45.4,95.5,0.0,241.6,,,,239.9,923.2,207.8,,,0.0,858.6,650.0,527.5,122.5,208.6,1066.4,,415.2,233.8,,,181.4,61.8,0.0,,,,61.8,2.0,,,,0.0,479.0,1190.5,1190.5,,,,247.4,,,247.4,1437.9,1916.9,0.0,13.3,1.0,12.3,0.0,207.1,-173.1,47.3,25.4,72.7,1989.6,
09/30/2015,2409.0,175.2,175.2,0.0,273.1,273.1,0.0,216.3,63.0,34.3,119.0,0.0,211.1,,154.3,,53.1,875.7,227.9,,,0.0,1305.4,1083.7,823.4,260.3,221.7,1533.3,,376.5,180.2,,,196.3,59.0,0.0,,,,59.0,81.7,,1.8,,78.5,517.2,1575.9,1575.9,,,,287.9,,,286.1,1863.8,2381.0,0.0,18.9,1.0,17.9,,170.2,-174.6,14.5,13.5,28.0,2409.0,
