Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2010,5098,964,964,0,1072,1072,0,353,142,169,80,-38,453,,,,,453,2842,1849,3722.0,-1873.0,0,,407,,,,,407,2256,,1200,1200,,,,216,0,,,,216,315,,,315,1731,10,10,,,,3765,,,,,171,3594,3775,5506,0.0,3666,131,3408,127.0,,-4343,-55,-732,324,-408,5098,
06/30/2010,4974,979,979,0,1032,1032,0,351,132,183,71,-35,466,,,,,466,2828,1721,3511.0,-1790.0,0,,425,,,,,425,2146,,1186,1186,,,,207,0,,,,207,327,,,327,1720,11,11,,,,4013,,509.0,,,173,3331,4024,5744,0.0,3666,131,3408,127.0,,-4544,-219,-1097,327,-770,4974,
09/30/2010,5147,918,918,0,1086,1086,0,395,169,179,83,-36,478,,,,,478,2877,1812,3735.0,-1923.0,0,,458,,,,,458,2270,,1239,1043,,,196.0,128,0,,,,128,326,,,326,1693,12,12,,,,4179,,,,,175,4004,4191,5884,0.0,3666,131,3408,127.0,,-4684,-78,-1096,359,-737,5147,
12/31/2010,5208,905,905,0,1092,1092,0,364,120,174,76,-6,341,0.0,,,,341,2702,1576,1631.0,-55.0,0,,930,402.0,38.0,364.0,,528,2506,,1399,1203,,0.0,196.0,78,0,0.0,0.0,,78,365,0.0,0.0,365,1842,483,483,0.0,0.0,,933,0.0,364.0,0.0,364.0,190,379,1416,3258,0.0,1129,1,1099,29.0,-5.0,86,50,1260,690,1950,5208,
03/31/2011,5449,831,831,0,1240,1240,0,414,158,174,92,-10,375,,,,,375,2860,1618,1724.0,-106.0,0,,971,391.0,,391.0,,580,2589,,1496,1314,,,182.0,80,0,,,,80,360,,,360,1936,486,486,,,,969,,544.0,,,200,225,1455,3391,0.0,1142,1,1117,24.0,-5.0,125,103,1365,693,2058,5449,
06/30/2011,5594,839,839,0,1341,1341,0,419,154,185,93,-13,379,,,,,379,2978,1640,1826.0,-186.0,0,,976,395.0,36.0,359.0,,581,2616,,1546,1343,,,203.0,91,0,,,,91,289,,,289,1926,505,505,,,,1007,,552.0,,,206,249,1512,3438,0.0,1156,1,1136,19.0,-7.0,151,143,1443,713,2156,5594,
09/30/2011,5234,758,758,0,1239,1239,0,406,167,187,67,-15,301,,,,,301,2704,1528,1757.0,-229.0,0,,1002,366.0,36.0,330.0,,636,2530,,1357,1173,,,184.0,81,0,,,,81,297,,,297,1735,507,507,,,,925,,,,,187,738,1432,3167,0.0,1170,1,1156,13.0,-7.0,192,18,1373,694,2067,5234,
12/31/2011,4969,723,723,0,1071,1071,0,381,167,174,64,-24,314,0.0,,18.0,,284,2489,1412,1666.0,-254.0,0,,1068,353.0,36.0,317.0,,697,2480,,1199,1010,,0.0,189.0,87,0,0.0,0.0,,87,267,0.0,0.0,267,1553,512,512,0.0,0.0,,907,0.0,329.0,0.0,329.0,187,391,1419,2972,,1179,1,1165,13.0,-13.0,166,-25,1307,690,1997,4969,
03/31/2012,5158,696,696,0,1191,1191,0,381,146,181,78,-24,419,,76.0,18.0,,305,2687,1384,1685.0,-301.0,0,,1087,340.0,36.0,304.0,,729,2471,,1361,1155,29.0,16.0,161.0,93,0,,,,93,252,56.0,,207,1706,503,503,,,,858,,417.0,,,196,189,1361,3067,0.0,1257,1,1243,13.0,-11.0,137,15,1398,693,2091,5158,
06/30/2012,5044,681,681,0,1166,1166,0,380,142,182,79,-23,451,,76.0,17.0,,337,2678,1264,1598.0,-334.0,0,,1102,328.0,36.0,292.0,,757,2366,,1263,1067,18.0,7.0,171.0,94,0,,,,94,202,66.0,,158,1559,503,503,,,,854,,408.0,,,199,181,1357,2916,0.0,1264,1,1250,13.0,-12.0,212,-31,1433,695,2128,5044,
09/30/2012,5170,901,901,0,1168,1168,0,408,163,181,89,-25,284,,,17.0,,239,2761,1278,1652.0,-374.0,0,,1131,324.0,36.0,288.0,,790,2409,,1268,1077,13.0,16.0,162.0,89,0,,,,89,219,60.0,,182,1576,506,506,,,,866,,,,,202,604,1372,2948,0.0,1272,1,1258,13.0,-17.0,227,17,1499,723,2222,5170,
12/31/2012,5156,825,825,0,1162,1162,0,385,153,174,78,-20,291,0.0,,28.0,,242,2663,1326,1747.0,-421.0,0,,1167,332.0,46.0,286.0,,807,2493,,1218,1027,16.0,0.0,175.0,96,0,0.0,0.0,,96,238,0.0,0.0,204,1552,473,473,0.0,0.0,,990,0.0,279.0,0.0,279.0,181,530,1463,3015,0.0,1280,1,1269,10.0,-71.0,266,-90,1385,756,2141,5156,
03/31/2013,5367,980,980,0,1181,1181,0,427,166,198,86,-23,282,,,,,270,2870,1297,1747.0,-450.0,0,,1200,314.0,46.0,268.0,,886,2497,,1354,1192,,,162.0,99,0,,,,99,290,,,289,1743,678,678,,,,907,,,,,179,728,1585,3328,0.0,1261,1,1250,10.0,-172.0,335,-118,1306,733,2039,5367,
06/30/2013,5422,983,983,0,1206,1206,0,415,167,182,89,-23,338,,,,,336,2942,1274,1757.0,-483.0,0,,1206,298.0,46.0,252.0,,908,2480,,1363,1174,,,189.0,129,0,,,,129,258,,,244,1750,670,670,,,,905,,559.0,,,180,166,1575,3325,0.0,1294,1,1287,6.0,-197.0,400,-145,1352,745,2097,5422,
09/30/2013,5304,837,837,0,1139,1139,0,454,192,198,89,-25,294,,,,,286,2724,1307,1857.0,-550.0,0,,1273,300.0,46.0,254.0,,973,2580,,1249,1056,,,193.0,130,0,,,,130,254,,,251,1633,677,677,,,,909,,571.0,,,177,161,1586,3219,0.0,1272,1,1265,6.0,-296.0,443,-106,1313,772,2085,5304,
12/31/2013,6027,1677,1677,0,1227,1227,0,472,204,191,104,-27,377,0.0,,69.0,,333,3753,1414,1994.0,-580.0,0,,860,447.0,97.0,350.0,228.0,116,2274,,1409,1207,0.0,0.0,202.0,106,0,0.0,0.0,,106,287,0.0,0.0,281,1802,624,624,0.0,0.0,,728,0.0,440.0,,,137,151,1352,3154,0.0,1298,1,1291,6.0,-322.0,956,-12,1920,953,2873,6027,
03/31/2014,6120,1728,1728,0,1315,1315,0,489,220,200,97,-28,385,,,,,385,3917,1404,2024.0,-620.0,0,,799,427.0,96.0,331.0,,372,2203,,1508,1333,,,175.0,511,0,,,,511,324,,,318,2343,212,212,,,,722,,437.0,,,138,147,934,3277,0.0,1301,1,1294,6.0,-321.0,975,-24,1931,912,2843,6120,
06/30/2014,5649,1285,1285,0,1129,1129,0,462,217,165,102,-22,749,,432.0,,,299,3625,1280,1869.0,-589.0,0,,744,416.0,96.0,320.0,,328,2024,,1188,1036,,,152.0,127,0,,,,127,618,,,617,1933,801,801,,,,694,,418.0,,,128,148,1495,3428,0.0,1243,1,1236,6.0,-752.0,820,0,1311,910,2221,5649,
09/30/2014,5693,936,936,0,1270,1270,0,562,282,163,139,-22,707,,350.0,,,341,3475,1403,2001.0,-598.0,0,,815,431.0,107.0,324.0,167.0,217,2218,,1297,1118,,,179.0,141,0,,,,141,533,,,530,1971,840,840,,,,705,,428.0,,,129,148,1545,3516,0.0,1248,1,1243,4.0,-749.0,799,-91,1207,970,2177,5693,
12/31/2014,5323,822,822,0,1351,1351,0,537,253,184,122,-22,424,0.0,,40.0,,376,3134,1440,2058.0,-618.0,0,,749,407.0,102.0,305.0,,302,2189,,1360,1186,,,174.0,142,0,,,,142,330,0.0,0.0,299,1832,839,839,,,,831,0.0,566.0,,,120,145,1670,3502,0.0,1250,1,1246,3.0,-747.0,661,-299,865,956,1821,5323,
03/31/2015,5339,907,907,0,1367,1367,0,541,259,185,119,-22,437,,,,,423,3252,1365,1998.0,-633.0,0,,722,393.0,102.0,291.0,,329,2087,,1409,1257,,,152.0,124,0,,,,124,396,,,351,1929,833,833,,,,754,,528.0,,,121,105,1587,3516,0.0,1257,1,1254,2.0,-744.0,711,-341,883,940,1823,5339,
06/30/2015,4938,2857,2857,0,554,554,0,204,120,44,57,-17,312,,18.0,,,290,3927,338,501.0,-163.0,0,,673,148.0,46.0,102.0,63.0,462,1011,,608,484,,,124.0,29,28,,,,1,364,,,362,1001,349,349,,,,738,,456.0,,,36,246,1087,2088,0.0,1233,1,1230,2.0,-1203.0,2919,-261,2688,162,2850,4938,
09/30/2015,4866,2912,2860,52,554,554,0,202,115,50,55,-18,223,,17.0,,,201,3891,341,515.0,-174.0,0,,634,141.0,44.0,97.0,58.0,435,975,,628,506,,,122.0,33,0,,,,33,298,,,296,959,349,349,,,,710,,453.0,,,34,223,1059,2018,0.0,1246,1,1244,1.0,-1200.0,2924,-285,2685,163,2848,4866,
12/31/2015,4681,2775,2728,47,523,502,21,187,90,53,44,0,568,0.0,,34.0,425.0,136,4053,351,521.0,-170.0,0,0.0,277,133.0,40.0,93.0,56.0,54,628,,2365,482,,1751.0,132.0,37,0,0.0,0.0,,37,370,15.0,,370,2772,346,346,0.0,0.0,,364,0.0,268.0,,,21,60,710,3482,0.0,1346,1,1345,0.0,-1293.0,1194,-190,1057,142,1199,4681,
03/31/2016,2368,801,801,0,557,538,19,182,97,41,44,0,192,,20.0,34.0,64.0,105,1732,349,535.0,-186.0,21,21.0,266,129.0,40.0,89.0,56.0,47,636,,613,480,19.0,15.0,99.0,36,0,,,,36,279,16.0,,261,928,346,346,,,,362,,261.0,,,22,63,708,1636,0.0,1244,1,1243,,-1700.0,1213,-171,586,146,732,2368,
06/30/2016,2344,846,846,0,506,483,23,187,97,45,45,0,172,,21.0,36.0,59.0,85,1711,342,543.0,-201.0,25,25.0,266,123.0,39.0,84.0,58.0,49,633,,583,455,17.0,15.0,96.0,25,24,,,,1,262,16.0,,244,870,347,347,,,,363,,259.0,,,23,65,710,1580,0.0,1246,1,1245,0.0,-1699.0,1239,-170,616,148,764,2344,
09/30/2016,2373,850,850,0,514,497,17,176,97,44,35,0,187,,23.0,35.0,75.0,87,1727,342,550.0,-208.0,26,26.0,278,137.0,50.0,87.0,47.0,59,646,,574,429,10.0,27.0,108.0,24,23,,,,1,271,16.0,,258,869,347,347,,,,363,,256.0,,,25,66,710,1579,0.0,1247,1,1246,,-1699.0,1267,-167,648,146,794,2373,
12/31/2016,2373,878,878,0,523,505,18,151,83,34,34,0,156,,,48.0,60.0,90,1708,345,555.0,-210.0,10,10.0,310,129.0,45.0,84.0,45.0,88,665,,616,463,30.0,20.0,103.0,36,0,0.0,0.0,,36,259,18.0,,238,911,346,346,0.0,0.0,,392,0.0,303.0,,,20,51,738,1649,0.0,1328,1,1327,0.0,-1778.0,1269,-233,586,138,724,2373,
03/31/2017,2238,688,688,0,571,552,19,162,83,49,30,0,159,,,46.0,71.0,88,1580,346,576.0,-230.0,10,10.0,302,128.0,45.0,83.0,37.0,91,658,,585,463,18.0,17.0,87.0,49,0,,,,49,189,18.0,,177,823,347,347,,,,388,,302.0,,,20,48,735,1558,0.0,1303,1,1302,,-1876.0,1332,-211,548,132,680,2238,
