Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2000,1321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,17.0,17.0,,485.713989,0.035,0.035,0.085,485.713989,0.035,0.035,0.085,
06/30/2000,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,248.0,248.0,,516.666016,0.48,0.48,0.48,516.666016,0.48,0.48,0.48,
09/30/2000,1003.0,,-578.0,,425.0,,-440.0,,,,,-15.0,-92.0,59.0,67.0,-8.0,,,33.0,-107.0,41.0,-66.0,,,,-66.0,,-66.0,,,-66.0,-66.0,,516.0,-0.125,-0.125,-0.125,516.0,-0.125,-0.125,-0.125,
12/31/2000,1159.0,,-732.0,,427.0,,-492.0,,,,,-65.0,-11.0,,,,,,11.0,-76.0,24.0,-52.0,,,,-52.0,,-52.0,,,-52.0,-52.0,,520.0,-0.1,-0.1,0.06,520.0,-0.1,-0.1,0.06,
03/31/2001,1306.0,,-699.0,,607.0,,-475.0,,,,,132.0,-44.0,19.0,24.0,-5.0,,,25.0,88.0,-33.0,55.0,0.0,,,55.0,0.0,55.0,0.0,0.0,55.0,55.0,,516.0,0.105,0.105,0.13,526.2,0.105,0.105,0.13,
06/30/2001,2011.0,,-822.0,,1189.0,,-484.0,,,,,705.0,-84.0,25.0,34.0,-9.0,,,59.0,621.0,-232.0,389.0,0.0,,,389.0,0.0,389.0,0.0,0.0,389.0,389.0,,516.2,0.755,0.76,0.82,527.2,0.735,0.74,0.8,
09/30/2001,936.0,,-552.0,,384.0,,-445.0,,,,,-61.0,-16.0,11.0,16.0,-5.0,0.0,,5.0,-77.0,32.0,-45.0,0.0,,,-45.0,0.0,-45.0,0.0,0.0,-45.0,-45.0,,516.2,-0.085,-0.085,-0.075,516.2,-0.085,-0.085,-0.075,
12/31/2001,1209.0,,-744.0,,465.0,,-460.0,,,,,5.0,-178.0,18.0,25.0,-7.0,0.0,,160.0,-173.0,69.0,-104.0,0.0,,,-104.0,0.0,-104.0,0.0,0.0,-104.0,-104.0,,516.2,-0.2,-0.2,0.045,527.2,-0.2,-0.2,0.045,
03/31/2002,1221.0,,-617.0,,604.0,,-417.0,,,,,187.0,-57.0,10.0,14.0,-4.0,,,47.0,130.0,-44.0,86.0,,,,86.0,,86.0,0.0,0.0,86.0,86.0,,517.5996,-3.354999,0.165,0.165,526.7998,-3.294998,0.165,0.165,
06/30/2002,1553.0,,-735.0,,818.0,,-538.0,,,,,280.0,-65.0,15.0,20.0,-5.0,,,50.0,215.0,-68.0,147.0,0.0,,,147.0,0.0,147.0,0.0,0.0,147.0,147.0,,522.4,0.28,0.28,0.55,528.6,0.28,0.28,0.55,
