Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,9.4375,,
12/31/1980,,,,,,,,,9.375,,
03/31/1981,,,,,,,,,10.5,,
06/30/1981,,,,,,,,,11.875,,
09/30/1981,,,,,,,,,10.8125,,
12/31/1981,,,,,,,,,11.6875,,
03/31/1982,,,,,,,,,9.5,,
06/30/1982,,,,,,,,,9.5,,
09/30/1982,,,,,,,,,10.125,,
12/31/1982,,,,,,,,,11.6875,,
03/31/1983,,,,,,,,,13.875,,
06/30/1983,,,,,,,,,14.0,,
09/30/1983,,,,,,,,,13.75,,
12/31/1983,,,,,,,,,15.5625,,
03/31/1984,,,,,,,,,12.0625,,
06/30/1984,,,,,,,,,11.25,,
09/30/1984,,,,,,,,,13.8125,,
12/31/1984,,,,,,,,,13.0625,,
03/31/1985,,,,,,,,,14.375,,
06/30/1985,,,,,,,,,16.0,,
09/30/1985,,,,,,,,,13.4375,,
12/31/1985,,,,,,,,,16.875,,
03/31/1986,,,,,,,,,18.125,,
06/30/1986,,,,,,,,,17.75,,
09/30/1986,,,,,,,,,16.375,,
12/31/1986,,,,,,,,,16.3125,,
03/31/1987,,,,,,,,,16.8125,,
06/30/1987,,,,,,,,,20.25,,
09/30/1987,,,,,,,,,21.0,,
12/31/1987,,,,,,,,,14.9375,,
03/31/1988,,,,,,,,,15.9375,,
06/30/1988,,,,,,,,,16.9375,,
09/30/1988,,,,,,,,,17.625,,
12/31/1988,,,,,,,,,16.9375,,
03/31/1989,,,,,,,,,16.875,,
06/30/1989,,,,,,,,,18.1875,,
09/30/1989,,,,,,,,,23.4375,,
12/31/1989,,,,,,,,,22.125,,
03/31/1990,,,,,1.059347,,,,19.0,11017.190109,
06/30/1990,,11038.730368,11236.514082,10721.576815,1.073449,,,,19.625,11007.754623,
09/30/1990,,10614.408162,11013.893496,10033.993069,0.733124,,,,13.375,10049.367153,
12/31/1990,9.916413,10274.102247,10640.51775,9794.176937,0.892278,,0.370556,1.522386,16.3125,10204.681296,
03/31/1991,12.246621,10329.003583,10621.782406,9992.493061,0.971306,,0.441434,1.619379,18.125,10137.1686,
06/30/1991,13.489583,9933.449411,10144.008709,9720.699521,0.861572,,0.434402,1.711001,16.1875,9729.47302,
09/30/1991,18.502475,9867.860453,10224.926641,9663.435672,0.971789,,0.545125,1.952359,18.6875,10224.927781,
12/31/1991,92.732557,10254.394189,10928.834381,10110.54335,1.099143,,0.660738,2.37395,19.9375,10951.978991,
03/31/1992,54.44079,11023.13749,11223.435304,10717.604635,1.134391,,0.6959,2.4389,20.6875,11122.849449,
06/30/1992,31.471632,11231.844366,11517.349491,10971.715766,1.217575,,0.728023,2.410836,22.1875,11317.430323,
09/30/1992,22.802199,11252.899255,11463.707312,11024.871266,1.133578,,0.67798,2.350191,20.75,11127.213627,
