Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2006,1892.302002,408.82901,408.82901,,196.229004,196.229004,,,,,,,249.714005,,,,854.771973,813.461975,1135.692993,-322.230988,4.028,,,,220.039993,152.826996,140.654999,12.171997,,67.212997,1037.529968,,40.563,40.563,,,,25.938999,,,,,,761.221024,,,761.221024,827.723022,340.363007,,,,,40.540001,,,,,,40.540001,380.903008,1208.62603,40.0,749.469971,,,-42.719002,-86.445999,-2.247002,658.057968,25.618,683.675968,1892.301998,
06/30/2006,2353.125977,603.432007,603.432007,0.0,291.509003,291.509003,,0.0,0.0,0.0,0.0,0.0,372.817993,,,,1267.759033,813.200989,1153.744995,-340.544006,3.195,,,,268.971008,195.399994,157.863998,37.535995,,73.571014,1085.366997,,70.995003,70.995003,,,,28.045,,,,,,1086.871984,,,1086.871984,1185.911987,338.839996,,,,,41.436001,,,,,,41.436001,380.275997,1566.187984,40.0,768.192993,,,-21.473,-76.763,11.049004,721.005997,65.931999,786.937996,2353.12598,
09/30/2006,2128.76709,496.585999,496.585999,0.0,313.863007,313.863007,,0.0,0.0,0.0,0.0,0.0,253.947998,,,,1064.396973,780.242981,1116.015015,-335.772003,2.721,,,,281.406006,202.697006,150.931,51.766006,,78.709,1064.369987,,73.959999,73.959999,,,,28.296,,,,,,859.413984,,,859.413984,961.669983,337.733002,,,,,41.889999,,,,,,41.889999,379.623001,1341.292984,40.0,767.517029,,,-21.473,-85.864998,11.684998,711.864029,75.610001,787.47403,2128.767014,
12/31/2006,2225.002,313.88,313.88,0.0,248.772,248.772,,0.0,0.0,0.0,0.0,0.0,175.457,,,,738.109,876.172,1236.221,-360.049,2.613,,,,608.108,496.567,423.169,73.398,61.342,50.199,1486.893,,40.646,40.646,,,,31.721,,,,,,701.593,,,701.593,773.96,607.425,,,,,88.79,,,,,,88.79,696.215,1470.175,40.0,758.42,,,-21.472,-119.005,20.719,678.662,76.165,754.827,2225.002,
03/31/2007,2536.457,394.766,394.766,0.0,263.73,263.73,,0.0,0.0,0.0,0.0,0.0,348.261,,,,1006.757,865.391,1235.007,-369.616,14.574,,,,649.735,520.104,348.035,172.069,,129.631,1529.7,,75.498,75.498,,,,31.787,,,,,,988.895,,,988.895,1096.18,632.722,,,,,115.813,,,,,,115.813,748.535,1844.715,40.0,761.208,,,-21.884,-164.054,20.216,635.486,56.256,691.742,2536.457,
06/30/2007,2813.29,466.661,466.661,0.0,405.169,405.169,,0.0,0.0,0.0,0.0,0.0,390.181,,,,1262.011,864.675,1239.108,-374.433,14.229,,,,672.375,531.471,357.339,174.132,,140.904,1551.279,,113.204,113.204,,,,31.941,,,,,,1288.295,,,1288.295,1433.44,578.024,,,,,83.405,,,,,,83.405,661.429,2094.869,40.0,764.585,,,-21.884,-154.132,30.202,658.771,59.65,718.421,2813.29,
09/30/2007,2762.781,351.342,351.342,0.0,390.349,390.349,,0.0,0.0,0.0,0.0,0.0,236.687,,,,978.378,914.69,1300.658,-385.968,1.941,,,,867.772,743.087,440.318,302.769,,124.685,1784.403,,84.374,84.374,,,,48.465,,,,,,890.653,,,890.653,1023.492,724.975,,,,,92.053,,,,,,92.053,817.028,1840.52,40.0,881.044,,,,-112.579,50.528,858.993,63.268,922.261,2762.781,
12/31/2007,2752.103,338.991,338.991,0.0,264.316,264.316,,0.0,0.0,0.0,0.0,0.0,231.101,,,,834.408,915.045,1306.124,-391.079,1.703,,,,1000.947,854.541,471.542,382.999,,146.406,1917.695,,79.273,79.273,,,,36.345,,,,,,789.852,,,789.852,905.47,786.261,,,,,91.465,,,,,,91.465,877.726,1783.196,40.0,941.597,,,0.0,-130.941,56.41,907.066,61.841,968.907,2752.103,
03/31/2008,2956.969,433.865,433.865,0.0,284.703,284.703,,0.0,0.0,0.0,0.0,0.0,339.02,,,,1057.588,871.626,1260.905,-389.279,1.685,,,,1026.07,873.589,473.944,399.645,24.508,127.973,1899.381,,81.557,81.557,,,,36.406,,,,,,1048.686,,,1048.686,1166.649,727.775,,,,,109.801,,,,,,109.801,837.576,2004.225,40.0,945.323,,,0.0,-166.343,66.846,885.826,66.918,952.744,2956.969,
06/30/2008,3359.545,453.368,453.368,0.0,384.292,384.292,,0.0,,,,,435.944,,,,1273.604,906.31,1311.45,-405.14,1.589,,,,1178.042,1014.098,502.206,511.892,22.915,141.029,2085.941,,122.813,122.813,,,,67.184,,,,,,1331.79,,,1331.79,1521.787,726.898,,,,,139.138,,,,,,139.138,866.036,2387.823,40.0,959.851,,,-3.628,-165.108,68.298,899.413,72.309,971.722,3359.545,
