Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1989,760.916016,48.877999,13.918,34.959999,209.057999,,,118.625999,,,,,40.16,,,,,,416.721985,155.557007,319.292999,-163.735992,0.0,,188.636993,,,,,188.636993,344.194,,114.848,114.848,,,,0.0,,,,,,101.183998,,,,101.183998,216.031998,0.0,,,,,50.099998,,,50.099998,50.099998,266.131996,0.0,2.689,,,0,,492.095001,494.784001,0.0,494.784001,760.915997,
10/31/1989,795.163025,57.176001,29.156,28.02,213.929001,,,123.858002,,,,,38.081001,,,,,,433.044006,163.871002,334.747986,-170.876999,0.0,,198.248001,,,,,198.248001,362.119003,,115.726997,115.726997,,,,0.0,,,,,,112.153999,,,,112.153999,227.880997,0.0,,,,,49.786999,,,49.786999,49.786999,277.667995,0.0,2.691,,,0,,514.804016,517.495016,0.0,517.495016,795.163012,
01/31/1990,812.85199,38.174001,24.610001,13.564,227.972,,,130.798996,,,,,44.220001,,,,,,441.165009,171.509003,351.026001,-179.516998,0.0,,200.177994,,,,,200.177994,371.686996,,113.339996,113.339996,,,,0.0,,,,,,122.363998,,,,122.363998,235.703995,0.0,,,,,51.525002,,,51.525002,51.525002,287.228996,0.0,2.732,,,0,,522.890991,525.622991,0.0,525.622991,812.851988,
04/30/1990,885.284973,67.722002,46.220001,21.502001,258.872986,,,131.164001,,,,,46.845001,,,,,,504.604004,183.578003,369.803009,-186.225006,0.0,,197.102997,,,,,197.102997,380.681,,23.106001,23.106001,,,,86.314003,,,,,,154.792002,,,,154.792002,264.212006,7.996,,,,,47.841,,,47.841,55.837,320.049006,0.0,2.946,,,0,,562.289978,565.235978,0.0,565.235978,885.284984,
08/01/1990,883.122986,62.111999,55.946999,6.165,252.332993,,,133.876007,,,,,46.932999,,,,,,495.253998,181.216995,372.43399,-191.216995,0.0,,206.651993,,,,,206.651993,387.868988,,135.423996,135.423996,,,,0.0,,,,,,131.087997,,,,131.087997,266.511993,0.0,,,,,48.799,,,48.799,48.799,315.310993,0.0,2.72,,,0,,565.09198,567.81198,0.0,567.81198,883.122973,
10/31/1990,957.401978,86.335001,57.734001,28.601,279.669006,,,149.931,,,,,51.227001,,,,,,567.161987,192.727005,397.855988,-205.128998,0.0,,197.513,,,,,197.513,390.240005,,147.225006,147.225006,,,,0.0,,,,,,136.661987,,,,136.661987,283.886993,0.0,,,,,52.255001,,,52.255001,52.255001,336.141994,0.0,2.96,,,0,,618.299988,621.259988,0.0,621.259988,957.401982,
01/31/1991,973.099976,76.839001,71.276001,5.563,290.054993,,,145.171005,,,,,53.678001,,,,,,565.742981,210.134995,421.153992,-211.018997,0.0,,197.222,,,,,197.222,407.356995,,134.945999,134.945999,,,,0.0,,,,,,130.134995,,,,130.134995,265.080994,0.0,,,,,53.630001,,,53.630001,53.630001,318.710995,0.0,2.974,,,0,,651.414978,654.388978,0.0,654.388978,973.099973,
04/30/1991,1024.140991,113.009001,88.847,24.162001,300.028015,,,139.445999,,,,,59.601002,,,,,,612.083984,217.173004,425.960999,-208.787994,0.0,,194.884003,,,,,194.884003,412.057007,,23.27,23.27,,,,90.866997,,,,,,177.891995,,,,177.891995,292.028992,7.918,,,,,41.028,,,41.028,48.946,340.974992,0.0,2.977,,,0,,680.189026,683.166026,0.0,683.166026,1024.141018,
07/31/1991,1013.229004,108.809002,66.610001,42.199001,282.529999,,,146.436996,,,,,60.682999,,,,,,598.458984,218.195999,433.815002,-215.619003,0.0,,196.574005,,,,,196.574005,414.770004,,40.209,40.209,,,,81.665001,,,,,,134.885002,,,,134.885002,256.759003,0.0,,,,,48.126999,,,48.126999,48.126999,304.886002,0.0,5.957,,,0,,702.385986,708.342986,0.0,708.342986,1013.228988,
10/31/1991,1064.619019,118.466999,66.096001,52.370998,293.640015,,,162.018005,,,,,57.923,,,,,,632.047974,229.300003,456.890015,-227.589996,0.0,,203.270996,,,,,203.270996,432.570999,,48.500999,48.500999,,,,80.735001,,,,,,141.195,,,,141.195,270.431,0.0,,,,,51.067001,,,51.067001,51.067001,321.498001,0.0,5.958,,,0,,737.163025,743.121025,0.0,743.121025,1064.619026,
01/31/1992,1119.958008,108.622004,85.105003,23.517,322.117004,,,174.636993,,,,,63.334,,,,,,668.710022,237.597,465.660004,-228.063004,0.0,,213.651001,,,,,213.651001,451.248001,,55.501999,55.501999,,,,86.081001,,,,,,140.337013,,,,140.337013,281.920013,0.0,,,,,56.970001,,,56.970001,56.970001,338.890015,0.0,5.977,,,0,,775.091003,781.068004,0.0,781.068004,1119.958018,
04/30/1992,1163.456055,110.350002,100.816002,9.534,332.86499,,,173.248993,,,,,79.452003,,,,,,695.916016,256.755005,497.598999,-240.843994,0.0,,210.785004,,,,,210.785004,467.540009,,26.792999,26.792999,,,,80.580002,,,,,,201.203995,,,,201.203995,308.576996,8.618,,,,,49.806,,,49.806,58.424,367.000996,0.0,5.943,,,0,,790.512024,796.455024,0.0,796.455024,1163.45602,
07/31/1992,1177.267944,69.427003,66.827003,2.6,349.96701,,,189.815994,,,,,73.220001,,,,,,682.429993,267.938995,526.708008,-258.769012,0.0,,226.899002,,,,,226.899002,494.837997,,57.265999,57.265999,,,,50.432999,,,,,,157.114998,,,,157.114998,264.813995,0.0,,,,,62.707001,,,62.707001,62.707001,327.520996,0.0,5.955,,,0,,843.791992,849.746992,0.0,849.746992,1177.267988,
