Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/22/2008,14.0,53.0,,67.0,,,3.693931,13.984169,,17.6781,0.202517,0.766671,,0.969188,
06/14/2008,14.0,23.0,,37.0,,,2.405498,3.95189,,6.357388,0.205098,0.336947,,0.542045,
09/06/2008,13.0,44.0,,57.0,,,3.551913,12.021858,,15.57377,0.190616,0.645161,,0.835777,
12/27/2008,,,,,,,-9.259259,-68.518519,,-77.777778,0.15321,1.133752,,1.286962,
03/21/2009,9.0,92.0,0.0,101.0,,,5.113636,52.272727,0.0,57.386364,0.136986,1.400304,0.0,1.537291,
06/13/2009,11.0,57.0,0.0,68.0,,,1.974865,10.233393,0.0,12.208259,0.158868,0.823224,0.0,0.982091,
09/05/2009,12.0,40.0,0.0,,,,1.213347,4.044489,0.0,,0.168516,0.561719,0.0,,
12/26/2009,13.0,47.0,,60.0,,,1.166966,4.219031,,5.385996,0.181869,0.657527,,0.839396,
03/20/2010,13.0,65.0,,78.0,,,1.163832,5.819158,,6.98299,0.182047,0.910237,,1.092284,
06/12/2010,13.0,78.0,,91.0,,,1.060359,6.362153,,7.422512,0.181945,1.091672,,1.273618,
09/04/2010,13.0,57.0,,70.0,-18.0,-18.0,0.791236,3.469264,,4.260499,0.160732,0.704748,,0.86548,
12/25/2010,14.0,45.0,,59.0,,,0.838826,2.696225,,3.535051,0.16835,0.541126,,0.709476,
03/19/2011,15.0,32.0,,47.0,6.0,6.0,0.806885,1.721356,,2.528241,0.17802,0.379777,,0.557797,
06/11/2011,15.0,35.0,,50.0,12.0,12.0,0.794492,1.853814,,2.648305,0.182771,0.426465,,0.609236,
09/03/2011,14.0,38.0,,52.0,15.0,15.0,0.672108,1.824292,,2.496399,0.163762,0.444496,,0.608258,
12/31/2011,15.0,34.0,,49.0,,,0.782881,1.77453,,2.557411,0.169799,0.384877,,0.554675,
03/24/2012,16.0,24.0,,40.0,,,0.702062,1.053093,,1.755156,0.171251,0.256877,,0.428128,
06/16/2012,16.0,41.0,,57.0,,,0.704225,1.804577,,2.508803,0.174349,0.446769,,0.621118,
09/08/2012,17.0,53.0,,70.0,,,0.726806,2.265926,,2.992732,0.189436,0.590595,,0.780031,
12/29/2012,17.0,24.0,,41.0,5.0,5.0,0.735294,1.038062,,1.773356,0.188658,0.266341,,0.454999,
