Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,554.914978,-239.565994,315.348984,,-257.730988,57.618,-16.066999,0.0,1.166,42.717001,-16.868,25.849001,0.0,,25.849001,0.0,,25.849001,,,25.849001,,0.25,0.25,103.582001,0.25,0.25,0.25,103.582001,
06/30/1990,591.739014,-242.847,348.892014,,-260.665985,88.225998,-16.194,0.0,1.188,73.219998,-28.611,44.609001,0.0,,44.609001,0.0,,44.609001,,,44.608998,,0.44,0.44,101.748001,0.44,0.44,0.44,101.748001,
09/30/1990,570.547974,-237.190994,333.356979,,-258.289001,75.068001,-14.675,0.0,1.383,61.776001,-25.188,36.588001,0.0,,36.588001,0.0,,36.588001,,,36.588001,,0.365,0.365,100.772003,0.365,0.365,0.365,100.772003,
12/31/1990,587.960022,-245.462006,342.498016,,-262.783997,79.713997,-14.736,0.0,3.251,68.228997,-26.23,41.999001,0.0,,41.999001,0.0,,41.999001,,,41.998997,0.425,0.425,0.425,99.323998,0.425,0.425,0.425,99.323998,
03/31/1991,540.073975,-238.824005,301.249969,,-261.730011,39.52,-14.281,0.0,0.493,25.732,-9.902,15.83,0.0,,15.83,0.0,,15.83,,,15.83,,0.16,0.16,100.346001,0.16,0.16,0.16,100.346001,
06/30/1991,569.497009,-235.731003,333.766006,,-258.291992,75.473999,-13.486,0.0,4.293,66.280999,-24.708,41.573002,0.0,,41.573002,0.0,,41.573002,,,41.572999,,0.41,0.41,101.494003,0.41,0.41,0.41,101.494003,
09/29/1991,539.244995,-228.475006,310.769989,,-259.049011,51.721001,-10.65,0.0,5.096,46.167001,-17.867001,28.299999,0.0,,28.299999,0.0,,28.299999,,,28.300001,,0.27,0.27,104.888,0.27,0.27,0.27,104.888,
12/31/1991,588.502014,-238.632996,349.869018,,-273.311005,76.557999,-8.284,0.0,3.916,72.189999,-25.825001,46.365002,0.0,,46.365002,0.0,,46.365002,,,46.364998,0.43,0.43,0.43,107.648002,0.43,0.43,0.43,107.648002,
03/29/1992,555.437988,-232.867996,322.569992,,-272.209991,50.360001,-7.476,0.0,-0.016,42.868001,-17.862,25.006001,-105.199997,,-80.194,0.0,,-80.194,,,25.006001,,0.23,-0.735,109.292,0.23,0.23,-0.735,109.292,
06/28/1992,590.531006,-229.916,360.615005,,-281.56601,79.049004,-5.412,0.0,1.92,75.557003,-29.466999,46.09,0.0,,46.09,0.0,,46.09,,,46.090004,,0.42,0.42,110.297997,0.42,0.42,0.42,110.297997,
09/27/1992,564.854004,-226.970993,337.883011,,-276.825012,61.057999,-11.593,0.0,0.697,50.161998,-18.77,31.392,0.0,,31.392,0.0,,31.392,,,31.391998,,0.285,0.285,110.860001,0.285,0.285,0.285,110.860001,
12/27/1992,618.705994,-242.787994,375.918,,-287.873993,88.043999,-13.148,0.0,-3.767,71.128999,-27.531,43.598,0.0,,43.598,0.0,,43.598,,,43.597999,0.395,0.395,0.395,110.974,0.395,0.395,0.395,110.974,
03/28/1993,583.893982,-242.953995,340.939987,,-287.26001,53.68,-13.19,0.0,-1.519,38.971001,-15.835,23.136,0.0,,23.136,0.0,,23.136,,,23.136001,,0.21,0.21,111.494003,0.21,0.21,0.21,111.494003,
06/27/1993,621.682007,-253.75,367.932007,,-291.687012,76.245003,-12.429,0.0,1.194,65.010003,-22.513,42.497002,0.0,,42.497002,0.0,,42.497002,,,42.497002,,0.385,0.385,110.952003,0.385,0.385,0.385,110.952003,
09/26/1993,593.124023,-246.641006,346.483017,,-288.169006,58.313999,-7.723,0.0,2.352,52.942999,-21.691999,31.250999,0.0,,31.250999,0.0,,31.250999,,,31.251,,0.285,0.285,109.914001,0.285,0.285,0.285,109.914001,
12/26/1993,652.64801,-257.207001,395.441009,,-298.822998,96.617996,-11.65,0.0,1.509,86.476996,-35.271999,51.205002,0.0,,51.205002,0.0,,51.205002,,,51.204997,0.465,0.465,0.465,110.293998,0.465,0.465,0.465,110.293998,
03/27/1994,630.862976,-260.511993,370.350983,,-305.540985,64.809998,-10.466,0.0,-2.682,51.661998,-21.290001,30.372,0.0,0.0,30.372,0.0,,30.372,,,30.371997,,0.275,0.275,110.466003,0.275,0.275,0.275,110.466003,
06/26/1994,661.549988,-261.065002,400.484985,,-305.199005,95.286003,-11.655,0.0,1.631,85.262003,-35.140999,50.120998,0.0,0.0,50.120998,0.0,,50.120998,,,50.121005,,0.46,0.46,109.096001,0.46,0.46,0.46,109.096001,
09/30/1994,642.612976,-260.339996,382.27298,,-306.996002,75.277,-11.145,0.0,-1.046,63.086,-25.843,37.243,0.0,,37.243,0.0,,37.243,,,37.243,,0.345,0.345,107.650002,0.345,0.345,0.345,107.650002,
12/25/1994,713.934998,-297.039001,416.895997,,-321.007996,95.888,-10.845,0.0,14.667,99.71,-36.896,62.813999,0.0,-9.65,53.164001,0.0,,53.164001,,,53.164,0.495,0.495,0.495,106.989998,0.495,0.495,0.495,106.989998,
03/26/1995,674.598999,-286.385986,388.213013,,-317.205994,71.007004,-12.156,0.0,4.41,63.261003,-25.974001,37.286999,-7.32,-1.614,28.353001,0.0,,28.353001,,,35.673003,0.345,0.345,0.275,103.765999,0.345,0.345,0.275,103.765999,
06/25/1995,687.455017,-291.108002,396.347015,,-311.632996,84.713997,-12.246,0.0,92.441002,164.908998,-68.419998,96.488998,0.0,-2.369,94.120003,0.0,,94.120003,,,94.12,0.94,0.94,0.94,100.122002,0.94,0.94,0.94,100.122002,
09/24/1995,637.994019,-312.06601,325.928009,,-306.846985,19.080999,-12.295,0.0,7.316,14.101999,-5.505,8.597,0.0,-2.007,6.59,0.0,,6.59,,,6.589999,0.065,0.065,0.065,98.828003,0.065,0.065,0.065,98.828003,
12/31/1995,751.786011,-342.398987,409.387024,,-343.904999,65.482002,-20.986,0.0,9.376,53.872002,-20.514999,33.356998,0.0,-2.358,30.999001,0.0,,30.999001,,,30.999003,0.315,0.315,0.315,98.07,0.315,0.315,0.315,98.07,
03/31/1996,570.755981,,,,,49.639,,,,,,22.993999,0.523,0.0,23.517,0.0,,23.517,,,,0.23,0.23,0.24,97.987999,0.23,0.23,0.24,98.945999,
06/30/1996,595.58197,,,,,78.647003,,,,,,41.480999,0.872,0.0,42.353001,0.0,,42.353001,,,,0.42,0.42,0.43,98.496002,0.42,0.42,0.43,99.014,
09/29/1996,576.887024,,,,,73.947998,,,,,,39.34,86.917,0.0,126.257004,0.0,,126.257004,,,,0.41,0.41,1.33,94.93,0.41,0.41,1.31,96.385002,
12/31/1996,630.999023,,,,,130.899002,,,,,,81.565002,-5.819,0.0,75.746002,0.0,,75.746002,-8.1,,,0.78,0.87,0.81,93.514,0.77,0.86,0.79,95.334999,
03/30/1997,600.830017,-342.791992,258.038025,,-159.869003,98.168999,-13.113,0.0,220.425003,305.481002,-127.363998,178.117004,-0.726,-2.659,174.731995,0.0,,174.731995,-128.300003,,47.158,0.5,1.88,1.88,93.124001,0.49,1.85,1.85,94.682999,
06/29/1997,711.656006,-389.368988,322.287018,,-185.309998,136.977005,-22.395,0.0,0.588,115.170005,-51.481998,63.688,0.35,-2.738,61.299999,0.0,,61.299999,,,60.950006,0.67,0.67,0.68,90.316002,0.6,0.6,0.61,100.777,
09/28/1997,748.703979,-426.977997,321.725983,,-213.789993,107.935997,-33.763,0.0,53.506001,127.678997,-51.426998,76.251999,0.545,-2.785,74.012001,0.0,,74.012001,-24.5,,48.966999,0.57,0.85,0.85,86.919998,0.46,0.69,0.69,106.660004,
