Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net",LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,Other LT Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.177,,,,-10.913,,2230.264,502.523,2732.787,,
03/31/2020,5591.246,2098.983,2029.071,69.912,207.581,,,,,,174.886,174.886,2481.45,271.477,296.491,296.491,2541.828,2268.819,1816.723,452.096,273.009,3109.796,,433.858,90.983,342.875,13.75,0.0,13.75,215.671,215.671,0.0,663.279,228.643,228.643,260.32,64.697,195.623,488.963,1152.242,,3935.166,3935.166,,,-17.926,,3917.24,521.764,4439.004,5591.246,
06/30/2020,6371.763,2936.668,2447.678,488.99,205.377,0.0,0.0,0.0,0.0,0.0,146.289,146.289,3288.334,269.221,296.491,296.491,2517.717,2247.329,1818.86,428.469,270.388,3083.429,,448.044,99.143,348.901,13.75,0.0,13.75,242.756,242.756,0.0,704.55,225.336,225.336,251.967,58.86,193.107,477.303,1181.853,0.0,4661.316,0.085,4661.231,0.0,,-13.781,4647.535,542.375,5189.91,6371.763,
