Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2009,-9390,-5975,2540,-5955.0,,-5955.0,,,0.0,-2315,-1566,0,0.0,0.0,-1566,-1566,0,0,0.0,0.0,0,0,0,0,-749,9314,0,9377,-870,10346,-99,0,0.0,0.0,-63,-214,-2605,
06/30/2009,-5696,-12905,3764,3445.0,,3445.0,,,0.0,-1214,-1568,0,0.0,0.0,-1568,-1568,0,0,0.0,0.0,0,0,0,0,354,12411,0,12416,-163,19926,-7347,0,0.0,0.0,-5,421,5922,
09/30/2009,-258,127140,2554,-129952.0,,-129952.0,,,0.0,-17951,-1264,0,0.0,0.0,-1264,-1264,0,0,0.0,0.0,294,0,294,0,-16981,25873,-41,27130,-1621,28759,-8,0,0.0,0.0,-1216,335,7999,
12/31/2009,-1895,-3439,2526,-982.0,,-982.0,,,0.0,2502,-876,105,105.0,0.0,-981,-981,0,38,38.0,0.0,-2153,268,-2421,0,5493,-3024,-56,-2868,-62,1071,-3877,0,0.0,0.0,-100,118,-2299,
03/31/2010,1850,1068,1803,-1021.0,,-1021.0,,,0.0,451,-840,0,0.0,0.0,-840,-840,0,0,0.0,0.0,-153,-103,-50,0,1444,-1738,-203,-1535,-80,138,-1593,0,0.0,0.0,0,-303,260,
06/30/2010,3845,1536,1650,659.0,,659.0,,,0.0,5959,-1011,0,0.0,0.0,-1011,-1011,0,0,0.0,0.0,-1,-1,0,0,6971,-6053,-202,-5845,-143,296,-5998,0,0.0,0.0,-6,-308,3443,
09/30/2010,2624,2162,1738,-1276.0,,-1276.0,,,0.0,-2264,-1261,0,0.0,0.0,-1261,-1261,0,0,0.0,0.0,46,55,-9,0,-1049,-158,-203,45,140,218,-313,0,0.0,0.0,0,491,693,
12/31/2010,-1539,1406,1739,-4684.0,,-4684.0,,,0.0,-2913,-1090,0,0.0,0.0,-1090,-1090,0,0,0.0,0.0,-2554,429,-2983,0,731,-1821,-964,-4087,-1014,1234,-4307,3395,4857.0,-1462.0,-165,63,-6210,
03/31/2011,-377,3366,1008,-4751.0,,-4751.0,,,0.0,39,-1322,0,0.0,0.0,-1322,-1322,0,0,0.0,0.0,4804,4805,-1,0,-3443,207,-221,546,119,2141,-1714,0,0.0,0.0,-118,183,52,
06/30/2011,5064,2992,1079,993.0,,993.0,,,0.0,-5226,-1176,0,0.0,0.0,-1176,-1176,0,0,0.0,0.0,-34,-27,-7,0,-4016,-287,-214,-34,97,3004,-3135,0,0.0,0.0,-39,138,-311,
