Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,220,180,158,12,,12,-130,,,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,331,185,162,5,,5,-21,,,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,404,181,172,21,,21,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,430,23,175,232,,232,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,124,132,172,20,,20,-200,,,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,293,104,173,22,,22,-6,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,374,109,177,19,,19,69,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,361,54,178,74,,74,55,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,149,52,207,53,,53,-163,,,-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,315,112,201,0,,0,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,206,98,202,-40,,-40,-54,,,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,408,-176,240,241,,241,103,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.0,,,
03/31/1993,139,64,220,-7,,-7,-138,,,-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,153,77,228,-9,,-9,-143,,,-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,206,48,223,16,,16,-81,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,431,100,227,32,,32,72,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,
03/31/1994,173,1,216,84,,84,-128,,,-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,146,91,219,-18,,-18,-146,,,-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,396,111,221,8,,8,56,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,528,154,229,9,,9,136,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,,,
03/31/1995,233,246,234,20,,20,-267,,,-267,,,-243.0,,,,-243.0,,,,,,,,,,243.0,,,,,,,,,,,,,,,
06/30/1995,507,316,264,65,,65,-138,,,-138,,,-330.0,,,,-330.0,,,,,,,,,,330.0,,,,,,,,,,,,,,,
09/30/1995,729,328,266,26,,26,109,,,109,,,-343.0,,,,-343.0,,,,,,,,,,343.0,,,,,,,,,,,,,,,
12/31/1995,779,263,267,-57,,-57,306,,,306,,,-602.0,,,,-602.0,,,,,,,,,,602.0,,,,,,,,,,,,,,,
03/31/1996,352,98,263,93,,93,-102,,,-102,,,-253.0,,,,-253.0,,,,,,,,,,253.0,,,,,,,,,,,,,,,
06/30/1996,337,99,302,-15,,-15,-49,,,-49,,,-345.0,,,,-345.0,,,,,,,,,,345.0,,,,,,,,,,,,,,,
09/30/1996,560,111,307,39,,39,103,,,103,,,-346.0,,,,-346.0,,,,,,,,,,346.0,,,,,,,,,,,,,,,
12/31/1996,490,-5,322,211,,211,-38,,,-38,,,-450.0,,,,-450.0,,,,,,,,,,450.0,,,,,,,,,,,,,,,
03/31/1997,241,34,320,-9,,-9,-104,,,-104,,-193.0,-202.0,0.0,,,-202.0,,,0.0,0.0,0.0,,,,,9.0,160.0,-75.0,122.0,,,,14.0,14.0,0.0,99.0,,208.0,,,
06/30/1997,256,-419,318,590,,590,-233,,,-233,,-336.0,-258.0,0.0,,,-258.0,,,0.0,0.0,0.0,,,,,-78.0,-25.0,-75.0,21.0,,,,77.0,77.0,0.0,-48.0,,-105.0,,,
09/30/1997,282,102,311,11,,11,-142,,,-142,,-238.0,-246.0,0.0,,,-246.0,,,0.0,0.0,0.0,,,,,8.0,-30.0,-76.0,15.0,,,,44.0,44.0,0.0,-13.0,,14.0,,,
12/31/1997,463,132,309,-66,,-66,88,,,88,,-86.0,-405.0,0.0,,,-405.0,,,0.0,0.0,0.0,,,,,319.0,-448.0,-76.0,-350.0,,,,7.0,7.0,0.0,-29.0,,-71.0,,,
03/31/1998,227,100,298,-30,,-30,-141,,,-141,,-312.0,-206.0,0.0,,,-206.0,,,0.0,0.0,0.0,,,,,-106.0,221.0,-75.0,49.0,,,,207.0,207.0,0.0,40.0,,136.0,,,
06/30/1998,498,103,367,81,,81,-53,,,-53,,-326.0,-390.0,0.0,,,-390.0,,,0.0,0.0,0.0,,,,,64.0,-129.0,-139.0,-477.0,,,,580.0,580.0,0.0,-93.0,,43.0,,241.0,
