Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1643.467041,99.188004,99.188004,0.0,213.072998,,,,337.157013,,,,,33.967999,,,,,683.385986,931.103027,1734.097046,-802.994019,0.0,28.978001,,,,,28.978001,960.081028,,129.460007,129.460007,,,,73.359001,,,,,,114.458,,,,114.458,317.277008,48.055,,,,,212.755997,,,212.755997,260.810997,578.088005,0.0,297.592987,,,-14.886,,782.67201,1065.378998,0.0,1065.378998,1643.467003,
06/30/1990,1825.917969,28.143999,28.143999,0.0,238.632004,,,,381.161011,,,,,35.046001,,,,,682.982971,1001.526978,1865.31604,-863.789001,0.0,141.408005,,,,,141.408005,1142.934982,,154.350006,154.350006,,,,182.690994,,,,,,121.936996,,,,121.936996,458.977997,48.021999,,,,,232.886002,,,232.886002,280.908001,739.885998,0.0,297.623993,,,-17.056999,,805.465019,1086.032013,0.0,1086.032013,1825.918011,
09/30/1990,1846.854004,20.756001,20.756001,0.0,235.735992,,,,389.368988,,,,,40.278,,,,,686.138977,1028.39502,1895.774048,-867.379028,0.0,132.320007,,,,,132.320007,1160.715027,,155.514008,155.514008,,,,197.432999,,,,,,120.330002,,,,120.330002,473.277008,77.905998,,,,,210.901001,,,210.901001,288.806999,762.084007,0.0,297.464996,,,-29.923,,817.227993,1084.769989,0.0,1084.769989,1846.853996,
12/31/1990,1814.909058,22.798,22.798,0.0,213.522995,,,,379.542999,,,,,42.000999,,,,,657.86499,1025.564941,1913.694946,-888.130005,0.0,131.479004,,,,,131.479004,1157.043945,,148.335007,148.335007,,,,152.542007,,,,,,118.501984,,,,118.501984,419.378998,113.849998,,,,,206.979004,,,206.979004,320.829002,740.208,0.0,296.747009,,,-35.241001,,813.19498,1074.700988,0.0,1074.700988,1814.908988,
03/31/1991,1793.635986,12.629,12.629,0.0,230.306,,,,370.403992,,,,,32.608002,,,,,645.947021,1012.773987,1914.218994,-901.445007,0.0,134.914993,,,,,134.914993,1147.68898,,150.274002,150.274002,,,,117.163002,,,,,,120.971992,,,,120.971992,388.408997,135.459,,,,,210.352005,,,210.352005,345.811005,734.220001,0.0,296.424988,,,-31.09,,794.081028,1059.416016,0.0,1059.416016,1793.636017,
06/30/1991,1773.046997,12.642,12.642,0.0,236.061996,,,,332.431,,,,,31.673,,,,,612.807983,1020.89801,1937.322998,-916.424988,0.0,139.341003,,,,,139.341003,1160.239014,,139.600006,139.600006,,,,146.421005,,,,,,98.115982,,,,98.115982,384.136993,134.481995,,,,,207.199005,,,207.199005,341.681,725.817993,0.0,296.118011,,,-26.892,,778.003023,1047.229034,0.0,1047.229034,1773.047028,
09/30/1991,1760.748047,12.901,12.901,0.0,221.203003,,,,322.783997,,,,,32.048,,,,,588.935974,1031.090942,2001.881958,-970.791016,0.0,140.720993,,,,,140.720993,1171.811935,,129.126999,129.126999,,,,163.313995,,,,,,88.073013,,,,88.073013,380.514008,133.945007,,,,,197.141006,,,197.141006,331.086014,711.600021,0.0,296.074005,,,-24.58,,777.653975,1049.14798,0.0,1049.14798,1760.748001,
12/31/1991,1759.139038,2.273,2.273,0.0,188.182007,,,,320.075989,,,,,51.965,,,,,562.495972,1058.871948,2047.135986,-988.263977,0.0,137.770996,,,,,137.770996,1196.642944,,169.442001,169.442001,,,,138.520996,,,,,,105.582993,,,,105.582993,413.54599,134.582993,,,,,192.039001,,,192.039001,326.621994,740.167984,0.0,295.471008,,,-20.065001,,743.565001,1018.971008,0.0,1018.971008,1759.138992,
03/31/1992,1764.786987,8.216,8.216,0.0,227.399002,,,,310.661011,,,,,40.089001,,,,,586.36499,1036.764038,2017.021973,-980.257996,0.0,141.658005,,,,,141.658005,1178.422043,,152.378006,152.378006,,,,156.483994,,,,,,122.946991,,,,122.946991,431.80899,133.492996,,,,,189.488998,,,189.488998,322.981995,754.790985,0.0,294.94101,,,-14.921,,729.975992,1009.996002,0.0,1009.996002,1764.786987,
06/30/1992,1781.26001,6.313,6.313,0.0,220.768005,,,,319.148987,,,,,44.208,,,,,590.437988,1053.115967,2063.334961,-1010.218994,0.0,137.705994,,,,,137.705994,1190.82196,,155.641998,155.641998,,,,162.951004,,,,,,120.361984,,,,120.361984,438.954987,132.720001,,,,,188.378006,,,188.378006,321.098007,760.052994,0.0,295.321991,,,-10.736,,736.62101,1021.207001,0.0,1021.207001,1781.259995,
