Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,141.391998,,,,,,,-125.665001,,15.727,-5.158,,6.576,,0.0,,-1.418,10.569,-3.758,6.811,0.0,,,6.811,0.0,6.811,-0.107,,6.704,6.704,,108.407997,0.06125,0.06125,,108.407997,0.06125,0.06125,0.06125,
02/28/1990,266.431,,,,,,,-222.507996,,43.923,-6.839,,8.27,,0.0,,-1.431,37.084,-13.728,23.356001,0.0,,,23.356,0.0,23.356001,-0.107,,23.249001,23.249001,,107.164001,0.2175,0.2175,,107.164001,0.2175,0.2175,0.2175,
05/31/1990,155.070999,,,,,,,-134.130997,,20.940001,-6.446,,7.686,,0.0,,-1.24,14.494001,-6.098,8.396,0.0,,,8.396001,0.0,8.396,-0.107,,8.289,8.289,,106.959999,0.0775,0.0775,,106.959999,0.0775,0.0775,0.0775,
08/31/1990,105.084999,,,,,,,-107.939003,,-2.854,-6.111,,7.18,,0.0,,-1.069,-8.965,3.362,-5.603,0.0,,,-5.603,0.0,-5.603,-0.107,,-5.71,-5.71,,106.508004,-0.0525,-0.0525,-0.0525,106.508004,-0.0525,-0.0525,-0.0525,
11/30/1990,141.121994,,,,,,,-127.068001,,14.054,-5.845,,6.999,,0.0,,-1.154,8.209,-3.281,4.928,0.0,,,4.928,0.0,4.928,-0.107,,4.821,4.821,,106.508003,0.045,0.045,,106.508003,0.045,0.045,0.045,
02/28/1991,279.807007,,,,,,,-227.332993,,52.473999,-7.303,,8.393,,0.0,,-1.09,45.170999,-17.184999,27.986,0.0,,,27.986,0.0,27.986,-0.107,,27.879,27.879,,106.508003,0.2625,0.2625,,106.508003,0.2625,0.2625,0.2625,
05/31/1991,146.537994,,,,,,,-134.694,,11.844,-6.164,,7.097,,0.0,,-0.933,5.68,-2.079,3.601,0.0,,,3.601,0.0,3.601,-0.107,,3.494,3.494,,106.5,0.0325,0.0325,,106.5,0.0325,0.0325,0.0325,
08/31/1991,122.000999,,,,,,,-116.156998,,5.844,-7.161,,8.06,,0.0,,-0.899,-1.317,0.744,-0.573,0.0,,,-0.573,0.0,-0.573,-0.107,,-0.68,-0.68,,106.484,-0.0075,-0.0075,-0.0075,106.484,-0.0075,-0.0075,-0.0075,
11/30/1991,154.847,,,,,,,-137.641998,,17.205,-7.982,,9.024,,0.0,,-1.042,9.223,-3.616,5.607,0.0,,,5.607,0.0,5.607,-0.107,,5.5,5.5,,106.363998,0.0525,0.0525,,106.363998,0.0525,0.0525,0.0525,
02/29/1992,264.628998,,,,,,,-219.787994,,44.841,-7.64,,8.501,,0.0,,-0.861,37.200999,-13.877,23.323999,0.0,,,23.323999,0.0,23.323999,-0.107,,23.216999,23.216999,,106.356003,0.2175,0.2175,,106.356003,0.2175,0.2175,0.2175,
05/31/1992,150.505997,,,,,,,-138.487,,12.019,-8.11,,8.86,,0.0,,-0.75,3.909,-1.273,2.636,0.0,,,2.636,0.0,2.636,-0.107,,2.529,2.529,,106.491997,0.025,0.025,,106.491997,0.025,0.025,0.025,
08/31/1992,107.155998,,,,,,,-97.370003,,9.786,-8.663,,9.17,,0.0,,-0.507,1.123,-0.111,1.012,0.0,,,1.012,0.0,1.012,-0.107,,0.905,0.905,,106.503996,0.0075,0.0075,0.0075,106.503996,0.0075,0.0075,0.0075,
11/30/1992,159.449997,,,,,,,-142.158005,,17.292,-8.949,,8.949,,0.0,,,8.342999,-2.346,5.997,0.0,,,5.997,0.0,5.997,-0.107,,5.89,5.89,,106.515999,0.055,0.055,,106.515999,0.055,0.055,0.055,
02/28/1993,313.884003,,,,,,,-255.860001,,58.023998,-9.431,,9.431,,0.0,,,48.592999,-17.363001,31.23,0.0,,,31.229998,0.0,31.23,-0.107,,31.123,31.123,,106.519997,0.2925,0.2925,,106.519997,0.2925,0.2925,0.2925,
05/31/1993,187.537994,,,,,,,-172.925003,,14.613,-10.448,,10.448,,0.0,,,4.165,-1.415,2.75,0.0,,,2.75,0.0,2.75,-0.107,,2.643,2.643,,106.536003,0.025,0.025,,106.536003,0.025,0.025,0.025,
08/31/1993,128.237,,,,,,,-121.655998,,6.581,-8.452,,7.542,,0.0,,0.91,-1.871,0.318,-1.553,0.0,,,-1.553,0.0,-1.553,-0.107,,-1.66,-1.66,,106.519996,-0.015,-0.015,-0.015,106.519996,-0.015,-0.015,-0.015,
11/30/1993,177.190994,,,,,,,-155.804993,,21.386,-8.78,,8.78,,0.0,,,12.606,-4.794,7.812,0.0,,,7.812,0.0,7.812,-0.107,,7.705,7.705,,106.536003,0.0725,0.0725,,106.536003,0.0725,0.0725,0.0725,
02/28/1994,295.444,,,,,,,-243.544006,,51.900002,-8.995,,8.995,,0.0,,,42.905002,-16.518,26.386999,0.0,,,26.387002,0.0,26.386999,-0.107,,26.279999,26.279999,,106.723999,0.245,0.245,,106.723999,0.245,0.245,0.245,
