Date,Assets,Real Estate Held for Sale,Net Real Estate Property,Gross Real Estate Property,Accumulated Depreciation,Net Mortgages & Notes,Mortgage Loan (REIT),Notes Receivable,Allowance for Loan Losses,Mortgage Backed Invt,Total Real Estate Investments,Cash & Near Cash Items,Accounts Receivable,Other Investments,Other Assets,Restricted Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,ST Liabilities & Deposits,Other ST Liabilities,Secured & Unsecured Debt,Unsecured Debt,Secured Debt,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2013,,0.0,8947.677,13680.633,-4732.956,0,0.0,0,0,0,8947.677,223.394,1078.995,0.0,10161.316,183.526,20594.908,,392.687,260.114,260.114,11594.5,103.586,11490.914,1406.432,13653.733,977.5,14.458,8508.708,-2559.491,6941.175,20594.908,
03/31/2014,,0.0,8927.218,13861.347,-4934.129,0,0.0,0,0,0,8927.218,200.537,1129.678,,10148.28,163.953,20569.666,,347.482,255.323,255.323,11573.326,105.467,11467.859,1458.868,13634.999,977.5,16.402,8499.247,-2558.482,6934.667,20569.666,
06/30/2014,,0.0,8888.426,14014.141,-5125.715,0,0.0,0,0,0,8888.426,227.479,1180.646,,10219.783,155.725,20672.059,,370.12,320.134,320.134,11570.251,11428.287,141.964,1532.118,13792.623,977.5,18.098,8514.351,-2630.513,6879.436,20672.059,
09/30/2014,,0.0,8870.817,14150.41,-5279.593,0,0.0,0,0,0,8870.817,238.55,1220.05,,10317.619,137.824,20784.86,,411.629,327.265,327.265,11573.678,11426.572,147.106,1609.543,13922.115,977.5,17.771,8526.427,-2658.953,6862.745,20784.86,
12/31/2014,,0.0,8982.783,14035.179,-5052.396,0,0.0,0,0,0,8982.783,151.312,1202.058,0.0,10659.712,147.411,21143.276,,411.421,279.882,279.882,11920.861,113.335,11807.526,1793.884,14406.048,977.5,21.003,8538.333,-2799.608,6737.228,21143.276,
03/31/2015,,0.0,9139.703,14745.523,-5605.82,0,0.0,0,0,0,9139.703,240.153,1292.63,,10296.027,136.964,21105.477,,378.687,327.27,327.27,12070.091,115.998,11954.093,1770.636,14546.684,977.5,22.073,8529.272,-2970.052,6558.793,21105.477,
06/30/2015,,0.0,9042.284,14462.542,-5420.258,0,0.0,0,0,0,9042.284,338.609,1256.517,,10231.203,143.016,21011.629,,372.187,313.355,313.355,11131.304,10943.6,187.704,1790.547,13607.393,9.775,0.0,9511.765,-2117.304,7404.236,21011.629,
09/30/2015,,0.0,9498.568,15102.678,-5604.11,0,0.0,0,0,0,9498.568,184.116,1282.752,,10913.555,116.653,21995.644,,407.706,314.648,314.648,12141.366,6397.637,5743.729,1891.621,14755.341,977.5,0.0,8558.534,-2295.731,7240.303,21995.644,
12/31/2015,,0.0,9580.057,15378.932,-5798.875,0,0.0,0,0,0,9580.057,178.81,1306.408,0.0,10740.96,130.731,21936.966,,426.527,322.623,322.623,12149.959,106.219,12043.74,1948.636,14847.745,977.5,0.0,8574.516,-2462.795,7089.221,21936.966,
03/31/2016,,0.0,9559.397,15562.754,-6003.357,0,0.0,0,0,0,9559.397,175.702,1317.898,0.0,10535.835,129.419,21718.251,,391.412,332.711,332.711,11865.999,87.823,11778.176,1975.135,14565.257,977.5,0.0,8900.835,-2725.341,7152.994,21718.251,
06/30/2016,,0.0,9670.358,15873.161,-6202.803,0,0.0,0,0,0,9670.358,202.338,1333.79,,10814.469,132.119,22153.074,,411.609,364.01,364.01,12426.204,100.345,12325.859,2002.944,15204.767,977.5,0.0,8920.894,-2950.087,6948.307,22153.074,
09/30/2016,,,9714.149,16124.979,-6410.83,0,,0,0,0,9714.149,156.219,1321.777,,10862.646,116.932,22171.723,,437.693,358.683,358.683,12592.958,101.362,12491.596,2028.672,15418.006,977.5,0.0,8940.817,-3164.6,6753.717,22171.723,
12/31/2016,,0.0,9805.315,16418.534,-6613.219,0,0.0,0,0,0,9805.315,567.599,1317.658,0.0,10859.973,124.547,22675.092,,506.601,353.005,353.005,12171.142,101.749,12069.393,2087.229,15117.977,0.0,0.0,10941.841,-3384.726,7557.115,22675.092,
03/31/2017,,0.0,10293.693,17117.212,-6823.519,0,0.0,0,0,0,10293.693,205.192,1310.233,0.0,11852.596,115.128,23776.842,,422.555,366.758,366.758,13492.973,112.882,13380.091,2131.076,16413.362,0.0,0.0,10972.178,-3608.698,7363.48,23776.842,
06/30/2017,,0.0,10507.736,17544.323,-7036.587,0,0.0,0,0,0,10507.736,199.663,1299.44,0.0,12358.872,117.913,24483.624,,495.915,387.065,387.065,13841.265,114.932,13726.333,2169.07,16893.315,0.0,0.0,11436.679,-3846.37,7590.309,24483.624,
09/30/2017,,0.0,10599.604,17846.675,-7247.071,0,0.0,0,0,0,10599.604,6719.134,1285.547,,12291.741,115.73,31011.756,,547.226,387.447,387.447,15204.415,114.198,15090.217,2200.336,18339.424,1650.0,0.0,15172.818,-4150.486,12672.332,31011.756,
12/31/2017,,0.0,12932.885,20433.186,-7500.301,0,0.0,0,0,0,12932.885,314.094,1300.338,0.0,17561.188,121.065,32229.57,,719.715,457.116,457.116,16159.62,115.251,16044.369,2554.037,19890.488,1649.998,0.0,15197.689,-4508.605,12339.082,32229.57,
03/31/2018,,0.0,13051.0,20811.0,-7760.0,0,0.0,0,0,0,13051.0,220.0,1304.0,0.0,17555.0,120.0,32250.0,,592.0,465.0,465.0,15746.0,130.0,15616.0,2615.0,19418.0,1650.0,0.0,16044.0,-4862.0,12832.0,32250.0,
06/30/2018,,0.0,13218.0,21241.0,-8023.0,0,0.0,0,0,0,13218.0,206.0,1303.0,0.0,17522.0,125.0,32374.0,,698.0,476.0,476.0,15956.0,112.0,15844.0,2678.0,19808.0,1650.0,0.0,16065.0,-5149.0,12566.0,32374.0,
09/30/2018,,0.0,13433.0,21725.0,-8292.0,0,0.0,0,0,0,13433.0,323.0,1357.0,0.0,17406.0,125.0,32644.0,,709.0,484.0,484.0,16424.0,111.0,16313.0,2732.0,20349.0,1650.0,0.0,16097.0,-5452.0,12295.0,32644.0,
12/31/2018,,0.0,13653.0,22216.0,-8563.0,0,0.0,0,0,0,13653.0,277.0,1366.0,0.0,17335.0,131.0,32762.0,,812.0,587.0,587.0,16682.0,107.0,16575.0,3110.0,21191.0,1650.0,0.0,16121.0,-6200.0,11571.0,32762.0,
03/31/2019,,0.0,19852.0,28695.0,-8843.0,0,0.0,0,0,0,19852.0,245.0,1373.0,0.0,16150.0,158.0,37778.0,,680.0,502.0,502.0,22841.0,96.0,22745.0,2009.0,26032.0,1650.0,0.0,16123.0,-6027.0,11746.0,37778.0,
06/30/2019,,0.0,20204.0,29325.0,-9121.0,0,0.0,0,0,0,20204.0,288.0,1391.0,0.0,16128.0,136.0,38147.0,,808.0,503.0,503.0,23285.0,98.0,23187.0,2028.0,26624.0,1650.0,0.0,16155.0,-6282.0,11523.0,38147.0,
09/30/2019,,0.0,20528.0,29922.0,-9394.0,0,0.0,0,0,0,20528.0,182.0,1413.0,,16083.0,138.0,38344.0,,813.0,525.0,525.0,23626.0,100.0,23526.0,2055.0,27019.0,1650.0,0.0,16183.0,-6508.0,11325.0,38344.0,
12/31/2019,,0.0,20799.0,30467.0,-9668.0,0,0.0,0,0,0,20799.0,196.0,1424.0,0.0,15901.0,137.0,38457.0,,864.0,657.0,657.0,23931.0,100.0,23831.0,2516.0,27968.0,1650.0,0.0,16209.0,-7370.0,10489.0,38457.0,
03/31/2020,,0.0,21013.0,30966.0,-9953.0,0,0.0,0,0,0,21013.0,310.0,1428.0,0.0,15708.0,157.0,38616.0,,679.0,741.0,741.0,24562.0,949.0,23613.0,2513.0,28495.0,1650.0,0.0,16189.0,-7718.0,10121.0,38616.0,
06/30/2020,,0.0,21214.0,,,0,0.0,0,0,0,21214.0,2514.0,1428.0,0.0,15591.0,154.0,40901.0,,795.0,763.0,763.0,27035.0,99.0,26936.0,2482.0,31075.0,1650.0,0.0,16226.0,-8050.0,9826.0,40901.0,
