Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,248.223999,3.792,3.792,0.0,4.316,,,147.082001,,,,,5.12,,,,160.309998,71.835999,106.186996,-34.351002,0.0,,16.077999,,,,16.077999,87.913998,,72.014999,72.014999,,,,10.0,,,,,,29.372002,,,,29.372002,111.387001,37.299999,,,,,7.91,,,,,,7.91,45.209999,156.597,0.0,92.504997,,,0.0,,-0.878,91.626997,0.0,91.626997,248.223997,
07/29/1989,267.678009,4.532,4.532,0.0,5.64,,,161.722,,,,,5.07,,,,176.964005,74.57,111.231003,-36.660999,0.0,,16.143999,,,,16.143999,90.713999,,62.560001,62.560001,,,,5.0,,,,,,32.012997,,,,32.012997,99.572998,78.5,,,,,7.953,,,,,,7.953,86.453,186.025998,0.0,89.754997,,,0.0,,-8.103,81.651998,0.0,81.651998,267.677996,
10/28/1989,287.744995,3.149,3.149,0.0,5.281,,,177.712997,,,,,6.209,,,,192.352005,79.210999,118.390999,-39.18,0.0,,16.181999,,,,16.181999,95.392998,,79.494003,79.494003,,,,5.0,,,,,,27.703995,,,,27.703995,112.197998,79.400002,,,,,8.753,,,,,,8.753,88.153002,200.351,0.0,91.300003,,,0.0,,-3.906,87.394003,0.0,87.394003,287.745003,
02/03/1990,249.766006,2.46,2.46,0.0,6.043,,,129.412994,,,,,8.004,,,,145.919998,88.342003,129.876999,-41.535,0.0,,15.504,,,,15.504,103.846003,,46.013,46.013,,,,5.0,,,,,,34.533997,,,,34.533997,85.546997,48.900002,,,,,11.551,,,,,,11.551,60.451001,145.997998,0.0,92.556,,,0.0,,11.212,103.768,0.0,103.768,249.765998,
05/05/1990,289.196991,3.843,3.843,0.0,8.001,,,159.897995,,,,,9.277,,,,181.018997,92.745003,136.656998,-43.911999,0.0,,15.433,,,,15.433,108.178002,,71.190002,71.190002,,,,5.0,,,,,,25.585999,,,,25.585999,101.776001,67.900002,,,,,13.392,,,,,,13.392,81.292002,183.068003,0.0,93.348999,,,0.0,,12.78,106.128999,0.0,106.128999,289.197001,
08/04/1990,305.364014,3.535,3.535,0.0,7.534,,,174.628006,,,,,8.53,,,,194.227005,95.819,139.606003,-43.786999,0.0,,15.318,,,,15.318,111.137,,67.911003,67.911003,,,,23.0,,,,,,32.389999,,,,32.389999,123.301003,56.900002,,,,,13.581,,,,,,13.581,70.481002,193.782004,0.0,93.788002,,,0.0,,17.794001,111.582003,0.0,111.582003,305.364007,
11/03/1990,338.088013,4.734,4.734,0.0,6.61,,,198.763,,,,,11.621,,,,221.727997,101.204002,148.455994,-47.251999,0.0,,15.156,,,,15.156,116.360003,,87.114998,87.114998,,,,23.0,,,,,,30.276009,,,,30.276009,140.391006,71.300003,,,,,14.157,,,,,,14.157,85.457003,225.848009,0.0,94.239998,,,0.0,,18.0,112.239998,0.0,112.239998,338.088007,
02/02/1991,309.542999,5.274,5.274,0.0,5.878,,,157.899002,,,,,10.333,,,,179.384003,114.913002,165.759995,-50.847,0.0,,15.246,,,,15.246,130.159002,,75.532997,75.532997,,,,0.0,,,,,,36.849007,,,,36.849007,112.382004,57.599998,,,,,16.497,,,,,,16.497,74.096998,186.479002,0.0,95.207001,,,0.0,,27.857,123.064001,0.0,123.064001,309.543003,
05/04/1991,343.101013,6.101,6.101,0.0,5.889,,,185.626999,,,,,12.42,,,,210.037003,117.950996,171.468994,-53.518002,0.0,,15.113,,,,15.113,133.063996,,80.969002,80.969002,,,,0.0,,,,,,33.068001,,,,33.068001,114.037003,86.599998,,,,,16.822001,,,,,,16.822001,103.421999,217.459002,0.0,95.763,,,0.0,,29.879,125.642,0.0,125.642,343.101002,
08/03/1991,360.574005,9.523,9.523,0.0,6.014,,,197.852997,,,,,9.679,,,,223.069,122.719002,178.455002,-55.736,0.0,,14.786,,,,14.786,137.505002,,88.625,88.625,,,,0.0,,,,,,41.171005,,,,41.171005,129.796005,77.400002,,,,,17.502001,,,,,,17.502001,94.902002,224.698008,0.0,97.257004,,,0.0,,38.618999,135.876003,0.0,135.876003,360.574011,
