Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,151.031006,10.46,,0.0,,1.758,0.0,0.0,0.0,,,,,,,,0.0,138.813006,,0.0,0.0,,,,,0.0,,,,,,,,,0.169,0.169,0,145.050995,,,0.0,,5.811,150.861995,0,150.861995,151.030995,
06/30/1998,176.154999,1.717,,0.0,,0.686,0.0,0.0,0.0,,,,,,,,0.0,173.751999,,0.0,24.742001,,,,,0.0,,,,,,,,,0.346,25.088001,0,145.050995,,,0.0,,6.016,151.066995,0,151.066995,176.154995,
09/30/1998,197.578995,6.897,,0.0,,1.58,0.0,0.0,0.0,,,,,,,,0.0,189.101995,,0.0,44.993,,,,,0.0,,,,,,,,,0.144,45.137,0,145.147003,,,0.0,,7.295,152.442003,0,152.442003,197.579003,
12/31/1998,270.019012,6.149,,0.0,,2.339,0.0,0.0,0.0,,,,,,,,0.0,261.531012,,0.0,115.947998,,,,,0.0,,,,,,,,,1.348,117.295998,0,145.356003,,,0.0,,7.367,152.723003,0,152.723003,270.019001,
03/31/1999,263.551,1.231,,0.0,,2.03,0.0,0.0,0.0,0.0,,,,5.991,,,0.0,254.299,,0.0,107.091,,,,,0.0,,,,,,,,,0.914,108.005,0,145.99,,,0.0,0.372,9.184,155.546,0,155.546,263.551,
06/30/1999,300.495,13.718,,0.0,,2.329,0.0,0.0,0.0,0.0,,,,5.57,,,0.0,278.878,,0.0,142.892,,,,,0.0,,,,,,,,,1.8,144.692,0,158.568,,,0.0,0.856,-3.621,155.803,0,155.803,300.495,
09/30/1999,326.234,45.186,,0.0,,4.351,0.0,0.0,0.0,0.0,,,,5.233,,,0.0,271.464,,0.0,69.84,,,,,0.0,,,,,,,,,7.827,77.667,0,257.513,,,0.0,-0.06,-8.886,248.567,0,248.567,326.234,
12/31/1999,395.372,2.037,0.0,0.0,,2.417,0.0,0.0,0.0,0.0,,,,4.893,,,0.0,386.025,,0.0,78.545,,,,,0.0,,,,,,,,,5.082,83.627,0,256.105,,,0.0,1.08,54.56,311.745,0,311.745,395.372,
03/31/2000,444.835999,4.577,,0.0,,3.761,0.0,0.0,0.0,0.0,,,,,,,,436.497998,,0.0,117.211998,,,,,0.0,,,,,,,,,4.358,121.569998,0,256.480011,,,,1.409,65.377003,323.266014,0,323.266014,444.836012,
06/30/2000,509.6,3.434,,0.0,,4.369,0.0,0.0,0.0,0.0,,,,3.113,,,0.0,498.684,,0.0,57.039,,,,,0.0,,,,,,,,,4.707,61.746,0,380.391,,,0.0,2.457,65.006,447.854,0,447.854,509.6,
