Date,P/Book,Average,High,Low,P/Sales,P/Cash Flow,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
07/31/1980,,,,,,,,,2.65625,,
10/31/1980,,,,,,,,,3.5,,
01/31/1981,,,,,,,,,3.671875,,
04/30/1981,,,,,,,,,3.773438,,
07/31/1981,,,,,,,,,3.367188,,
10/31/1981,,,,,,,,,3.695312,,
01/31/1982,,,,,,,,,3.945312,,
04/30/1982,,,,,,,,,4.28125,,
07/31/1982,,,,,,,,,4.6875,,
10/31/1982,,,,,,,,,7.0625,,
01/31/1983,,,,,,,,,6.375,,
04/30/1983,,,,,,,,,7.5625,,
07/31/1983,,,,,,,,,6.75,,
10/31/1983,,,,,,,,,7.140625,,
01/31/1984,,,,,,,,,5.8125,,
04/30/1984,,,,,,,,,5.28125,,
07/31/1984,,,,,,,,,5.546875,,
10/31/1984,,,,,,,,,6.125,,
01/31/1985,,,,,,,,,6.71875,,
04/30/1985,,,,,,,,,7.125,,
07/31/1985,,,,,,,,,7.75,,
10/31/1985,,,,,,,,,8.90625,,
01/31/1986,,,,,,,,,11.5,,
04/30/1986,,,,,,,,,14.21875,,
07/31/1986,,,,,,,,,16.90625,,
10/31/1986,,,,,,,,,14.5,,
01/31/1987,,,,,,,,,17.71875,,
04/30/1987,,,,,,,,,19.0,,
07/31/1987,,,,,,,,,22.75,,
10/31/1987,,,,,,,,,17.25,,
01/31/1988,,,,,,,,,19.0625,,
04/30/1988,,,,,,,,,17.625,,
07/31/1988,,,,,,,,,19.8125,,
10/31/1988,,,,,,,,,20.5,,
01/31/1989,,,,,,,,,20.875,,
04/30/1989,,,,,,,,,22.4375,,
07/31/1989,,,,,,,,,25.375,,
10/31/1989,7.543569,5161.07493,5161.07493,5161.07493,,,,,21.875,4885.45013,
01/31/1990,8.127044,5547.544921,5947.550159,5062.587358,,,,,24.875,5544.925085,
04/30/1990,7.66045,5593.098056,5824.675089,5274.425154,,,,,24.9375,5532.899994,
07/31/1990,8.970033,6406.384391,7072.899994,5569.875071,4.541533,18.581445,4.502876,17.476078,30.875,6848.874889,
10/31/1990,6.861989,6093.518473,6814.700012,5526.700012,3.745408,14.939829,3.702757,14.233568,26.5,5868.499847,
01/31/1991,7.871211,6488.908196,7123.24979,5955.900009,4.3052,16.84772,4.228029,15.560291,32.375,7129.725185,
04/30/1991,9.528188,8497.416513,9558.212751,7109.224791,5.225626,18.600753,5.088986,18.746273,41.125,8990.712269,
07/31/1991,9.579916,8846.484478,9511.800285,8034.887295,5.286988,17.732664,5.219839,19.478179,42.75,9483.925251,
10/31/1991,9.429709,9577.007231,10599.874703,8913.124748,5.499727,19.684671,5.463035,20.903456,45.75,10219.699879,
01/31/1992,9.290731,10099.724117,12105.749853,8526.875252,5.547434,20.103055,5.521366,21.242286,48.25,10808.074982,
04/30/1992,8.135804,10434.307202,11343.637482,9398.699982,4.974916,20.83183,4.977093,19.707842,44.5,10027.349846,
07/31/1992,5.911944,8371.48584,10272.137482,7121.462385,3.635064,16.353952,3.668567,14.752097,33.625,7648.962402,
10/31/1992,4.819925,6341.712222,7761.812399,5307.324932,2.724418,12.878295,2.78722,12.546127,25.0,5766.200058,
01/31/1993,4.108879,5415.325818,6026.899902,4700.775043,2.323008,12.493086,2.397817,11.150888,21.125,4899.700068,
04/30/1993,3.748968,4430.904227,4833.450066,4126.900057,2.035033,10.049803,2.091872,9.331873,19.125,4392.512386,
07/31/1993,3.270594,4301.744584,4806.699875,3984.574875,1.858102,7.779125,1.877697,7.691202,17.75,3986.349983,
10/31/1993,3.163001,3980.573001,4207.349983,3597.999886,1.871216,8.276269,1.908182,7.315608,18.125,4089.425018,
01/31/1994,2.605333,3717.510174,4117.050018,3381.375008,1.597339,5.354631,1.589963,6.274587,15.375,3381.375008,
04/30/1994,2.645933,3132.163532,3464.250008,2801.250008,1.733166,6.562242,1.750527,8.431756,15.25,3403.89996,
