Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,11926,515,515,,3467,,,2350,,,,,647,,,,,,6979,3015,4510.0,-1495.0,,1932,,,,,1932,4947,,1439,1439,,,,918,,,,,,119,,,119,2476,3065,,,,,2412,,,,,,2412,5477,7953,38.0,858,,,,,3077,3973,,3973,11926,
07/29/1989,12157,451,451,,3321,,,2711,,,,,634,,,,,,7117,3031,4586.0,-1555.0,,2009,,,,,2009,5040,,1408,1408,,,,1275,,,,,,119,,,119,2802,3031,,,,,2391,,,,,,2391,5422,8224,61.0,852,,,,,3020,3933,,3933,12157,
10/28/1989,13433,746,746,,3652,,,3273,,,,,716,,,,,,8387,3093,4711.0,-1618.0,,1953,,,,,1953,5046,,1808,1808,,,,2293,,,,,,119,,,119,4220,2837,,,,,2323,,,,,,2323,5160,9380,61.0,857,,,,,3135,4053,,4053,13433,
01/27/1990,12698,408,408,,3935,,,2613,,,,,583,,,,,,7539,3237,4791.0,-1554.0,,1922,,,,,1922,5159,,708,708,,,,1452,,,,,,1240,,,1240,3400,2755,,,,,2190,,,,,,2190,4945,8345,85.0,865,,,,,3403,4353,,4353,12698,
04/28/1990,12457,425,425,,3584,,,2687,,,,,608,,,,,,7304,3234,4756.0,-1522.0,,1919,,,,,1919,5153,,1538,1538,,,,1439,,,,,,114,,,114,3091,2762,,,,,2200,,,,,,2200,4962,8053,83.0,868,,,,,3453,4404,,4404,12457,
07/28/1990,12185,256,256,,3091,,,2946,,,,,653,,,,,,6946,3332,4926.0,-1594.0,,1907,,,,,1907,5239,,1504,1504,,,,1256,,,,,,61,,,61,2821,2984,,,,,2135,,,,,,2135,5119,7940,107.0,853,,,,,3285,4245,,4245,12185,
10/27/1990,12709,252,252,,2856,,,3518,,,,,684,,,,,,7310,3438,5105.0,-1667.0,,1961,,,,,1961,5399,,1826,1826,,,,1236,,,,,,15,,,15,3077,3154,,,,,2224,,,,,,2224,5378,8455,106.0,848,,,,,3300,4254,,4254,12709,
01/26/1991,12325,137,137,,3423,,,2657,,,,,582,,,,,,6799,3500,5209.0,-1709.0,,2026,,,,,2026,5526,,663,663,,,,979,,,,,,1020,,,1020,2662,3135,,,,,2134,,,,,,2134,5269,7931,131.0,850,,,,,3413,4394,,4394,12325,
04/27/1991,11985,220,220,,2990,,,2650,,,,,500,,,,,,6360,3492,5157.0,-1665.0,,2133,,,,,2133,5625,,1536,1536,,,,602,,,,,,9,,,9,2147,3284,,,,,2340,,,,,,2340,5624,7771,128.0,852,,,,,3234,4214,,4214,11985,
07/27/1991,12005,268,268,0.0,2702,,,2776,,,,,522,,,,,,6268,3545,5261.0,-1716.0,0.0,2192,,,,,2192,5737,,1434,1434,,,,533,,,,,,0,,,0,1967,3498,,,,,2180,,,,,,2180,5678,7645,152.0,854,,,,,3354,4360,0.0,4360,12005,
10/26/1991,12932,268,268,0.0,2774,,,3509,,,,,572,,,,,,7123,3588,5448.0,-1860.0,0.0,2221,,,,,2221,5809,,1846,1846,,,,966,,,,,,0,,,0,2812,3501,,,,,2220,,,,,,2220,5721,8533,149.0,855,,,,,3395,4399,0.0,4399,12932,
01/25/1992,12520,111,111,,3224,,,2897,,,,,463,,,,,,6695,3602,5464.0,-1862.0,,2223,,,,,2223,5825,,610,610,,,,708,,,,,,1091,,,1091,2409,3354,,,,,2569,,,,,,2569,5923,8332,175.0,857,,,,,3156,4188,,4188,12520,
04/25/1992,13079,591,591,0.0,2799,,,3026,,,,,416,,,,,,6832,3594,5390.0,-1796.0,0.0,2653,,,,,2653,6247,,1601,1601,,,,1476,,,,,,62,,,62,3139,3110,,,,,2583,,,,,,2583,5693,8832,170.0,865,,,,,3212,4247,0.0,4247,13079,
07/25/1992,12946,392,392,0.0,2403,,,3328,,,,,489,,,,,,6612,3620,5491.0,-1871.0,0.0,2714,,,,,2714,6334,,1577,1577,,,,1438,,,,,,64,,,64,3079,3013,,,,,2585,,,,,,2585,5598,8677,196.0,874,,,,,3199,4269,0.0,4269,12946,
