Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1989,1.564,0.56,2.228,0.132,,,0.132,-1.356,,,,-1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,6.104,1.829,2.486,-1.339,,,-1.339,3.128,,,,3.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,6.072,1.599,2.621,1.048,,,1.048,0.804,,,,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,7.602,0.656,2.527,1.73,,,1.73,2.689,,,,2.689,,,,,,,,,,,,,,,,,,,,,,,,,,,7.602,,,
12/30/1990,4.684,1.34,2.699,0.353,,,0.353,0.292,,,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,6.286,4.051,2.751,0.178,,,0.178,-0.694,,,,-0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,10.522,3.77,2.766,0.088,,,0.088,3.898,,,,3.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,7.496,2.83,2.893,0.623,,,0.623,1.15,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,7.496,,,
12/31/1991,9.853,4.722,3.102,-1.036,,,-1.036,3.065,,,,3.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,5.647,6.941,3.18,0.783,,,0.783,-5.257,,,,-5.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,16.466999,6.403,3.257,0.577,,,0.577,6.23,,,,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,12.57,4.612,3.24,0.216,,,0.216,4.502,,,,4.502,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57,,,
12/31/1992,7.461,5.081,3.23,1.619,,,1.619,-2.469,,,,-2.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,7.976,9.372,3.25,0.935,,,0.935,-5.581,,,,-5.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,16.624001,10.178,3.238,1.668,,,1.668,1.54,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,9.713,7.614,3.366,-2.651,,,-2.651,1.384,,,,1.384,,,,,,,,,,,,,,,,,,,,,,,,,,,9.713,,,
12/31/1993,13.435,5.77,3.978,1.766,,,1.766,1.921,,,,1.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,3.264,14.383,4.054,1.224,,,1.224,-16.396999,,,,-16.396999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,14.563,15.094,4.113,-0.867,,,-0.867,-3.777,,,,-3.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,14.904,11.289,4.465,-0.825,,,-0.825,-0.025,,,,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,14.904,,,
12/31/1994,17.120001,11.309,4.44,-1.485,,,-1.485,2.856,,,,2.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,13.826,18.636,5.295,-1.668,,,-1.668,-8.437,,,,-8.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,26.955,18.549,5.265,-0.081,,,-0.081,3.222,,,,3.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
