Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/01/2015,12838.0,12838.0,-10709.0,10709.0,2129.0,0.0,-2464.0,2139.0,325.0,0.0,-335.0,-179.0,178.0,-11.0,4.0,8.0,-514.0,38.0,-476.0,28.0,28.0,0.0,-504.0,,-504.0,0.0,0.0,-504.0,-298.640054,177.359946,405.0,-1.244444,-1.175309,-0.737383,405.0,-1.244444,-1.175309,-0.737383,
07/31/2015,12975.0,12975.0,-10896.0,10896.0,2079.0,0.0,-2182.0,1932.0,250.0,0.0,-103.0,-222.0,171.0,-10.0,47.0,14.0,-325.0,33.0,-292.0,-27.0,-27.0,0.0,-265.0,0.0,-265.0,0.0,0.0,-265.0,-148.670659,143.329341,405.0,-0.654321,-0.720988,-0.367088,405.0,-0.654321,-0.720988,-0.367088,
10/30/2015,12674.0,12674.0,-10542.0,10542.0,2132.0,0.0,-2210.0,1943.0,267.0,0.0,-78.0,-203.0,167.0,9.0,30.0,-3.0,-281.0,17.0,-264.0,-84.0,-84.0,0.0,-180.0,0.0,-180.0,0.0,0.0,-180.0,-104.682482,159.317518,405.0,-0.444444,-0.651852,-0.258475,405.0,-0.444444,-0.651852,-0.258475,
01/29/2016,12679.0,12679.0,-10425.0,10425.0,2254.0,0.0,-2280.0,2001.0,279.0,0.0,-26.0,-172.0,164.0,9.0,26.0,-27.0,-198.0,30.0,-168.0,-13.0,-13.0,0.0,-155.0,0.0,-155.0,0.0,0.0,-155.0,-15.199192,152.800808,405.0,-0.382716,-0.414815,-0.037529,405.0,-0.382716,-0.414815,-0.037529,
04/29/2016,12241.0,12241.0,-10048.0,10048.0,2193.0,0.0,-2332.0,2068.0,264.0,0.0,-139.0,-219.0,163.0,-9.0,42.0,23.0,-358.0,-66.0,-424.0,-479.0,-479.0,0.0,55.0,0.0,55.0,0.0,0.0,55.0,-234.602585,189.397415,405.0,0.135802,-1.046914,-0.579266,405.0,0.135802,-1.046914,-0.579266,
07/29/2016,13080.0,13080.0,-10744.0,10744.0,2336.0,0.0,-2269.0,2023.0,246.0,0.0,67.0,-349.0,352.0,-15.0,13.0,-1.0,-282.0,20.0,-262.0,-834.0,-834.0,0.0,572.0,1.0,573.0,0.0,0.0,573.0,-84.923907,176.076093,405.0,1.414815,-0.649383,-0.209689,405.0,1.414815,-0.649383,-0.214627,
10/28/2016,16247.0,16247.0,-12348.0,12348.0,3899.0,0.0,-5411.0,4556.0,855.0,0.0,-1512.0,-794.0,585.0,38.0,-4.0,175.0,-2306.0,669.0,-1637.0,438.0,438.0,0.0,-2075.0,11.0,-2064.0,0.0,0.0,-2064.0,114.653943,1740.653943,497.0,-4.152918,-3.27163,0.230692,497.0,-4.152918,-3.27163,0.230692,
02/03/2017,20074.0,20074.0,-15543.0,15543.0,4531.0,0.0,-6199.0,4928.0,1271.0,0.0,-1668.0,-742.0,651.0,40.0,41.0,10.0,-2410.0,996.0,-1414.0,-1144.0,-1144.0,0.0,-270.0,34.0,-236.0,0.0,0.0,-236.0,243.670564,1623.670564,566.0,-0.416961,-2.438163,0.430513,566.0,-0.416961,-2.438163,0.430513,
05/05/2017,18000.0,18000.0,-13543.0,13543.0,4457.0,0.0,-5729.0,4596.0,1133.0,0.0,-1272.0,-572.0,597.0,-38.0,27.0,-14.0,-1844.0,641.0,-1203.0,0.0,0.0,0.0,-1203.0,32.0,-1171.0,0.0,0.0,-1171.0,-521.11257,649.88743,566.0,-2.29,-2.29,-0.920694,566.0,-2.29,-2.29,-1.141788,
08/04/2017,19521.0,19521.0,-14553.0,14553.0,4968.0,0.0,-5633.0,4540.0,1093.0,0.0,-665.0,-545.0,598.0,-57.0,15.0,-11.0,-1210.0,471.0,-739.0,0.0,0.0,0.0,-739.0,7.0,-732.0,0.0,0.0,-732.0,97.583208,829.583208,566.0,-1.65,-1.65,0.172408,566.0,-1.66,-1.66,-0.194305,
11/03/2017,19556.0,19556.0,-14336.0,14336.0,5220.0,0.0,-5630.0,4559.0,1071.0,0.0,-410.0,-682.0,607.0,-57.0,35.0,97.0,-1092.0,241.0,-851.0,0.0,0.0,0.0,-851.0,5.0,-846.0,0.0,0.0,-846.0,-192.205225,653.794775,567.0,-1.84,-1.84,-0.338986,567.0,-1.84,-1.84,-0.686923,
02/02/2018,21963.0,21963.0,-16071.0,16071.0,5892.0,0.0,-5961.0,4874.0,1087.0,0.0,-69.0,-554.0,604.0,65.0,36.0,-151.0,-623.0,490.0,-133.0,0.0,0.0,0.0,-133.0,33.0,-100.0,0.0,0.0,-100.0,358.060212,458.060212,568.0,-0.176056,-0.176056,0.630388,568.0,-0.176056,-0.176056,0.630388,
05/04/2018,21356.0,21356.0,-15478.0,15478.0,5878.0,0.0,-6031.0,4944.0,1087.0,0.0,-153.0,-470.0,596.0,-78.0,77.0,-125.0,-623.0,85.0,-538.0,0.0,0.0,0.0,-538.0,-98.0,-636.0,0.0,0.0,-636.0,-229.617251,406.382749,568.0,-1.95,-1.95,-0.404256,568.0,-1.95,-1.95,-1.234537,
08/03/2018,22942.0,22942.0,-16819.0,16819.0,6123.0,0.0,-6136.0,4961.0,1175.0,0.0,-13.0,-455.0,622.0,85.0,34.0,-286.0,-468.0,7.0,-461.0,0.0,0.0,0.0,-461.0,-38.0,-499.0,0.0,0.0,-499.0,818.615776,1317.615776,567.0,-0.880071,-0.880071,1.443767,567.0,-0.880071,-0.880071,1.443767,
11/02/2018,22482.0,22482.0,-16539.0,16539.0,5943.0,0.0,-6299.0,5159.0,1140.0,0.0,-356.0,-639.0,612.0,84.0,63.0,-120.0,-995.0,100.0,-895.0,0.0,0.0,0.0,-895.0,19.0,-876.0,0.0,0.0,-876.0,-330.105363,545.894637,567.0,-1.544974,-1.544974,-0.582196,567.0,-1.544974,-1.544974,-0.582196,
02/01/2019,23841.0,23841.0,-16732.0,16732.0,7109.0,0.0,-6778.0,5576.0,1202.0,0.0,331.0,-606.0,658.0,66.0,32.0,-150.0,-275.0,-12.0,-287.0,0.0,0.0,0.0,-287.0,-12.0,-299.0,0.0,0.0,-299.0,310.894138,609.894138,626.0,-0.477636,-0.477636,0.496636,626.0,-0.477636,-0.477636,0.496636,
05/03/2019,21908.0,21908.0,-15111.0,15111.0,6797.0,0.0,-6247.0,5071.0,1176.0,0.0,550.0,-693.0,699.0,-44.0,45.0,-7.0,-143.0,472.0,329.0,0.0,0.0,0.0,329.0,-36.0,293.0,0.0,0.0,293.0,350.777778,57.777778,717.0,0.41,0.41,0.48923,751.0,0.38,0.38,0.456934,
08/02/2019,23370.0,23370.0,-16044.0,16044.0,7326.0,0.0,-6807.0,5578.0,1229.0,0.0,519.0,-630.0,692.0,42.0,35.0,-139.0,-111.0,4343.0,4232.0,0.0,0.0,0.0,4232.0,-816.0,3416.0,0.0,0.0,3416.0,-140.19,-3556.19,719.0,4.751043,4.751043,-0.194979,751.0,4.548602,4.548602,-0.194979,
11/01/2019,22844.0,22844.0,-15718.0,15718.0,7126.0,0.0,-6290.0,5028.0,1262.0,0.0,836.0,-677.0,654.0,41.0,43.0,-61.0,159.0,393.0,552.0,0.0,0.0,0.0,552.0,-53.0,499.0,0.0,0.0,499.0,351.671285,-147.328715,725.0,0.69,0.69,0.485064,750.0,0.66,0.66,0.463562,
01/31/2020,24032.0,24032.0,-16348.0,16348.0,7684.0,0.0,-6967.0,5642.0,1325.0,0.0,717.0,-626.0,630.0,33.0,39.0,-76.0,91.0,325.0,416.0,0.0,0.0,0.0,416.0,-8.0,408.0,0.0,0.0,408.0,705.832031,297.832031,734.0,0.56,0.56,0.961624,754.0,0.54,0.54,0.935003,
05/01/2020,21897.0,21897.0,-15044.0,15044.0,6853.0,0.0,-6151.0,4886.0,1265.0,0.0,702.0,-566.0,672.0,-24.0,99.0,-181.0,136.0,46.0,182.0,0.0,0.0,0.0,182.0,-39.0,143.0,0.0,0.0,143.0,158.437751,15.437751,740.0,0.19,0.19,0.214105,755.0,0.19,0.19,0.210447,
07/31/2020,22733.0,22733.0,-15577.0,15577.0,7156.0,0.0,-6020.0,4761.0,1259.0,0.0,1136.0,-636.0,,,,636.0,500.0,599.0,1099.0,0.0,0.0,0.0,1099.0,-51.0,1048.0,0.0,0.0,1048.0,1110.964952,62.964952,741.0,1.41,1.41,1.499278,761.0,1.37,1.37,1.45274,
10/31/2020,21916.286,,,,7269.85122906,,,,,,2120.667,,,,,,1478.667,,814.2,,,,,,814.2,,,814.2,1075.182,,,0.562,0.562,1.406,,0.562,0.562,1.406,
01/31/2021,23146.571,,,,7859.88111447,,,,,,2403.667,,,,,,1795.111,,861.117,,,,,,861.117,,,861.117,1309.818,,,0.867,0.867,1.713,,0.867,0.867,1.713,
