Date,Revenue,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/2016,,,-0.000135,0.162365,,,,
06/30/2016,,,-0.00023,-0.00023,,,,
09/30/2016,,,-0.015603,-0.015603,,,,
12/31/2016,,,0.004685,-0.157815,,,,
03/31/2017,,,1.39,1.39,,,,
06/30/2017,,,3.588,3.1642,,,,
09/30/2017,,,9.155,9.155,,,,
12/31/2017,,,2.392,2.02345,,,,
03/31/2018,,,-17.392,-11.3722,,,,
06/30/2018,,,4.915,4.90236,,,,
09/30/2018,,12.80018,5.736,12.80018,,,,
12/31/2018,,17.4551,10.985,18.5927,,,,
03/31/2019,,-22.889,-23.414,-20.63873,,,,
06/30/2019,,-6.23529,6.208,-5.63331,,,,
09/30/2019,,12.46048,12.609,12.46048,,,,
12/31/2019,,13.84802,10.303,13.09802,,,,
03/31/2020,,-12.743,-13.509,-13.509,,,,
06/30/2020,,4.05046,2.189,2.64246,,,,
