Date,P/Sales,P/Free Cash Flow,Average,High,Low,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
01/29/1983,,,,,,,,,12.0625,,
04/29/1983,,,,,,,,,16.4375,,
07/29/1983,,,,,,,,,14.625,,
10/29/1983,,,,,,,,,15.34375,,
01/29/1984,,,,,,,,,13.21875,,
04/29/1984,,,,,,,,,13.1875,,
07/29/1984,,,,,,,,,12.90625,,
10/29/1984,,,,,,,,,13.3125,,
01/29/1985,,,,,,,,,12.75,,
04/29/1985,,,,,,,,,11.625,,
07/29/1985,,,,,,,,,12.40625,,
10/29/1985,,,,,,,,,12.1875,,
01/29/1986,,,,,,,,,14.40625,,
04/29/1986,,,,,,,,,17.75,,
07/29/1986,,,,,,,,,20.0625,,
10/29/1986,,,,,,,,,19.59375,,
01/29/1987,,,,,,,,,20.1875,,
04/29/1987,,,,,,,,,24.0625,,
07/29/1987,,,,,,,,,29.375,,
10/29/1987,,,,,,,,,20.375,,
01/29/1988,,,,,,,,,21.5,,
04/29/1988,,,,,,,,,23.9375,,
07/29/1988,,,,,,,,,23.375,,
10/29/1988,,,,,,,,,27.1875,,
01/29/1989,,,,,,,,,27.0625,,
04/29/1989,,,10353.772602,10353.772602,10353.772602,,,,27.875,10306.886662,
07/29/1989,,,10555.448258,11189.59403,10261.140787,,,,29.8125,11110.173487,
10/28/1989,,,11886.945002,12272.622725,11174.345406,,,,32.4375,12256.793506,
01/27/1990,,,12742.871598,13475.975151,12041.980886,0.733771,6.762646,7.998345,33.875,12037.509258,
04/28/1990,,,11974.539187,12323.333384,11450.817633,0.682371,6.360972,7.521307,31.625,11462.472088,
07/28/1990,,,11427.578131,11958.350702,10786.273977,0.638342,6.105262,7.280758,29.0625,10928.418313,
10/27/1990,,,9450.258573,11093.407101,8575.758248,0.527958,5.439356,6.623891,20.8125,9094.602801,
01/26/1991,,,9290.383096,9808.355165,8905.207753,0.557319,6.775788,8.563926,24.0,9702.927856,
04/27/1991,,,10228.291263,10679.126206,9694.900474,0.559713,7.268718,9.404918,25.3125,9696.470145,
07/27/1991,,,9926.242753,10554.537827,9345.217483,0.549962,7.473318,9.832496,23.8125,9468.694076,
10/26/1991,,,9786.9991,10138.098153,9496.842137,0.587771,7.984199,10.501589,24.625,10092.027365,
01/25/1992,,,10375.530787,10965.787691,9857.964201,0.611215,7.118497,9.0273,27.625,10570.967805,
04/25/1992,,,11367.145915,11985.361191,10364.795444,0.672587,7.558578,9.446719,33.0,11874.525803,
07/25/1992,,,12145.726342,12648.398658,11728.512056,0.692854,7.59605,9.409004,35.0625,12457.521336,
10/24/1992,,,12453.415061,13300.235092,11887.29258,0.724193,7.642275,9.342346,37.75,13312.843578,
01/30/1993,,,13374.372126,13839.960083,12289.937699,0.644904,6.744103,8.113373,35.8125,12307.987125,
05/01/1993,,,13564.773103,14376.968245,12465.643201,0.728138,8.689112,10.776667,43.0625,13815.6875,
