Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,534.244019,11.898,11.898,0.0,144.800003,,,87.401001,,,,,1.688,,,245.787003,280.335999,,,0.0,,8.121,,,,,8.121,288.456999,,61.736,61.736,,,,2.102,,,,,,38.736997,,,,38.736997,102.574997,64.194,,,,,45.189999,,,,45.189999,109.383999,211.958996,0.0,46.521,,,0.0,,275.764008,322.285007,0.0,322.285007,534.244003,
06/30/1990,574.135986,2.935,2.935,0.0,161.029999,,,103.686996,,,,,3.585,,,271.237,294.787994,,,0.0,,8.111,,,,,8.111,302.898994,,62.672001,62.672001,,,,2.12,,,,,,39.653998,,,,39.653998,104.445999,85.997002,,,,,46.566002,,,,46.566002,132.563004,237.009003,0.0,46.778,,,0.0,,290.348999,337.126999,0.0,337.126999,574.136002,
09/30/1990,594.815979,5.77,5.77,0.0,169.169006,,,95.887001,,,,,6.558,,,277.384003,309.332001,,,0.0,,8.1,,,,,8.1,317.432001,,55.988998,55.988998,,,,2.138,,,,,,48.137002,,,,48.137002,106.264,88.778,,,,,48.056,,,,48.056,136.834,243.098,0.0,46.925999,,,0.0,,304.791992,351.717991,0.0,351.717991,594.81599,
12/31/1990,616.45697,10.125,10.125,0.0,126.989998,,,121.403999,,,,,9.272,,,267.790985,334.794006,520.942017,-186.147995,0.0,,13.872,,,,,13.872,348.666006,,52.486,52.486,,,,6.702,,,,,,41.312,,,,41.312,100.5,91.026001,,,,,55.928001,,,,55.928001,146.954002,247.454002,0.0,47.297001,,,0.0,,321.705994,369.002995,0.0,369.002995,616.456997,
03/31/1991,648.731018,4.652,4.652,0.0,151.057999,,,123.205002,,,,,1.983,,,280.89801,350.628998,,,0.0,,17.204,,,,,17.204,367.832998,,43.862,43.862,,,,6.095,,,,,,38.455003,,,,38.455003,88.412003,123.723999,,,,,57.280998,,,,57.280998,181.004997,269.417,0.0,47.757999,,,0.0,,331.556,379.313999,0.0,379.313999,648.730999,
06/30/1991,671.026001,5.837,5.837,0.0,174.328995,,,108.557999,,,,,3.558,,,292.282013,361.433014,,,0.0,,17.311001,,,,,17.311001,378.744015,,52.766998,52.766998,,,,6.11,,,,,,40.698998,,,,40.698998,99.575996,114.512001,,,,,60.424,,,,60.424,174.936001,274.511997,0.0,47.924999,,,0.0,,348.588989,396.513988,0.0,396.513988,671.025986,
09/30/1991,673.276001,8.169,8.169,0.0,195.186996,,,70.903,,,,,2.872,,,277.131012,375.670013,,,0.0,,20.475,,,,,20.475,396.145014,,60.293999,60.293999,,,,6.125,,,,,,55.739998,,,,55.739998,122.158997,71.278,,,,,63.173,,,,63.173,134.451,256.609997,0.0,48.887001,,,0.0,,367.778992,416.665993,0.0,416.665993,673.27599,
12/31/1991,670.572021,24.431999,24.431999,0.0,152.695999,,,77.964996,,,,,6.634,,,261.72699,388.557007,596.481018,-207.923996,0.0,,20.288,,,,,20.288,408.845007,,58.653,58.653,,,,6.139,,,,,,52.651001,,,,52.651001,117.443001,53.512001,,,,,59.969002,,,,59.969002,113.481003,230.924004,0.0,49.266998,,,0.0,,390.381012,439.64801,0.0,439.64801,670.572014,
03/31/1992,697.607971,9.516,5.516,4.0,189.742004,,,73.599998,,,,,1.934,,,274.791992,402.342987,,,0.0,,20.473,,,,,20.473,422.815987,,57.962002,57.962002,,,,5.289,,,,,,57.512998,,,,57.512998,120.764,56.695999,,,,,61.932999,,,,61.932999,118.628998,239.392998,0.0,50.479,,,0.0,,407.735992,458.214993,0.0,458.214993,697.60799,
06/30/1992,733.924988,30.785999,30.785999,0.0,203.822998,,,61.099998,,,,,3.308,,,299.016998,413.838989,,,0.0,,21.069,,,,,21.069,434.90799,,71.580002,71.580002,,,,5.306,,,,,,57.520996,,,,57.520996,134.406998,53.005001,,,,,64.695,,,,64.695,117.700001,252.106998,0.0,83.459999,,,0.0,,398.358002,481.818001,0.0,481.818001,733.924999,
09/30/1992,789.693359,60.249557,60.249557,0.0,208.54808,,,59.718506,,,,,2.50324,,,331.019379,434.484711,,,0.0,,24.189287,,,,,24.189287,458.673998,,80.156364,80.156364,,,,5.305,,,,,,73.387436,,,,73.387436,158.848801,52.811844,,,,,67.765999,,,,67.765999,120.577843,279.426643,0.0,83.817856,,,0.0,,426.448853,510.266708,0.0,510.266708,789.693352,
12/31/1992,796.857971,55.111,11.111,44.0,181.223007,,,75.043999,,,,,3.349,,,314.72699,460.372986,700.601013,-240.227997,0.0,,21.757999,,,,,21.757999,482.130985,,78.383003,78.383003,,,,5.317,,,,,,55.872995,,,,55.872995,139.572998,48.075001,,,,,137.735992,,,,137.735992,185.810993,325.383991,0.0,84.122002,,,0.0,,387.35199,471.473992,0.0,471.473992,796.857983,
03/31/1993,823.401001,23.629,23.629,0.0,184.718002,,,115.304001,,,,,1.181,,,324.832001,476.804993,,,0.0,,21.764,,,,,21.764,498.568993,,71.598,71.598,,,,5.299,,,,,,62.989994,,,,62.989994,139.886993,47.894001,,,,,142.414993,,,,142.414993,190.308994,330.195988,0.0,84.417,,,0.0,,408.787994,493.204994,0.0,493.204994,823.400982,
06/30/1993,873.547974,9.868,9.868,0.0,202.173996,,,133.350006,,,,,6.552,,,351.944,499.247009,,,0.0,,22.357,,,,,22.357,521.60401,,82.565002,82.565002,,,,29.298,,,,,,56.597004,,,,56.597004,168.460007,43.702,,,,,147.820007,,,,147.820007,191.522007,359.982014,0.0,84.513,,,0.0,,429.053009,513.56601,0.0,513.56601,873.548023,
09/30/1993,891.927002,16.006001,16.006001,0.0,220.324997,,,104.360001,,,,,6.237,,,346.928009,518.018982,,,0.0,,26.98,,,,,26.98,544.998981,,79.412003,79.412003,,,,12.296,,,,,,73.136999,,,,73.136999,164.845001,43.514,,,,,149.378006,,,,149.378006,192.892006,357.737007,0.0,84.577003,,,0.0,,449.613007,534.19001,0.0,534.19001,891.927017,
12/31/1993,889.583984,25.799,25.799,0.0,182.203003,,,111.111,,,,,12.904,,,332.016998,527.948975,807.215027,-279.265991,0.0,,29.618,,,,,29.618,557.566975,,65.684998,65.684998,,,,5.345,,,,,,56.130006,,,,56.130006,127.160004,38.729,,,,,173.509003,,,,173.509003,212.238003,339.398007,0.0,84.796997,,,0.0,,465.389008,550.186005,0.0,550.186005,889.584012,
03/31/1994,928.057007,17.226,17.226,0.0,225.186996,,,108.602997,,,,,12.466,,,363.481995,535.054016,,,0.0,,29.521,,,,,29.521,564.575016,,72.706001,72.706001,,,,5.359,,,,,,60.252,,,,60.252,138.317001,38.533001,,,,,178.770004,,,,178.770004,217.303005,355.620007,0.0,85.140999,,,0.0,,487.29599,572.436989,0.0,572.436989,928.056995,
06/30/1994,959.531982,28.732,28.732,0.0,227.404999,,,121.356003,,,,,13.897,,,391.390015,538.460022,,,0.0,,29.681999,,,,,29.681999,568.142021,,74.561996,74.561996,,,,5.313,,,,,,60.64101,,,,60.64101,140.516006,38.391998,,,,,185.268997,,,,185.268997,223.660995,364.177002,0.0,85.198997,,,0.0,,510.156006,595.355003,0.0,595.355003,959.532005,
09/30/1994,1013.450012,56.691002,56.691002,0.0,260.437012,,,108.962997,,,,,13.517,,,439.608002,543.437012,,,0.0,,30.405001,,,,,30.405001,573.842012,,87.891998,87.891998,,,,5.189,,,,,,72.394008,,,,72.394008,165.475006,33.733002,,,,,188.417007,,,,188.417007,222.150009,387.625015,0.0,85.235001,,,0.0,,540.590027,625.825027,0.0,625.825027,1013.450043,
12/31/1994,1039.730957,103.285004,103.285004,0.0,221.237,,,116.523003,,,,,13.666,,,454.710999,549.601013,880.614014,-331.013,0.0,,35.418999,,,,,35.418999,585.020012,,83.863998,83.863998,,,,5.112,,,,,,62.632004,,,,62.632004,151.608002,33.613998,,,,,192.432007,,,,192.432007,226.046005,377.654007,0.0,85.290001,,,0.0,,576.786987,662.076988,0.0,662.076988,1039.730995,
