Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/28/2003,10114.1,77.199998,6.6,70.599998,1533.599976,,,688.400024,0.0,0.0,688.400024,0.0,1217.900024,,,,,3517.100098,797.599976,,,0.0,5799.399902,5677.899902,2367.699951,3310.199951,121.5,6596.999878,,1654.300049,1654.300049,,,,0.0,0.0,0.0,0.0,,382.299951,,,382.299951,2036.6,0.0,0.0,0.0,0.0,1234.800049,,,,1234.800049,1234.800049,3271.400049,0,6389.600098,,,0.0,453.100006,0.0,6842.700104,0.0,6842.700104,10114.100153,
09/27/2003,10232.4,870.900024,798.900024,72.0,1385.900024,,,1113.699951,0.0,0.0,1113.699951,0.0,296.799988,,,,,3667.300049,783.5,,,0.0,5781.600098,5654.299805,3310.199951,2344.099854,127.300293,6565.100098,,2101.600098,2101.600098,,,,133.699997,133.699997,0.0,0.0,,441.599905,,,441.599905,2676.9,1362.300049,1362.300049,0.0,0.0,1245.699951,,,,1245.699951,2608.0,5284.9,0,4902.799805,,,0.0,53.0,-8.299999,4947.499806,0.0,4947.499806,10232.399806,
12/27/2003,10263.0,698.0,638.5,59.5,1394.0,,,1213.400024,0.0,0.0,1213.400024,0.0,454.899994,,,,,3760.300049,757.299988,1326.800049,-569.5,0.0,5745.399902,5630.700195,3310.199951,2320.500244,114.699707,6502.69989,,1988.199951,1988.199951,,,,50.0,50.0,0.0,0.0,,567.100098,,,567.100098,2605.300049,1346.099976,1346.099976,0.0,0.0,1231.599976,,,,1231.599976,2577.699951,5183.0,0,4916.100098,,,,171.300003,-7.400009,5080.000092,0.0,5080.000092,10263.000092,
03/27/2004,10454.5,700.700012,643.200012,57.5,1662.700073,,,1247.599976,,,1247.599976,,417.700012,,,,,4028.699951,717.699951,,,0.0,5708.100098,5585.699707,3310.199951,2275.499756,122.400391,6425.800049,,2174.599854,2174.599854,,,,60.0,60.0,0.0,0.0,,570.400146,,,570.400146,2805.0,1236.600098,1236.600098,0.0,0.0,1215.099976,,,,1215.099976,2451.700074,5256.700074,0,4929.099609,,,0.0,274.899994,-6.199982,5197.799621,0.0,5197.799621,10454.499695,
06/26/2004,10202.7,651.900024,594.400024,57.5,1743.599976,,,1072.400024,,,1072.400024,,400.799988,,,,,3868.699951,688.599976,,,0.0,5645.399902,5540.700195,3310.199951,2230.500244,104.699707,6333.999878,,1878.400024,1878.400024,,,,80.0,80.0,0.0,0.0,,511.199976,,,511.199976,2469.6,1204.999878,1204.999878,0.0,0.0,1135.5,,,,1135.5,2340.499878,4810.099878,0,4995.899902,,,0.0,402.100006,-5.399994,5392.599914,0.0,5392.599914,10202.699792,
09/25/2004,10411.3,1057.999939,1000.499939,57.5,1589.199951,,,1204.099976,,,1204.099976,,272.100006,,,,,4123.399902,664.799988,,,0.0,5623.100098,5495.799805,3310.199951,2185.599854,127.300293,6287.900086,,2168.600098,2168.600098,,,,80.0,80.0,0.0,0.0,,341.999902,,,341.999902,2590.6,1194.300049,1194.300049,0.0,0.0,1105.299927,,,,1105.299927,2299.599976,4890.199976,0,5004.899902,,,0.0,520.200012,-4.0,5521.099914,0.0,5521.099914,10411.29989,
12/25/2004,10541.5,1210.9,1145.5,65.4,1555.4,1555.4,,1315.6,,,1315.6,,238.5,,,,,4320.4,657.8,1424.9,-767.1,0.0,5563.3,5450.8,3310.2,2140.6,112.5,6221.1,,2162.1,2162.1,,,,100.0,100.0,0.0,0.0,,382.4,,,382.4,2644.5,1092.9,1092.9,0.0,0.0,1084.7,,,,1084.7,2177.6,4822.1,0,5069.7,,,0.0,652.9,-3.2,5719.4,0.0,5719.4,10541.5,
03/26/2005,10556.4,1563.9,1498.6,65.3,1453.2,1453.2,,1130.0,0.0,0.0,1130.0,0.0,276.2,,,,,4423.3,640.1,,,0.0,5493.0,5405.8,3310.2,2095.6,87.2,6133.1,,2170.4,2170.4,,,,100.0,,,,,405.6,,,405.6,2676.0,885.9,,,,1064.3,,,,1064.3,1950.2,4626.2,0,5196.3,,,0.0,784.1,-50.2,5930.2,0.0,5930.2,10556.4,
06/25/2005,10671.0,1359.6,1295.5,64.1,1662.0,1662.0,,1319.0,0.0,0.0,1319.0,0.0,254.1,,,,,4594.7,628.6,,,0.0,5447.7,5360.8,3310.2,2050.6,86.9,6076.3,,2174.2,2174.2,,,,100.0,,,,,303.9,,,303.9,2578.1,876.2,,,,1032.0,,,,1032.0,1908.2,4486.3,0,5308.8,,,0.0,921.5,-45.6,6184.7,0.0,6184.7,10671.0,
09/24/2005,13619.2,1391.1,1326.3,64.8,1948.1,1948.1,,1351.8,0.0,0.0,1351.8,0.0,271.1,,,,,4962.1,661.0,,,0.0,7996.1,7920.7,5148.0,2772.7,75.4,8657.1,,2490.4,2490.4,,,,525.5,,,,,369.9,,,369.9,3385.8,1165.9,,,,1322.4,,,,1322.4,2488.3,5874.1,0,6781.4,,,-69.1,1078.2,-45.4,7745.1,0.0,7745.1,13619.2,
12/31/2005,14447.7,944.8,888.2,56.6,2752.8,2752.8,,1527.1,0.0,0.0,1527.1,0.0,580.9,,,,,5805.6,672.3,1568.2,-895.9,0.0,7969.8,7893.9,5152.3,2741.6,75.9,8642.1,,2635.9,2635.9,,,,525.5,,,,,1344.1,,,1344.1,4505.5,943.9,,,,1274.1,,,,1274.1,2218.0,6723.5,0,6916.4,,,-407.3,1254.9,-39.8,7724.2,0.0,7724.2,14447.7,
04/01/2006,13842.1,767.5,710.9,56.6,2420.7,2420.7,,1387.6,0.0,0.0,1387.6,0.0,736.9,,,,,5312.7,650.5,,,0.0,7878.9,7811.6,5124.6,2687.0,67.3,8529.4,,2574.6,2574.6,,,,525.5,,,,,887.1,,,887.1,3987.2,920.0,,,,1252.3,,,,1252.3,2172.3,6159.5,0,6994.6,,,-611.7,1299.7,0.0,7682.6,0.0,7682.6,13842.1,
07/01/2006,13353.0,466.9,408.7,58.2,2209.9,2209.9,,1531.9,0.0,0.0,1531.9,0.0,691.5,,,,,4900.2,637.6,,,0.0,7815.2,7755.7,5123.4,2632.3,59.5,8452.8,,2624.0,2624.0,,,,525.5,,,,,713.5,,,713.5,3863.0,897.4,,,,1242.4,,,,1242.4,2139.8,6002.8,0,7040.4,,,-1160.7,1470.6,-0.1,7350.2,0.0,7350.2,13353.0,
09/30/2006,13670.3,519.2,458.8,60.4,2460.2,2460.2,,1616.8,0.0,0.0,1616.8,0.0,499.0,,,,,5095.2,626.9,,,0.0,7948.2,7694.5,5116.8,2577.7,253.7,8575.1,,2708.5,2708.5,,,,525.4,,,,,775.7,,,775.7,4009.6,885.5,,,,1226.5,,,,1226.5,2112.0,6121.6,0,7125.6,,,-1233.2,1656.3,0.0,7548.7,0.0,7548.7,13670.3,
