Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1997,63.673,,-28.253,,35.42,,-8.123,,,,,,,27.297001,-4.698,,,,0.0,4.698,22.599001,-8.744,13.855,0.0,,,13.855,0.0,13.855,0.0,,13.855,13.855,,4.061713,3.395001,3.395001,3.395001,28.692849,0.49,0.49,0.49,
04/30/1997,97.602997,,-40.400002,,57.202995,,-12.442,,,,,,,44.761002,1.846,,,,0.0,-1.846,46.607002,-18.127001,28.48,0.0,,,28.480001,0.0,28.48,0.0,,28.48,28.48,,26.469706,1.085,1.085,1.085,30.130277,0.945,0.945,0.945,
07/31/1997,121.845,,-47.569,,74.276,0.0,-17.208,6.722,,,,,10.486,57.068,1.426,-1.415,0.085,-1.5,0.0,-0.011,58.494,-22.77,35.724,0.0,,,35.724,0.0,35.724,0.0,0.0,35.724,35.724,,28.005992,1.26,1.26,1.26,30.370277,1.19,1.19,1.19,
10/31/1997,130.094,,-50.25,,79.844,,-19.985,,,,,,,59.859,1.111,,0.089,,0.0,-1.2,60.97,-23.062,37.908,0.0,,,37.908,0.0,37.908,0.0,,37.908,37.908,,28.510277,1.33,1.33,1.4,30.659419,1.225,1.225,1.295,
01/31/1998,145.091995,,-58.98,,86.111996,,-23.962999,,,,,,,62.148998,3.691,,0.084,,0.0,-3.775,65.839998,-26.142,39.698002,0.0,,,39.697998,0.0,39.698002,0.0,,39.698002,39.698002,,28.754562,1.365,1.365,1.365,30.729134,1.295,1.295,1.295,
04/30/1998,142.718002,,-63.915001,,78.803001,,-32.287998,,,,,,,46.514999,-16.151,,0.081,,0.0,16.07,30.363999,-15.154,15.21,0.0,,,15.209999,0.0,15.21,0.0,,15.21,15.21,,30.355706,0.49,0.49,1.015,32.129991,0.49,0.49,1.015,
07/31/1998,129.115997,,-70.431,,58.684998,,-39.088001,,,,,,,19.597,-19.827001,,0.071,,0.0,19.756001,-0.23,-0.02,-0.25,0.0,,,-0.25,0.0,-0.25,0.0,,-0.25,-0.25,,34.805704,0.0,0.0,0.63,34.805704,0.0,0.0,0.63,
10/31/1998,91.161003,,-62.688,,28.473003,,-45.034,,,,,,,-16.561001,2.487,,0.077,,0.0,-2.564,-14.074001,5.116,-8.958,0.0,,,-8.958001,0.0,-8.958,0.0,,-8.958,-8.958,,40.929701,-0.49,-0.49,-0.945,48.499698,-0.525,-0.525,-1.05,
01/31/1999,100.417,,-65.778,,34.639,,-40.862,,,,,,,-6.223,3.301,,0.095,3.4,0.0,-6.796,-2.922,1.041,-1.881,0.0,,,-1.881,0.0,-1.881,0.0,,-1.881,-1.881,,37.486273,-0.035,-0.035,-0.035,37.486273,-0.035,-0.035,-0.035,
04/30/1999,111.489998,,-71.237999,,40.251999,,-43.035,,,,,,,-2.783,1.33,,0.115,3.7,0.0,-5.145,-1.453,0.468,-0.985,0.0,,,-0.985,0.0,-0.985,0.0,,-0.985,-0.985,,37.865703,0.0,0.0,0.0,37.865703,0.0,0.0,0.0,
07/31/1999,128.826004,,-79.361,,49.465004,,-50.674,,,,,,,-1.209,-7.276,,0.2,3.7,0.0,3.376,-8.485,2.928,-5.557,0.0,,,-5.557,0.0,-5.557,0.0,,-5.557,-5.557,,38.004562,-0.14,-0.14,0.035,38.004562,-0.14,-0.14,0.035,
10/31/1999,141.352005,,-83.391998,,57.960007,,-54.659,,,,,,,3.301,3.568,,0.094,,0.0,-3.662,6.869,-2.37,4.499,0.0,,,4.499,0.0,4.499,0.0,,4.499,4.499,,38.230845,0.14,0.14,0.14,41.514845,0.14,0.14,0.14,
01/31/2000,152.212997,,-87.002998,,65.209999,,-54.735001,,,,,,,10.475,2.95,,0.096,3.0,0.0,-6.046,13.425,-4.363,9.062,0.0,,,9.062,0.0,9.062,0.0,,9.062,9.062,,39.454561,0.21,0.21,0.21,42.257987,0.21,0.21,0.21,
04/30/2000,185.679001,,-104.205002,,81.473999,,-57.472,,,,,,,24.002001,3.268,,0.089,3.4,0.0,-6.757,27.270001,-8.863,18.407,0.0,,,18.407001,0.0,18.407,0.0,0.0,18.407,18.407,,40.023129,0.455,0.455,0.455,42.732274,0.42,0.42,0.42,
07/31/2000,233.268005,,-128.171997,,105.096008,,-66.411003,,,,,,,38.685001,3.026,,0.074,3.1,0.0,-6.2,41.711001,-13.556,28.155001,0.0,,,28.155002,0.0,28.155001,0.0,,28.155001,28.155001,,40.322559,0.7,0.7,0.7,42.827131,0.63,0.63,0.63,
