Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
04/26/2008,322.223,47.415,,,148.052,15.070903,2.217678,,,4.847863,0.713361,,,
07/26/2008,126.192,44.416,,,148.884,5.97055,2.101464,,,1.857799,0.653892,,,
10/25/2008,100.664,156.088,,66.163,,4.733988,7.340447,,,1.482879,2.299329,,,
01/31/2009,202.228,11.393,,6.366,6.366,9.474003,0.533741,,,3.273229,0.184405,,,
05/02/2009,897.074,221.567,1118.641,16.577,16.577,38.410789,9.487025,,47.897814,12.928249,3.193129,,16.121378,
08/01/2009,801.256,1.258,,18.613,,28.293817,0.044422,,,10.225319,0.016054,,,
10/31/2009,883.386,7.345,,5.176,,30.041962,0.249787,,,11.065751,0.092007,,,
05/01/2010,63.886,129.725,193.611,4.927,4.927,2.101943,4.268143,,6.370086,0.823856,1.672897,,2.496754,
07/31/2010,62.569,142.291,204.86,8.182,8.182,2.104092,4.785011,,6.889102,0.813989,1.85113,,2.66512,
10/30/2010,68.579,132.822,201.401,8.488,8.488,2.205593,4.271735,,6.477328,0.838154,1.623315,,2.461469,
01/29/2011,73.925,79.775,153.7,6.233,6.233,2.384755,2.573471,,4.958226,0.927336,1.00072,,1.928055,
04/30/2011,82.826,94.499,177.325,33.967,33.967,2.651795,3.025523,,5.677318,1.037339,1.183535,,2.220874,
07/30/2011,81.244,89.3,170.544,18.761,18.761,2.616563,2.876017,,5.49258,1.003368,1.10286,,2.106229,
10/29/2011,79.139,83.687,162.826,10.276,10.276,2.486046,2.628915,,5.114961,0.927666,0.980978,,1.908644,
01/28/2012,81.702,103.091,184.793,4.217,4.217,2.545797,3.212268,,5.758065,0.986548,1.244819,,2.231367,
04/28/2012,91.391,185.792,277.183,9.415,9.415,2.742981,5.576303,,8.319284,1.074799,2.184997,,3.259796,
07/28/2012,89.479,194.77,284.249,5.271,5.271,2.639485,5.745399,,8.384884,1.036039,2.255159,,3.291199,
10/27/2012,94.037,217.065,311.102,5.631,5.631,2.712821,6.261987,,8.974807,1.025252,2.366582,,3.391834,
02/02/2013,101.903,245.205,347.108,11.874,11.874,2.779726,6.68874,,9.468466,1.071326,2.577888,,3.649215,
05/04/2013,114.106,240.953,355.059,11.595,11.595,3.032585,6.403786,,9.43637,1.159571,2.448619,,3.60819,
08/03/2013,122.359,238.52,360.879,12.778,12.778,3.178041,6.195101,,9.373142,1.232707,2.402972,,3.635678,
11/02/2013,129.676,258.547,388.223,15.417,15.417,3.144598,6.269674,,9.414272,1.215419,2.423294,,3.638713,
02/01/2014,131.049,314.321,445.37,6.107,6.107,3.098163,7.430944,,10.529108,1.284665,3.08127,,4.365935,
05/03/2014,144.587,267.549,412.136,12.463,12.463,3.375445,6.246046,,9.621491,1.386269,2.565202,,3.951471,
08/02/2014,150.193,292.926,443.119,8.141,8.141,3.513573,6.852628,,10.366201,1.375142,2.681982,,4.057124,
11/01/2014,153.917,298.07,451.987,8.874,8.874,3.519062,6.814885,,10.333947,1.327781,2.571332,,3.899113,
01/31/2015,151.936,322.042,473.978,17.266,17.266,3.563035,7.552172,,11.115207,1.365302,2.89388,,4.259182,
05/02/2015,166.911,340.691,507.602,17.309,17.309,3.890436,7.940978,,11.831415,1.4895,3.040298,,4.529798,
08/01/2015,167.669,353.709,521.378,17.389,17.389,3.921103,8.27183,,12.192933,1.478427,3.11884,,4.597267,
10/31/2015,164.97,413.515,578.485,12.833,12.833,3.792012,9.505085,,13.297097,1.391037,3.486784,,4.877821,
01/30/2016,155.847,380.956,536.803,17.407,17.407,3.618395,8.844889,,12.463284,1.35632,3.31542,,4.671739,
04/30/2016,173.523,411.802,585.325,42.208,42.208,3.826333,9.080591,,12.906924,1.482504,3.518255,,5.00076,
07/30/2016,184.77,446.536,631.306,27.118,27.118,4.15087,10.03146,,14.18233,1.583202,3.826144,,5.409346,
10/29/2016,185.042,482.214,667.256,28.766,28.766,4.273674,11.137068,,15.410742,1.438131,3.747728,,5.185859,
01/28/2017,195.733,551.443,747.176,7.256,7.256,4.339401,12.225494,,16.564895,1.519217,4.280124,,5.799341,
04/29/2017,213.26,477.545,690.805,12.058,12.058,4.683407,10.487374,,15.170781,1.670861,3.741495,,5.412356,
07/29/2017,221.978,511.715,733.693,46.627,46.627,4.888518,11.26926,,16.157777,1.716022,3.955861,,5.671883,
10/28/2017,231.618,528.728,760.346,11.28,11.28,4.985741,11.381244,,16.366986,1.668995,3.809912,,5.478907,
02/03/2018,249.045,518.382,767.427,20.557,20.557,4.837414,10.068976,,14.90639,1.771552,3.687448,,5.459,
05/05/2018,248.64,479.47,728.11,7.675,7.675,4.724833,9.111228,,13.836061,1.775097,3.423044,,5.198141,
08/04/2018,258.798,42.96,301.758,14.191,14.191,4.951107,0.821875,,5.772982,1.83396,0.304434,,2.138394,
