Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,340.799988,,-231.399994,,109.399994,,-91.0,,,,18.4,1.0,,6.8,,0.0,,-7.8,19.4,-7.6,11.8,37.799999,,,-25.999999,0.0,-26.0,0.0,,-26.0,-26.0,,75.099998,-0.35,0.16,0.16,81.599998,-0.32,0.15,0.15,
06/30/1998,369.899994,,-247.800003,,122.099991,,-89.300003,,,,32.799999,9.0,,4.4,,0.0,,-13.4,41.799999,-16.299999,25.5,0.0,,,25.5,0.0,25.5,0.0,,25.5,25.5,,75.699997,0.34,0.34,0.34,80.5,0.32,0.32,0.32,
09/30/1998,380.299988,,-251.0,,129.299988,,-91.699997,,,,37.599998,3.2,,3.9,,0.0,,-7.1,40.799998,-15.5,25.299999,-1.0,,,26.299998,0.0,26.299999,0.0,,26.299999,26.299999,,74.599998,0.35,0.34,0.34,78.5,0.33,0.32,0.32,
12/31/1998,372.399994,,-247.600006,,124.799988,,-96.800003,,,,28.0,-346.999994,,5.1,,0.0,,341.899994,-318.999994,109.599998,-209.399994,0.0,,,-209.399995,0.0,-209.399994,0.0,,-209.399994,-209.399994,,72.900002,-2.87,-2.87,0.33,72.900002,-2.87,-2.87,0.33,
03/31/1999,345.4,,-230.9,,114.5,,-90.8,,,,23.7,5.7,3.3,3.3,,,,-9.0,29.4,-10.6,18.8,-1.2,,,20.0,0.0,20.0,0.0,,20.0,20.0,,71.7,0.28,0.28,0.26,74.7,0.27,0.27,0.25,
06/30/1999,373.0,,-237.2,,135.8,,-91.5,,,,44.3,4.6,5.1,5.1,,0.0,,-9.7,48.9,-18.5,30.4,4.7,,,25.7,0.0,25.7,0.0,,25.7,25.7,,69.5,0.37,0.44,0.44,73.0,0.35,0.42,0.42,
09/30/1999,372.200012,,-236.399994,,135.800018,,-91.599998,,,,44.200001,7.0,3.9,3.9,,0.0,,-10.9,51.2,-18.4,32.799999,-9.2,,,42.0,0.0,42.0,0.0,,42.0,42.0,,71.199997,0.59,0.46,0.46,74.599998,0.56,0.44,0.44,
12/31/1999,805.7,,-544.900003,,260.799997,,-186.5,,,,74.300001,29.0,12.2,7.1,,0.0,,-41.2,103.300001,-36.3,67.0,-1.2,,,68.200001,0.0,68.199999,0.0,0.0,68.199999,68.199999,,70.95,0.96,0.94,0.62,74.2,0.93,0.9,0.66,
03/31/2000,384.700012,,-254.0,,130.700012,,-97.800003,,,,32.900002,4.9,5.3,5.3,,0.0,,-10.2,37.800001,-13.6,24.200001,0.0,,,24.200001,0.0,24.200001,0.0,,24.200001,24.200001,,68.199997,0.35,0.35,0.35,69.400002,0.35,0.35,0.35,
06/30/2000,405.100006,,-261.899994,,143.200012,,-98.099998,,,,45.099998,8.9,,6.9,,0.0,,-15.8,53.999998,-19.4,34.599998,0.0,,,34.599998,0.0,34.599998,0.0,0.0,34.599998,34.599998,,67.199997,0.51,0.51,0.51,68.599998,0.5,0.5,0.5,
09/30/2000,394.7,,-254.6,,140.1,,-85.9,,,,54.2,-1.0,8.0,8.0,,0.0,,-7.0,53.2,-19.1,34.1,0.0,,,34.1,0.0,34.1,0.0,,34.1,34.1,,66.7,0.51,0.51,0.51,67.4,0.51,0.51,0.51,
12/31/2000,391.9,,-271.8,,120.1,,-85.4,73.0,,12.4,34.7,-199.4,7.9,7.9,,0.0,,191.5,-164.7,-17.9,-182.6,0.0,,,-182.6,0.0,-182.6,0.0,0.0,-182.6,-182.6,,65.2,-2.8,-2.8,-0.73,65.2,-2.8,-2.8,-0.73,
03/31/2001,395.700012,,-274.899994,,120.800018,,-100.900002,,,,19.9,6.9,,9.0,,0.0,,-15.9,26.799999,-11.9,14.9,0.0,,,14.9,-0.3,14.6,0.0,0.0,14.6,14.6,,65.300003,0.22,0.22,0.25,65.300003,0.22,0.22,0.25,
06/30/2001,450.299988,,-305.899994,,144.399994,,-90.5,,,,53.900002,-10.7,,12.7,-0.9,0.0,,-1.1,43.200002,-19.299999,23.9,0.0,,,23.900003,-0.9,23.0,0.0,0.0,23.0,23.0,,65.300003,0.35,0.35,0.39,65.400002,0.35,0.35,0.39,
09/30/2001,448.100006,,-305.5,,142.600006,,-98.599998,,,,44.0,-7.8,,8.3,-0.4,0.0,,-0.1,36.2,-16.200001,20.0,0.0,,,19.999999,-0.2,19.799999,0.0,0.0,19.799999,19.799999,,65.300003,0.3,0.3,0.43,65.400002,0.3,0.3,0.43,
