Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,135.444992,100.907993,268.718998,208.445999,60.272999,-167.811005,34.536999,0.137,,,,28.122999,6.277,-7.031,128.413992,-90.628998,0.0,90.628998,37.785,0.0,0.0,37.785,-9.928,,27.857,0.0,,,27.856999,0.0,27.857,0.0,,27.857,27.857,,178.667087,0.157285,0.15788,,178.667087,0.157285,0.15788,0.15788,
06/30/1990,146.088008,105.186008,277.317005,215.212006,62.105,-172.130997,40.901999,0.077,,,,33.521999,7.303,-11.992,134.096008,-95.971001,0.0,95.971001,38.125,0.0,0.0,38.125,-10.262,,27.863001,0.0,,,27.863,0.0,27.863001,0.0,,27.863001,27.863001,,178.837571,0.154902,0.154902,,178.837571,0.154902,0.154902,0.154902,
09/30/1990,146.456989,107.005989,278.454994,220.298996,58.155998,-171.449005,39.451,0.417,,,,32.083,6.951,-42.810001,103.646988,-103.496002,0.0,103.496002,0.151,0.0,0.0,0.151,1.967,,2.118,0.0,,,2.118,0.0,2.118,0.0,,2.118,2.118,,179.358428,0.010322,0.00983,,179.358428,0.010322,0.00983,0.00983,
12/31/1990,149.555002,110.810001,277.785999,221.042999,56.743,-166.975998,38.745001,0.183,,,,23.877001,14.685,-9.117,140.438002,-101.665001,0.0,101.665001,38.772999,0.0,0.0,38.772999,-11.4,,27.372999,0.0,,,27.372999,0.0,27.372999,0.0,,27.372999,27.372999,,180.16246,0.150731,0.150731,0.150731,180.16246,0.150731,0.150731,0.150731,
03/31/1991,153.587993,113.458992,262.555992,207.595993,54.959999,-149.097,40.129001,0.002,,,,29.797001,10.33,-17.299,136.288993,-99.735001,,99.735001,36.554001,,,36.554001,-10.974,,25.58,,,,25.580001,,25.58,0.0,,25.58,25.58,,179.001169,0.144178,0.144178,,179.001169,0.144178,0.144178,0.144178,
06/30/1991,163.603008,118.905006,263.957008,207.113007,56.844002,-145.052002,44.698001,4.069,,,,33.497002,7.132,-15.758,147.845007,-106.000999,,106.000999,41.844002,,,41.844002,-12.206,,29.638,,,,29.638001,,29.638,0.0,,29.638,29.638,,178.95409,0.165149,0.163838,,178.95409,0.165149,0.163838,0.163838,
09/30/1991,167.146993,120.031994,256.354992,208.457993,47.896999,-136.322998,47.114999,6.018,,,,33.396999,7.7,-9.601,157.545993,-115.283997,,115.283997,42.262001,,,42.262001,-12.195,,30.066999,,,,30.067001,,30.066999,0.0,,30.066999,30.066999,,178.913725,0.16859,0.16859,,178.913725,0.16859,0.16859,0.16859,
12/31/1991,176.908993,125.126995,252.802998,203.602997,49.200001,-127.676003,51.781998,6.472,,,,35.891998,9.418,-14.022,162.886993,-117.139999,0.0,117.139999,45.747002,0.0,0.0,45.747002,-14.01,,31.737,0.0,,,31.737002,0.0,31.737,0.0,,31.737,31.737,,180.513799,0.175471,0.175471,0.175471,180.513799,0.175471,0.175471,0.175471,
03/31/1992,206.375992,155.233994,294.78299,294.78299,,-139.548996,51.141998,2.764,,,,,48.377998,-18.298,188.077991,-134.451996,0.0,134.451996,53.625999,0.0,0.0,53.625999,-16.664,,36.962002,0.0,,,36.962,0.0,36.962002,0.0,,36.962002,36.962002,,211.058924,0.175127,0.175127,,211.058924,0.175127,0.175127,0.175127,
06/30/1992,249.869991,168.935989,298.533997,298.533997,,-129.598007,80.934002,27.742001,,,,,53.192001,-23.419001,226.450991,-169.007996,0.0,169.007996,57.443001,0.0,0.0,57.443001,-18.229,,39.214001,0.0,,,39.214001,0.0,39.214001,0.0,,39.214001,39.214001,,212.637156,0.184502,0.185793,,212.637156,0.184502,0.185793,0.185793,
