Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1997,,8.531,8.531,,1.468175,,0.830969,0.39,0.39,0.39,0.39,0.39,0.39,0.0,0.0,,0.447,,,,,
06/30/1997,,10.71,10.71,,1.530719,,0.944911,0.31,0.31,0.31,0.31,0.31,0.31,0.0,0.0,,0.583,,,,,
09/30/1997,12.292,14.8,12.292,,0.581598,0.327205,0.362756,0.015,0.16,0.16,0.015,0.16,0.16,0.0,0.111292,-11.793199,0.23,0.22,1.249837,14.560203,,
12/31/1997,12.292311,14.795,12.292,,1.306378,0.623332,0.664904,0.28,0.28,0.28,0.28,0.28,0.28,0.51,0.353482,-5.409209,0.44,0.41,1.039837,14.334816,,
03/31/1998,12.292,12.404,12.292,,1.805809,0.896843,,0.33,0.33,0.33,0.33,0.33,0.33,,0.802392,-12.936951,,,0.864383,14.26383,,
06/30/1998,23.792,18.42,18.358,,1.833696,0.819969,,0.25,0.28,0.28,0.25,0.28,0.28,0.35,0.099248,-4.044994,,,1.617266,17.08755,,
09/30/1998,23.952,23.927999,23.922001,,1.66165,0.742956,,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.278279,-4.088203,,,0.040748,16.95132,,
12/31/1998,23.952,33.828,24.128,,1.613975,0.724221,,0.307154,0.307154,0.307154,0.219079,0.219079,0.219079,0.7,0.179169,-0.145101,0.53,0.5,0.260354,16.901553,,
03/31/1999,24.192,26.664,24.192,,1.928819,0.930349,,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.534102,-2.455729,0.675389,0.612774,0.885045,16.737806,,
06/30/1999,24.192,24.26,24.192,,2.10024,1.07643,,0.35,0.37,0.37,0.35,0.37,0.37,0.35,0.187707,-3.913814,,,0.416171,16.75186,,
09/30/1999,24.204,24.278,24.2,,2.258347,1.112686,,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.904091,0.608595,,,0.347422,16.755123,,
12/31/1999,24.184,26.612,26.612,,1.994476,1.061702,1.156659,0.35,0.36,0.36,0.35,0.36,0.36,0.363,0.48681,-1.186683,0.63,0.61,0.89154,16.79226,,
03/31/2000,24.239,26.832,24.22,,2.2609,1.166928,,0.89,0.3,0.3,0.89,0.3,0.3,0.3625,0.704418,0.419736,,,0.418623,17.328726,,
06/30/2000,24.373,27.045,24.309,,2.323995,1.219672,,0.53,0.35,0.35,0.53,0.37,0.37,0.3625,0.123329,-0.808795,,,0.628441,17.536085,,
