Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2010,118.6,144.6,-236.0,226.1,-47.2,,16.3,-63.5,31.1,31.1,0.0,2148.4,-284.7,0,-284.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2417.6,2417.6,0,0,0.0,0,0.0,0,15.5,-2585.0,0.0,-2219.9,0.0,0,1245.9,-3465.8,0.0,0.0,0.0,-365.1,0.0,,-318.0,-6.2,732.7,
06/30/2010,59.5,181.6,-187.4,246.7,-72.3,,53.3,-125.6,-109.1,-109.1,0.0,4974.4,-331.9,0,-331.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2252.4,2252.4,0,0,0.0,0,0.0,0,3053.9,-3633.7,0.0,-3508.0,0.0,0,1256.8,-4764.8,0.0,0.0,0.0,-125.7,0.0,,1400.2,17.3,735.6,
09/30/2010,103.1,115.8,-14.2,165.1,-123.7,,39.6,-163.3,-39.9,-39.9,0.0,1749.3,-251.0,0,-251.0,152.2,152.2,,,,0.0,0,0,0.0,952.7,952.7,0,0,0.0,0,0.0,0,895.4,-1749.9,0.0,-1838.8,0.0,0,702.4,-2541.2,0.0,0.0,0.0,88.9,0.0,,102.5,-8.0,624.1,
12/31/2010,305.2,83.2,-69.4,182.4,-91.2,,-3.3,-87.9,200.2,200.2,0.0,1315.8,-419.3,0,-419.3,39.5,39.5,,,,0.0,0,0,0.0,1152.2,1152.2,0,0,0.0,0,0.0,0,543.4,-2560.8,0.0,-2365.6,0.0,0,478.6,-2844.2,0.0,0.0,0.0,-195.2,0.0,,-939.8,22.5,596.4,
03/31/2011,133.3,65.6,121.1,122.4,-117.5,,17.9,-135.4,-58.3,-58.3,0.0,-9914.0,-328.4,0,-328.4,-6198.8,0.0,0.0,0.0,0.0,-6198.8,0,0,-6198.8,741.3,741.3,0,0,0.0,0,0.0,0,-4128.1,-693.3,0.0,-459.7,0.0,0,2480.3,-2940.0,0.0,0.0,0.0,-233.6,0.0,,-10474.0,6.7,524.2,
06/30/2011,122.5,-49.7,208.1,84.1,-122.5,,-5.3,-117.2,2.5,2.5,0.0,3376.3,-218.1,0,-218.1,9956.2,9956.2,,,,0.0,0,0,0.0,360.5,360.5,0,0,0.0,0,0.0,0,-6722.3,-2938.4,0.0,-3078.0,0.0,0,476.9,-3554.9,0.0,0.0,0.0,139.6,0.0,,560.4,44.4,553.4,
09/30/2011,144.7,-32.8,86.5,47.4,8.2,,18.8,-10.6,35.4,35.4,0.0,-10618.2,-534.0,0,-534.0,-10411.6,3516.8,,,,-13928.4,0,0,-13928.4,392.6,392.6,0,0,0.0,0,0.0,0,-65.2,-3566.0,0.0,-4101.6,0.0,0,2337.2,-6438.8,0.0,0.0,0.0,535.6,0.0,,-14039.5,3.9,469.1,
12/31/2011,455.5,36.3,336.1,15.8,-124.3,,25.6,-149.9,175.8,175.8,0.0,15225.2,-1056.4,0,-1056.4,14541.3,14541.3,0.0,0.0,14541.3,0.0,0,0,0.0,-399.9,-399.9,0,0,0.0,0,0.0,0,2140.2,-11.1,0.0,-1250.4,0.0,0,1940.7,-3191.1,0.0,0.0,0.0,1239.3,0.0,,15669.6,39.5,393.1,
03/31/2012,13.3,-427.0,750.2,42.6,-168.6,,13.0,-181.6,-183.9,-183.9,0.0,68.3,-226.0,0,-226.0,-141.3,4246.8,0.0,0.0,4246.8,-4388.1,0,0,-4388.1,-888.6,-888.6,0,0,0.0,0,0.0,0,1324.2,-1218.9,0.0,-1844.3,0.0,0,5260.3,-7104.6,0.0,0.0,0.0,625.4,0.0,,-1137.3,5.9,395.3,
06/30/2012,298.1,-72.9,377.3,8.9,-26.9,,9.0,-35.9,11.7,11.7,0.0,805.0,-581.4,0,-581.4,8517.5,12764.3,0.0,0.0,12764.3,-4246.8,0,0,-4246.8,-371.6,-371.6,0,0,0.0,0,0.0,0,-6759.5,-1382.1,0.0,-1734.3,0.0,0,3727.2,-5461.5,0.0,0.0,0.0,352.2,0.0,,-279.0,8.2,272.3,
