Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,59.423,,-61.507,,,-2.084,,-2.435,,,,-4.519,-1.341,,5.471,,0.0,,-4.13,-5.86,-0.303,-6.163,0.0,,,-6.163,0.0,-6.163,0.0,,-6.163,-6.163,,72.396004,-0.08,-0.08,,72.396004,-0.08,-0.08,-0.08,
06/30/1990,70.825996,,-67.386002,,,3.439995,,-2.038,,,,1.402,-3.107,,5.402,,0.0,,-2.295,-1.705,-0.522,-2.227,0.0,,,-2.227,0.0,-2.227,0.0,,-2.227,-2.227,,72.846001,-0.03,-0.03,,72.846001,-0.03,-0.03,-0.03,
09/30/1990,86.156998,,-72.566002,,,13.590996,,-2.458,,,,11.133,-2.706,,5.391,,0.0,,-2.685,8.427001,-1.007,7.42,0.0,,,7.420001,0.0,7.42,0.0,,7.42,7.42,,73.171997,0.1,0.1,,73.171997,0.1,0.1,0.1,
12/31/1990,75.704002,,-68.269997,,,7.434005,,-2.618,,,,4.816,-1.638,,5.337,,0.0,,-3.699,3.178,-0.249,2.929,0.0,,,2.929,0.0,2.929,0.0,,2.929,2.929,,72.615501,0.04,0.04,0.04,72.615501,0.04,0.04,0.04,
03/31/1991,60.247002,,-65.495003,,,-5.248001,,-3.308,,,,-8.556,-3.081,,5.21,,0.0,,-2.129,-11.637,-0.393,-12.03,0.0,,,-12.03,0.0,-12.03,0.0,,-12.03,-12.03,,73.82,-0.16,-0.16,,73.82,-0.16,-0.16,-0.16,
06/30/1991,67.061996,,-70.249001,,,-3.187004,,-2.699,,,,-5.886,-3.427,,5.107,,0.0,,-1.68,-9.313,-0.462,-9.775,0.0,,,-9.775,0.0,-9.775,0.0,,-9.775,-9.775,,74.094002,-0.13,-0.13,,74.094002,-0.13,-0.13,-0.13,
09/30/1991,77.512001,,-76.142998,,,1.369003,,-2.585,,,,-1.216,-3.432,,5.105,,0.0,,-1.673,-4.648,-0.158,-4.806,0.0,,,-4.806,0.0,-4.806,0.0,,-4.806,-4.806,,74.190002,-0.06,-0.06,,74.190002,-0.06,-0.06,-0.06,
12/31/1991,67.350998,,-71.283997,,,-3.932999,,-3.147,,,,-7.08,-4.889,,5.957,,0.0,,-1.068,-11.969,-0.161,-12.13,5.627,,,-17.757,0.0,-17.757,0.0,,-17.757,-17.757,,72.838501,-0.25,-0.17,-0.17,72.838501,-0.25,-0.17,-0.17,
03/31/1992,53.646,,-66.768997,,,-13.122997,,-2.921,,,,-16.044001,-5.686,,7.039,,0.0,,-1.353,-21.730001,-0.079,-21.809,0.0,,,-21.809001,0.0,-21.809,0.0,,-21.809,-21.809,,74.123001,-0.29,-0.29,,74.123001,-0.29,-0.29,-0.29,
06/30/1992,58.335999,,-63.952,,,-5.616001,,-3.115,,,,-8.731,-5.485,,6.449,,0.0,,-0.964,-14.216,-0.021,-14.237,0.0,,,-14.237,0.0,-14.237,0.0,,-14.237,-14.237,,74.407997,-0.19,-0.19,,74.407997,-0.19,-0.19,-0.19,
09/30/1992,70.564003,,-76.030998,,,-5.466995,,-2.831,,,,-8.298,-5.729,,6.393,,0.0,,-0.664,-14.027,-0.129,-14.156,0.0,,,-14.156,0.0,-14.156,0.0,,-14.156,-14.156,,74.528999,-0.19,-0.19,,74.528999,-0.19,-0.19,-0.19,
12/31/1992,67.452003,,-81.778,,,-14.325997,,-3.225,,,,-17.551001,-5.8,,6.373,,0.0,,-0.573,-23.351001,-0.2,-23.551001,0.0,,,-23.551001,0.0,-23.551001,0.0,,-23.551001,-23.551001,,73.144997,-0.32,-0.32,-0.32,73.144997,-0.32,-0.32,-0.32,
03/31/1993,73.540001,,-77.633003,,,-4.093002,,-3.257,,,,-7.35,-6.036,,6.364,,0.0,,-0.328,-13.386,-0.123,-13.509,0.0,,,-13.509,0.0,-13.509,0.0,,-13.509,-13.509,,73.306,-0.18,-0.18,,73.306,-0.18,-0.18,-0.18,
06/30/1993,82.092995,,-80.898003,,,1.194992,,-3.113,,,,-1.918,-6.154,,6.449,,0.0,,-0.295,-8.072,-0.125,-8.197,0.0,,,-8.197,0.0,-8.197,0.0,,-8.197,-8.197,,74.558998,-0.11,-0.11,,74.558998,-0.11,-0.11,-0.11,
09/30/1993,106.628998,,-90.244003,,,16.384995,,-2.865,,,,13.52,-5.246,,6.278,,0.0,,-1.032,8.274001,-0.099,8.175,0.0,,,8.175001,0.0,8.175,0.0,,8.175,8.175,,85.363998,0.1,0.1,,85.363998,0.1,0.1,0.1,
12/31/1993,90.934006,,-83.120003,,,7.814003,,-4.705,,,,3.109,-3.472,,6.27,,0.0,,-2.798,-0.363,0.635,0.272,0.0,,,0.272,0.0,0.271999,0.0,,0.271999,0.271999,,83.855003,0.0,0.0,0.0,83.855003,0.0,0.0,0.0,
