Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
06/17/1989,108.605003,41.060001,40.234001,-0.412,,,-0.412,27.723,,,,27.723,,,,,,,,,,,,,,,,,
09/09/1989,86.056,25.656,26.669001,2.102,,,2.102,31.629,,,,31.629,,,,,,,,,,,,,,,,,
12/02/1989,-17.219,37.523998,31.07,4.998,,,4.998,-90.810997,,,,-90.810997,,,,,,,,,,,,,,,,,
02/24/1990,114.279999,43.506001,32.875,7.556,,,7.556,30.343,,,,30.343,,,,,,,,,,,,,,,,,
06/16/1990,54.074001,41.355,,,,,,,,,,,,,,,,,,,,,,,,,,54.074001,
09/08/1990,54.290001,28.558001,,25.732,,,25.732,,,,,,,,,,,,,,,,,,,,,54.290001,
12/01/1990,-132.253998,38.001999,,-170.255997,,,-170.255997,,,,,,,,,,,,,,,,,,,,,-132.253998,
02/23/1991,188.645996,47.221001,,141.424995,,,141.424995,,,,,,,,,,,,,,,,,,,,,188.645996,
06/15/1991,56.091999,31.624001,32.355,19.419001,,,19.419001,-27.306,,,,-27.306,,,,,,,,,,,,,,,,56.091999,
09/07/1991,81.392998,30.785,24.243999,-7.807,,,-7.807,34.171001,,,,34.171001,,,,,,,,,,,,,,,,81.392998,
11/30/1991,-33.721001,84.424004,25.657,-56.451,,,-56.451,-87.350998,,,,-87.350998,,,,,,,,,,,,,,,,-33.721001,
02/29/1992,62.5,47.543999,29.232,-38.088001,,,-38.088001,23.812,,,,23.812,,,,,,,,,,,,,,,,62.5,
06/20/1992,39.467999,45.631001,34.752998,-1.824,,,-1.824,-39.091999,,,,-39.091999,,,,,,,,,,,,,,,,39.467999,
09/12/1992,149.248001,32.220001,27.684999,-0.216,,,-0.216,89.558998,,,,89.558998,,,,,,,,,,,,,,,,149.248001,
12/05/1992,-88.752998,36.726002,31.195999,-5.225,,,-5.225,-151.449997,,,,-151.449997,,,,,,,,,,,,,,,,-88.752998,
02/27/1993,304.174988,49.949001,47.155998,12.176,,,12.176,194.893997,,,,194.893997,,,,,,,,,,,,,,,,304.174988,
06/19/1993,93.094002,51.084,58.160999,-26.937,,,-26.937,10.786,,,,10.786,,,,,,,,,,,,,,,,93.094002,
09/11/1993,231.408005,36.324001,42.587002,24.618,,,24.618,127.878998,,,,127.878998,,,,,,,,,,,,,,,,231.408005,
12/04/1993,-116.661003,45.237999,42.291,8.361,,,8.361,-212.550995,,,,-212.550995,,,,,,,,,,,,,,,,-116.661003,
02/26/1994,224.904007,52.606998,43.222,-9.033,,,-9.033,138.108002,,,,138.108002,,,,,,,,,,,,,,,,224.904007,
06/18/1994,53.841,50.612999,65.009003,9.202,,,9.202,-70.983002,,,,-70.983002,,,,,,,,,,,,,,,,53.841,
09/10/1994,109.528999,33.514999,44.151001,-36.194,,,-36.194,68.056999,,,,68.056999,,,,,,,,,,,,,,,,109.528999,
12/03/1994,-75.487999,-84.123001,45.929001,88.789001,,,88.789001,-126.083,,,,-126.083,,,,,,,,,,,,,,,,-75.487999,
02/25/1995,253.117996,43.328999,43.629002,-11.437,,,-11.437,177.597,,,,177.597,,,,,,,,,,,,,,,,253.117996,
06/17/1995,85.646004,45.951,64.848,-3.826,,,-3.826,-21.327,,,,-21.327,-57.786999,-57.786999,,-57.786999,,,,0.0,,,,,,,,27.859005,
