Date,Returns,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
04/01/1990,,,,,,26.699906,13.284484,9.499421,,0.497558,0.125397,-1.167347,-1.167347,,74.797566,,
07/01/1990,,,,,,27.531117,14.563866,11.125414,,1.503619,0.059224,-4.167748,-4.167748,,96.061234,,
09/30/1990,,,,,,25.560211,11.789137,8.377203,,-2.731076,-3.206556,-3.715161,-3.715161,,,,
12/30/1990,,,,,,26.009861,10.69137,7.533965,,0.636289,-1.454223,-1.938252,-1.938252,,328.547439,,
03/31/1991,,-4.580867,,,,25.960783,10.876858,7.189466,-30.810025,-1.163265,-2.358904,-2.788151,-2.788151,,,,
06/30/1991,,-3.807608,,,,26.478131,12.474235,8.906327,-26.498764,0.381436,-1.103979,-1.590716,-1.590716,,389.427275,,
09/29/1991,,-2.529004,-93.277079,,,25.90336,12.2079,8.709432,-5.076617,1.488687,-0.138547,-0.686568,-0.686568,,109.306672,,
12/29/1991,,-2.756894,-523.472373,,,29.633002,14.926977,11.508752,,-0.460909,-2.046683,-2.620583,-2.620583,,,,
03/29/1992,,-3.530764,-59.032491,-244.244941,,26.121234,11.756389,7.958619,,0.294419,-0.547526,-4.667062,-4.667062,,285.968193,,
06/28/1992,,-4.984623,-67.756339,-257.679506,,26.299507,11.558942,7.746356,-37.786504,0.145652,-1.168712,-6.105149,-6.105149,,902.401308,,
09/27/1992,,-5.451035,,,,23.9965,10.07604,6.421858,,-0.161974,-1.196863,-1.67626,-1.67626,,,,
12/27/1992,,-5.599181,,,,25.542859,12.095489,7.811877,,-1.097879,-2.997587,-3.383284,-3.383284,,,,
03/31/1993,,-4.839161,,,,24.734966,10.683801,6.941889,-58.426706,-0.4713,-1.587226,-2.113136,-2.113136,,,,
06/27/1993,,-3.162673,,,,23.917271,11.079347,7.367558,,-0.354604,-1.27692,-1.808248,-1.808248,,,,
09/26/1993,,-3.650161,,,,22.385722,9.412237,5.771119,-13.770298,-1.492776,-2.338268,-2.7932,-2.7932,,,,
12/31/1993,,-5.253727,,,,23.376782,9.22464,5.618794,-45.183193,-7.201734,-8.160168,-8.524034,-8.524034,,,,
03/31/1994,,-5.193027,,,,23.310455,10.641565,7.105991,39.030178,0.288185,-0.885813,-1.528913,-1.528913,,407.376927,,
06/26/1994,,-5.060214,,,,23.838241,10.872168,7.495111,9.976412,0.48997,-0.764616,-1.33753,-1.33753,,256.053604,,
09/30/1994,,-4.569594,,,,22.125137,10.473944,7.41341,18.631537,0.909386,-0.433533,-0.951708,-0.951708,,147.673104,,
12/31/1994,,-8.839811,,,,24.065425,11.277097,8.849007,23.851764,-13.82329,-15.758242,-16.333328,-16.333328,,,,
04/02/1995,,-8.368162,,,,23.725835,11.670768,8.553017,188.196728,2.460457,0.410077,0.234329,0.234329,,83.333318,,
06/30/1995,,-8.300433,,,,23.650228,11.365611,8.392019,,2.640845,0.880282,-1.643193,-1.643193,,66.66666,0.0,
09/30/1995,,-7.801877,,,,22.171689,10.437749,7.561115,-5.958445,1.080159,0.341103,0.170551,0.170551,,68.421057,,
12/31/1995,,0.154738,12.602131,9.57171,,22.903408,11.711394,8.906883,-8.559351,1.330249,1.561596,1.619433,1.619433,,,0.0,
03/31/1996,,0.522413,14.116497,9.216965,,22.699758,10.770581,7.687651,-34.545465,1.57385,0.060532,1.210654,1.210654,,96.153867,,
06/30/1996,,1.550475,16.451824,9.2713,,22.72467,11.105324,8.12822,,2.862049,0.973097,1.030338,1.030338,,66.000005,0.0,
09/30/1996,,2.016231,16.645969,9.333358,,22.81609,11.236207,8.333333,,1.896552,0.632184,1.264368,1.264368,,66.666671,0.0,
12/29/1996,,12.03237,41.392753,14.888957,,23.760859,13.750638,11.394992,30.26315,4.598875,4.343382,25.140522,25.140522,,5.555556,0.0,
03/31/1997,,12.283459,44.837255,18.659226,,22.531054,11.015196,8.172224,24.266184,2.109605,0.790367,0.048774,0.048774,,62.534821,0.0,
06/29/1997,,11.922818,44.509237,19.330124,,22.115207,11.317496,8.620087,16.330192,2.850763,1.040653,0.359439,0.359439,,63.495649,0.0,
09/30/1997,,11.755979,42.709814,19.095861,,19.872627,9.713028,7.19781,,1.976572,0.747864,0.429689,0.429689,,62.163557,0.0,
12/29/1997,,4.02533,23.434813,11.38579,,18.934758,7.955446,5.457198,-59.209923,14.101975,9.282981,8.691306,8.691306,,34.172471,0.0,
03/31/1998,,5.028837,29.348706,15.365008,,20.252717,13.262976,10.256602,-0.455902,4.964846,2.962338,1.95474,1.95474,,40.333739,0.0,
06/30/1998,,5.465519,30.747134,17.247479,,21.186485,14.845928,11.523622,-1.011105,5.261123,2.916403,1.960376,1.960376,,44.566907,0.0,
09/30/1998,,5.536992,32.29077,20.853517,,20.573037,13.742502,10.38479,-1.193497,0.67812,1.606816,0.736849,0.736849,,,0.0,
12/27/1998,,,,,,,,,,,,4.192278,4.192278,,,,
